minute,value
1.0,5
2.0,31
3.0,23
4.0,16
5.0,-38
6.0,-40
7.0,-30
8.0,-14
9.0,11
10.0,12
11.0,22
12.0,62
13.0,89
14.0,56
15.0,15
16.0,49
17.0,30
18.0,15
19.0,94
20.0,98
21.0,30
22.0,-24
23.0,-18
24.0,-15
25.0,44
26.0,41
27.0,36
28.0,29
29.0,33
30.0,-71
31.0,-16
32.0,-1
33.0,9
34.0,20
35.0,46
36.0,60
37.0,86
38.0,53
39.0,60
40.0,52
41.0,36
42.0,27
43.0,24
44.0,15
45.0,28
45.5,30
46.0,2
47.0,2
48.0,-30
49.0,-28
50.0,-57
51.0,-36
52.0,35
53.0,40
54.0,22
55.0,19
56.0,24
57.0,41
58.0,29
59.0,24
60.0,57
61.0,-38
62.0,-10
63.0,-21
64.0,-13
65.0,-22
66.0,32
67.0,44
68.0,34
69.0,36
70.0,28
71.0,16
72.0,9
73.0,29
74.0,18
75.0,7
76.0,29
77.0,19
78.0,37
79.0,21
80.0,-14
81.0,20
82.0,10
83.0,-6
84.0,-38
85.0,-22
86.0,-45
87.0,-13
88.0,42
89.0,23
90.0,42
90.5,54
