player,isHome,shotType,goalType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,goalkeeper,id,time,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,blockCoordinates
"{'name': 'Kayode Saliman', 'firstName': 'Kayode', 'lastName': 'Saliman', 'slug': 'kayode-saliman', 'shortName': 'K. Saliman', 'position': 'M', 'jerseyNumber': '14', 'userCount': 39, 'gender': 'M', 'id': 1472922, 'fieldTranslations': {'nameTranslation': {'ar': 'كايويد ساليمان'}, 'shortNameTranslation': {'ar': 'ك. ساليمان'}}}",False,miss,,regular,"{'x': 29.6, 'y': 51.3, 'z': 0}",right-foot,left,"{'x': 0, 'y': 60.8, 'z': 18.1}","{'name': 'Marko Milošević', 'firstName': '', 'lastName': '', 'slug': 'marko-milosevic', 'shortName': 'M. Milošević', 'position': 'G', 'jerseyNumber': '1', 'userCount': 406, 'gender': 'M', 'id': 844305, 'fieldTranslations': {'nameTranslation': {'ar': 'ماركو ميلوشيفيتش'}, 'shortNameTranslation': {'ar': 'م. ميلوشيفيتش'}}}",6267189,24,1380,"{'start': {'x': 51.3, 'y': 29.6}, 'end': {'x': 39.2, 'y': 0}, 'goal': {'x': 39.2, 'y': 81.9}}",22,1320,1380,shot,
"{'name': 'Aleksa Radonjić', 'firstName': '', 'lastName': '', 'slug': 'aleksa-radonjic', 'shortName': 'A. Radonjić', 'position': 'M', 'jerseyNumber': '20', 'userCount': 14, 'gender': 'M', 'id': 1468252, 'fieldTranslations': {'nameTranslation': {'ar': 'أليكسه رادونيتش'}, 'shortNameTranslation': {'ar': 'أ. رادونيتش'}}}",False,save,,assisted,"{'x': 24.4, 'y': 64, 'z': 0}",left-foot,low-right,"{'x': 0, 'y': 47.7, 'z': 0.6}","{'name': 'Marko Milošević', 'firstName': '', 'lastName': '', 'slug': 'marko-milosevic', 'shortName': 'M. Milošević', 'position': 'G', 'jerseyNumber': '1', 'userCount': 406, 'gender': 'M', 'id': 844305, 'fieldTranslations': {'nameTranslation': {'ar': 'ماركو ميلوشيفيتش'}, 'shortNameTranslation': {'ar': 'م. ميلوشيفيتش'}}}",6267259,20,1184,"{'start': {'x': 64, 'y': 24.4}, 'block': {'x': 52.3, 'y': 1}, 'end': {'x': 52.3, 'y': 0}, 'goal': {'x': 52.3, 'y': 99.4}}",26,1516,1184,shot,"{'x': 1, 'y': 52.3, 'z': 0}"
"{'name': 'Vanja Dragojević', 'slug': 'vanja-dragojevic', 'shortName': 'V. Dragojevic', 'position': 'M', 'jerseyNumber': '6', 'userCount': 748, 'gender': 'M', 'id': 1500276, 'fieldTranslations': {'nameTranslation': {'ar': 'فانيا دراجويفيتش'}, 'shortNameTranslation': {'ar': 'ف. دراجويفيتش'}}}",True,miss,,corner,"{'x': 10.5, 'y': 52.1, 'z': 0}",head,left,"{'x': 0, 'y': 71.8, 'z': 13.9}","{'name': 'Nikola Vasiljević', 'slug': 'nikola-vasiljevic', 'shortName': 'N. Vasiljević', 'position': 'G', 'jerseyNumber': '1', 'userCount': 77, 'gender': 'M', 'id': 834186, 'fieldTranslations': {'nameTranslation': {'ar': 'نيكولا فاسيليفيتش', 'bn': 'নিকোলা ভ্যাসিলিভিচ', 'hi': 'निकोला वासिलजेविक'}, 'shortNameTranslation': {'ar': 'ن. فاسيليفيتش', 'bn': 'এন. ভাসিলজেভিচ', 'hi': 'एन. वासिलजेविक'}}}",6267155,20,1144,"{'start': {'x': 52.1, 'y': 10.5}, 'block': {'x': 33.9, 'y': 2.4}, 'end': {'x': 28.2, 'y': 0}, 'goal': {'x': 28.2, 'y': 86.1}}",26,1556,1144,shot,"{'x': 2.4, 'y': 33.9, 'z': 0}"
"{'name': 'Nemanja Trifunović', 'firstName': 'Nemanja Trifunovic', 'slug': 'nemanja-trifunovic', 'shortName': 'N. Trifunović', 'position': 'M', 'jerseyNumber': '32', 'userCount': 515, 'gender': 'M', 'id': 1166188, 'fieldTranslations': {'nameTranslation': {'ar': 'نيمانيا تريفتش'}, 'shortNameTranslation': {'ar': 'ن. تريفتش'}}}",True,save,,corner,"{'x': 19.5, 'y': 27.8, 'z': 0}",right-foot,low-left,"{'x': 0, 'y': 54.1, 'z': 17.1}","{'name': 'Nikola Vasiljević', 'slug': 'nikola-vasiljevic', 'shortName': 'N. Vasiljević', 'position': 'G', 'jerseyNumber': '1', 'userCount': 77, 'gender': 'M', 'id': 834186, 'fieldTranslations': {'nameTranslation': {'ar': 'نيكولا فاسيليفيتش', 'bn': 'নিকোলা ভ্যাসিলিভিচ', 'hi': 'निकोला वासिलजेविक'}, 'shortNameTranslation': {'ar': 'ن. فاسيليفيتش', 'bn': 'এন. ভাসিলজেভিচ', 'hi': 'एन. वासिलजेविक'}}}",6267149,18,1067,"{'start': {'x': 27.8, 'y': 19.5}, 'block': {'x': 47.1, 'y': 0.7}, 'end': {'x': 45.9, 'y': 0}, 'goal': {'x': 45.9, 'y': 82.9}}",28,1633,1067,shot,"{'x': 0.7, 'y': 47.1, 'z': 0}"
"{'name': 'Kayode Saliman', 'firstName': 'Kayode', 'lastName': 'Saliman', 'slug': 'kayode-saliman', 'shortName': 'K. Saliman', 'position': 'M', 'jerseyNumber': '14', 'userCount': 39, 'gender': 'M', 'id': 1472922, 'fieldTranslations': {'nameTranslation': {'ar': 'كايويد ساليمان'}, 'shortNameTranslation': {'ar': 'ك. ساليمان'}}}",False,miss,,assisted,"{'x': 11.6, 'y': 36.4, 'z': 0}",left-foot,close-right,"{'x': 0, 'y': 41.8, 'z': 1.4}","{'name': 'Marko Milošević', 'firstName': '', 'lastName': '', 'slug': 'marko-milosevic', 'shortName': 'M. Milošević', 'position': 'G', 'jerseyNumber': '1', 'userCount': 406, 'gender': 'M', 'id': 844305, 'fieldTranslations': {'nameTranslation': {'ar': 'ماركو ميلوشيفيتش'}, 'shortNameTranslation': {'ar': 'م. ميلوشيفيتش'}}}",6267107,14,806,"{'start': {'x': 36.4, 'y': 11.6}, 'end': {'x': 58.2, 'y': 0}, 'goal': {'x': 58.2, 'y': 98.6}}",32,1894,806,shot,
"{'name': 'Ognjen Ugrešić', 'firstName': 'Ognjen Ugresic', 'slug': 'ognjen-ugresic', 'shortName': 'O. Ugrešić', 'position': 'M', 'jerseyNumber': '36', 'userCount': 1005, 'gender': 'M', 'id': 1427161, 'fieldTranslations': {'nameTranslation': {'ar': 'أوغنيين أوجريتش'}, 'shortNameTranslation': {'ar': 'أ. أوجريتش'}}}",True,goal,regular,assisted,"{'x': 23.8, 'y': 60.5, 'z': 0}",right-foot,low-left,"{'x': 0, 'y': 54.4, 'z': 3.2}","{'name': 'Nikola Vasiljević', 'slug': 'nikola-vasiljevic', 'shortName': 'N. Vasiljević', 'position': 'G', 'jerseyNumber': '1', 'userCount': 77, 'gender': 'M', 'id': 834186, 'fieldTranslations': {'nameTranslation': {'ar': 'نيكولا فاسيليفيتش', 'bn': 'নিকোলা ভ্যাসিলিভিচ', 'hi': 'निकोला वासिलजेविक'}, 'shortNameTranslation': {'ar': 'ن. فاسيليفيتش', 'bn': 'এন. ভাসিলজেভিচ', 'hi': 'एन. वासिलजेविक'}}}",6267098,13,733,"{'start': {'x': 60.5, 'y': 23.8}, 'end': {'x': 45.6, 'y': 0}, 'goal': {'x': 45.6, 'y': 96.8}}",33,1967,733,shot,
"{'name': 'Demba Seck', 'slug': 'demba-seck', 'shortName': 'D. Seck', 'position': 'M', 'jerseyNumber': '19', 'userCount': 1135, 'gender': 'M', 'id': 1012248, 'fieldTranslations': {'nameTranslation': {'ar': 'ديمبا سيك', 'bn': 'ডেম্বা সেক', 'hi': 'डेम्बा सेक'}, 'shortNameTranslation': {'ar': 'د. سيك', 'bn': 'ডি. সেক', 'hi': 'डी. सेक'}}}",True,miss,,assisted,"{'x': 13, 'y': 60.5, 'z': 0}",right-foot,high-right,"{'x': 0, 'y': 43.5, 'z': 63.9}","{'name': 'Nikola Vasiljević', 'slug': 'nikola-vasiljevic', 'shortName': 'N. Vasiljević', 'position': 'G', 'jerseyNumber': '1', 'userCount': 77, 'gender': 'M', 'id': 834186, 'fieldTranslations': {'nameTranslation': {'ar': 'نيكولا فاسيليفيتش', 'bn': 'নিকোলা ভ্যাসিলিভিচ', 'hi': 'निकोला वासिलजेविक'}, 'shortNameTranslation': {'ar': 'ن. فاسيليفيتش', 'bn': 'এন. ভাসিলজেভিচ', 'hi': 'एन. वासिलजेविक'}}}",6267096,12,693,"{'start': {'x': 60.5, 'y': 13}, 'end': {'x': 56.5, 'y': 0}, 'goal': {'x': 56.5, 'y': 36.1}}",34,2007,693,shot,
"{'name': 'Milan Vukotić', 'firstName': '', 'lastName': '', 'slug': 'milan-vukotic', 'shortName': 'M. Vukotić', 'position': 'M', 'jerseyNumber': '11', 'userCount': 946, 'gender': 'M', 'id': 1005605, 'fieldTranslations': {'nameTranslation': {'ar': 'ميلان فوكوتيتش', 'bn': 'মিলান ভুকোতিক', 'hi': 'मिलन वुकोटिक'}, 'shortNameTranslation': {'ar': 'م. فوكوتيتش', 'bn': 'এম. ভুকোতিক', 'hi': 'एम. वुकोटिक'}}}",True,miss,,assisted,"{'x': 13.9, 'y': 44.8, 'z': 0}",right-foot,right,"{'x': 0, 'y': 40, 'z': 25}","{'name': 'Nikola Vasiljević', 'slug': 'nikola-vasiljevic', 'shortName': 'N. Vasiljević', 'position': 'G', 'jerseyNumber': '1', 'userCount': 77, 'gender': 'M', 'id': 834186, 'fieldTranslations': {'nameTranslation': {'ar': 'نيكولا فاسيليفيتش', 'bn': 'নিকোলা ভ্যাসিলিভিচ', 'hi': 'निकोला वासिलजेविक'}, 'shortNameTranslation': {'ar': 'ن. فاسيليفيتش', 'bn': 'এন. ভাসিলজেভিচ', 'hi': 'एन. वासिलजेविक'}}}",6267095,11,629,"{'start': {'x': 44.8, 'y': 13.9}, 'block': {'x': 54.2, 'y': 8.1}, 'end': {'x': 60, 'y': 0}, 'goal': {'x': 60, 'y': 75}}",35,2071,629,shot,"{'x': 8.1, 'y': 54.2, 'z': 0}"
"{'name': 'Demba Seck', 'slug': 'demba-seck', 'shortName': 'D. Seck', 'position': 'M', 'jerseyNumber': '19', 'userCount': 1135, 'gender': 'M', 'id': 1012248, 'fieldTranslations': {'nameTranslation': {'ar': 'ديمبا سيك', 'bn': 'ডেম্বা সেক', 'hi': 'डेम्बा सेक'}, 'shortNameTranslation': {'ar': 'د. سيك', 'bn': 'ডি. সেক', 'hi': 'डी. सेक'}}}",True,block,,throw-in-set-piece,"{'x': 15, 'y': 63.4, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 50.9, 'z': 19}","{'name': 'Nikola Vasiljević', 'slug': 'nikola-vasiljevic', 'shortName': 'N. Vasiljević', 'position': 'G', 'jerseyNumber': '1', 'userCount': 77, 'gender': 'M', 'id': 834186, 'fieldTranslations': {'nameTranslation': {'ar': 'نيكولا فاسيليفيتش', 'bn': 'নিকোলা ভ্যাসিলিভিচ', 'hi': 'निकोला वासिलजेविक'}, 'shortNameTranslation': {'ar': 'ن. فاسيليفيتش', 'bn': 'এন. ভাসিলজেভিচ', 'hi': 'एन. वासिलजेविक'}}}",6267094,9,528,"{'start': {'x': 63.4, 'y': 15}, 'block': {'x': 61.9, 'y': 13.4}, 'end': {'x': 49.1, 'y': 0}, 'goal': {'x': 49.1, 'y': 81}}",37,2172,528,shot,"{'x': 13.4, 'y': 61.9, 'z': 0}"
"{'name': 'Ognjen Ugrešić', 'firstName': 'Ognjen Ugresic', 'slug': 'ognjen-ugresic', 'shortName': 'O. Ugrešić', 'position': 'M', 'jerseyNumber': '36', 'userCount': 1005, 'gender': 'M', 'id': 1427161, 'fieldTranslations': {'nameTranslation': {'ar': 'أوغنيين أوجريتش'}, 'shortNameTranslation': {'ar': 'أ. أوجريتش'}}}",True,block,,assisted,"{'x': 9.9, 'y': 59.9, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 51.1, 'z': 13.9}","{'name': 'Nikola Vasiljević', 'slug': 'nikola-vasiljevic', 'shortName': 'N. Vasiljević', 'position': 'G', 'jerseyNumber': '1', 'userCount': 77, 'gender': 'M', 'id': 834186, 'fieldTranslations': {'nameTranslation': {'ar': 'نيكولا فاسيليفيتش', 'bn': 'নিকোলা ভ্যাসিলিভিচ', 'hi': 'निकोला वासिलजेविक'}, 'shortNameTranslation': {'ar': 'ن. فاسيليفيتش', 'bn': 'এন. ভাসিলজেভিচ', 'hi': 'एन. वासिलजेविक'}}}",6267214,9,496,"{'start': {'x': 59.9, 'y': 9.9}, 'block': {'x': 59.4, 'y': 9.8}, 'end': {'x': 48.9, 'y': 0}, 'goal': {'x': 48.9, 'y': 86.1}}",37,2204,496,shot,"{'x': 9.8, 'y': 59.4, 'z': 0}"
