match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,punches,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,bestBallCarryProgression,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,duelLost,duelWon,challengeLost,totalContest,outfielderBlock,totalTackle,wonTackle,fouls,keyPass,aerialLost,aerialWon,dispossessed,wonContest,shotOffTarget,clearanceOffLine,interceptionWon,totalProgressiveBallCarriesDistance,progressiveBallCarriesCount,shotValueNormalized,blockedScoringAttempt,unsuccessfulTouch,wasFouled,onTargetScoringAttempt,goals,bigChanceCreated,bigChanceMissed,hitWoodwork,totalOffside
14015533,home,5152,FK Partizan,844305,Marko Milošević,marko-milosevic,G,1,False,31.0,24.0,9.0,2.0,0.0,23.0,27.0,1.0,4.0,2.0,6.0,2.0,5.0,1.0,1.0,1.0,90.0,43.0,7.6,7.0,72.109191226048,11.0,15.12,5.985,0.3839,"{'original': 7.6, 'alternative': 7.8}",0,0.04,-0.05,0.15,0.35,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,77.41935483870968,22.22222222222222,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015533,home,5152,FK Partizan,1150389,Milan Roganović,milan-roganovic,D,30,False,60.0,51.0,3.0,1.0,1.0,22.0,24.0,29.0,36.0,3.0,3.0,,,,,,90.0,73.0,7.3,11.0,164.02019227756,22.0,86.52,19.11,,"{'original': 7.3, 'alternative': 7.6}",0,0.41,0.04,0.33,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,0,4,1,3,85.0,33.33333333333333,100.0,,,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,
14015533,home,5152,FK Partizan,888701,Stefan Milić,stefan-milic,D,44,False,61.0,55.0,4.0,2.0,0.0,30.0,31.0,25.0,30.0,1.0,4.0,,,,,,90.0,76.0,8.8,8.0,181.26106003422,22.0,98.385,17.325,,"{'original': 8.8, 'alternative': 8.6}",1,0.37,0.39,0.49,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,3,4,3,1,90.1639344262295,50.0,,100.0,,1.0,,2.0,5.0,,2.0,2.0,1.0,1.0,,,1.0,2.0,1.0,2.0,1.0,2.0,3.0,23.390860674874,2.0,-0.24,,,,,,,,,
14015533,home,5152,FK Partizan,1427163,Nikola Simic,nikola-simic,D,40,False,44.0,41.0,4.0,4.0,0.0,23.0,26.0,18.0,18.0,4.0,8.0,,,,,,90.0,54.0,7.4,5.0,82.226199466618,14.0,22.68,13.545,,"{'original': 7.4, 'alternative': 7.3}",1,0.29,0.06,0.26,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,3,2,1,1,93.18181818181817,100.0,,100.0,,,,3.0,2.0,,1.0,,,,1.0,,2.0,1.0,,1.0,,,1.0,,,-0.05,1.0,2.0,,,,,,,
14015533,home,1892,FK Partizan,286121,Yanis Karabelyov,yanis-karabelyov,D,28,False,67.0,56.0,3.0,,0.0,24.0,24.0,32.0,43.0,2.0,7.0,,,,,,89.0,79.0,6.9,12.0,132.74229258339,20.0,53.76,10.71,,"{'original': 6.9, 'alternative': 7.2}",0,0.22,0.17,0.2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,4,3,2,1,83.5820895522388,,,,,,,3.0,4.0,,,,1.0,1.0,,,2.0,2.0,1.0,,,,3.0,,,,,,1.0,,,,,,
14015533,home,5152,FK Partizan,1500276,Vanja Dragojević,vanja-dragojevic,M,6,False,61.0,56.0,4.0,4.0,0.0,14.0,16.0,42.0,45.0,2.0,10.0,,,,,,90.0,74.0,7.4,7.0,185.95279576991,25.0,55.965,27.09,,"{'original': 7.4, 'alternative': 7.3}",1,0.34,0.16,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,1,9,5,4,91.80327868852459,100.0,,100.0,,,,5.0,5.0,2.0,1.0,,2.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,29.897157122375,1.0,-0.14,,1.0,2.0,,,,,,
14015533,home,5152,FK Partizan,1012248,Demba Seck,demba-seck,M,19,False,22.0,18.0,1.0,1.0,0.0,4.0,4.0,14.0,18.0,,3.0,,,,,,69.0,38.0,6.9,10.0,138.80052761614,13.0,76.44,19.215,,"{'original': 6.9, 'alternative': 6.9}",2,0.27,0.29,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,3,8,4,4,81.81818181818183,100.0,25.0,33.33333333333333,,4.0,1.0,7.0,4.0,,3.0,,2.0,1.0,1.0,1.0,3.0,,1.0,1.0,1.0,,,45.367618637783,3.0,-0.23,1.0,,1.0,,,,,,
14015533,home,5152,FK Partizan,1427161,Ognjen Ugrešić,ognjen-ugresic,M,36,False,31.0,26.0,2.0,1.0,0.0,9.0,11.0,17.0,20.0,,4.0,,,,,,81.0,46.0,8.6,12.0,105.94970150163,14.0,64.05,27.195,,"{'original': 8.6, 'alternative': 8.5}",3,0.09,0.15,-0.06,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,0,3,0,3,83.87096774193549,50.0,,,,1.0,,3.0,,1.0,2.0,,,,,2.0,,,,,,,2.0,44.121652480112,2.0,0.89,1.0,4.0,,2.0,2.0,,,,
14015533,home,5152,FK Partizan,1005605,Milan Vukotić,milan-vukotic,M,11,False,64.0,51.0,2.0,1.0,0.0,11.0,12.0,40.0,52.0,,9.0,,,,,,89.0,95.0,8.4,26.0,224.81484176453,29.0,123.48,16.275,,"{'original': 8.4, 'alternative': 9}",4,0.4,0.27,-0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,0,10,5,5,79.6875,50.0,30.0,100.0,,10.0,3.0,5.0,5.0,2.0,4.0,,,,,5.0,,,3.0,4.0,1.0,,,,,0.51,,3.0,1.0,3.0,1.0,1.0,,,
14015533,home,5152,FK Partizan,1166188,Nemanja Trifunović,nemanja-trifunovic,M,32,False,42.0,35.0,1.0,,0.0,13.0,14.0,22.0,28.0,,5.0,,,,,,90.0,63.0,6.7,17.0,240.17867793023,26.0,171.15,21.945,,"{'original': 6.7, 'alternative': 7.2}",2,0.31,0.38,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,2,8,3,5,83.33333333333334,,66.66666666666666,50.0,,6.0,4.0,6.0,4.0,,4.0,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,,,,71.169544901743,4.0,-0.26,,4.0,,2.0,,1.0,,,
