match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,interceptionWon,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,dispossessed,keyPass,shotOffTarget
15566226,home,6226,FK Dečić Tuzi,55668,Miloš Dragojević,milos-dragojevic,G,33,False,21.0,20.0,6.0,5.0,0.0,16.0,16.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,90.0,27.0,7.5,1.0,0.0,0.0,"{'original': 7.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,95.23809523809523,83.33333333333334,,,,,,
15566226,home,6226,FK Dečić Tuzi,958574,Jonathan Dresaj,jonathan-dresaj,D,22,False,41.0,31.0,6.0,3.0,0.0,16.0,19.0,13.0,20.0,2.0,0.0,1.0,0.0,8.0,4.0,0.0,3.0,2.0,0.0,0.0,2.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,,,,,,,90.0,56.0,6.9,11.0,0.0,0.11,"{'original': 6.9, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,1,11,4,7,75.60975609756098,50.0,0.0,66.66666666666666,,1.0,1.0,
15566226,home,6226,FK Dečić Tuzi,1063206,Leon Ujkaj,leon-ujkaj,D,17,False,81.0,68.0,12.0,5.0,0.0,42.0,46.0,25.0,34.0,0.0,0.0,1.0,0.0,6.0,4.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,,,,,90.0,107.0,7.3,13.0,0.0,0.0,"{'original': 7.3, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,1,9,4,5,83.9506172839506,41.66666666666667,,100.0,,,,
15566226,home,6226,FK Dečić Tuzi,1466922,Nikola Braunović,nikola-braunovic,D,29,False,80.0,66.0,15.0,8.0,0.0,45.0,49.0,19.0,29.0,0.0,0.0,3.0,3.0,6.0,7.0,0.0,1.0,1.0,0.0,0.0,7.0,0.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,,,,,,90.0,107.0,7.5,14.0,0.0,0.0,"{'original': 7.5, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,6,7,4,3,82.5,53.333333333333336,,100.0,,,,1.0
15566226,home,6226,FK Dečić Tuzi,1423517,Lazar Maraš,lazar-maras,D,18,False,18.0,11.0,3.0,0.0,0.0,4.0,7.0,7.0,10.0,1.0,1.0,0.0,4.0,7.0,7.0,1.0,4.0,3.0,0.0,0.0,1.0,0.0,,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,,,,,,73.0,27.0,6.9,12.0,0.0,0.04,"{'original': 6.9, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,4,10,3,7,61.111111111111114,0.0,100.0,75.0,,1.0,1.0,
15566226,home,6226,FK Dečić Tuzi,334115,Matija Božanović,matija-bozanovic,M,16,False,41.0,33.0,4.0,0.0,0.0,12.0,15.0,18.0,22.0,0.0,0.0,1.0,4.0,8.0,7.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,4.0,16.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,,,,,,,73.0,55.0,6.8,13.0,0.0,0.0,"{'original': 6.8, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",15,5,10,3,7,80.48780487804879,0.0,,50.0,,1.0,,
15566226,home,6225,FK Dečić Tuzi,1131064,Balša Radusinović,balsa-radusinovic,M,32,False,16.0,11.0,2.0,2.0,0.0,1.0,1.0,10.0,15.0,4.0,3.0,1.0,1.0,11.0,7.0,1.0,7.0,3.0,0.0,0.0,0.0,0.0,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,90.0,32.0,6.7,16.0,0.11,0.11,"{'original': 6.7, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",18,2,16,6,10,68.75,100.0,75.0,42.857142857142854,,2.0,1.0,1.0
15566226,home,6226,FK Dečić Tuzi,76273,Asmir Kajević,asmir-kajevic,M,10,False,52.0,45.0,6.0,3.0,0.0,20.0,20.0,25.0,31.0,1.0,0.0,0.0,1.0,10.0,9.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,,10.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,,,,,,,90.0,69.0,7.0,5.0,0.05,0.0,"{'original': 7, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",19,1,18,8,10,86.53846153846155,50.0,0.0,100.0,,1.0,,2.0
15566226,home,6226,FK Dečić Tuzi,1394763,Trimror Selimi,trimron-selimi,M,19,False,18.0,10.0,0.0,0.0,0.0,3.0,7.0,6.0,10.0,4.0,0.0,0.0,0.0,6.0,5.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,,,,,,,73.0,34.0,6.8,8.0,0.0,0.0,"{'original': 6.8, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,0,11,5,6,55.55555555555556,,0.0,66.66666666666666,,,,
15566226,home,6226,FK Dečić Tuzi,929112,Petar Pavlićević,petar-pavlicevic,F,74,False,25.0,20.0,2.0,1.0,0.0,4.0,6.0,16.0,19.0,1.0,1.0,4.0,0.0,12.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,4.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,,,,,,,73.0,36.0,6.3,14.0,0.11,0.11,"{'original': 6.3, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,4,9,1,8,80.0,50.0,100.0,0.0,,2.0,1.0,1.0
