minute,value
0.0,0
1.0,3
2.0,27
3.0,21
3.5,-1
4.0,8
5.0,1
6.0,2
7.0,32
8.0,20
8.5,2
9.0,4
10.0,9
11.0,2
12.0,7
13.0,-4
14.0,8
15.0,11
16.0,15
17.0,-28
18.0,-34
18.5,3
19.0,-23
20.0,-6
21.0,28
22.0,20
23.0,18
24.0,14
25.0,7
25.5,4
26.0,35
26.5,4
27.0,29
28.0,1
28.5,4
29.0,-3
30.0,9
31.0,11
31.5,4
32.0,39
32.5,4
33.0,33
34.0,18
35.0,13
35.5,3
36.0,10
36.5,3
37.0,11
37.5,3
38.0,4
38.5,3
39.0,5
40.0,11
40.5,3
41.0,9
42.0,3
43.0,-28
43.5,3
44.0,-3
44.5,3
45.0,3
45.5,-10
46.0,3
47.0,-18
47.5,3
48.0,-13
48.5,3
49.0,8
49.5,3
50.0,3
51.0,14
52.0,7
53.0,7
53.5,3
54.0,16
54.5,3
55.0,47
56.0,39
57.0,16
58.0,6
58.5,2
59.0,-24
59.5,2
60.0,-14
61.0,-7
62.0,-2
63.0,2
63.5,2
64.0,5
64.5,2
65.0,-39
65.5,2
66.0,-25
67.0,-19
67.5,2
68.0,-15
69.0,-8
69.5,2
70.0,42
71.0,31
72.0,20
72.5,2
73.0,14
73.5,2
74.0,10
74.5,2
75.0,-19
76.0,-14
76.5,2
77.0,12
78.0,24
78.5,2
79.0,11
80.0,35
81.0,28
82.0,13
82.5,2
83.0,13
84.0,5
85.0,3
85.5,2
86.0,3
86.5,2
87.0,4
88.0,14
88.5,2
89.0,6
89.5,2
90.0,5
90.5,-35
