player,isHome,shotType,goalType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,id,time,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,blockCoordinates,addedTime
"{'name': 'Mirko Ivanić', 'slug': 'mirko-ivanic', 'shortName': 'M. Ivanić', 'position': 'M', 'jerseyNumber': '4', 'userCount': 1280, 'gender': 'M', 'id': 278763, 'fieldTranslations': {'nameTranslation': {'ar': 'ميركو إيفانيش', 'bn': 'মিরকো ইভানিচ', 'hi': 'मिर्को इवानिक'}, 'shortNameTranslation': {'ar': 'م. إيفانيش', 'bn': 'এম. ইভানিচ', 'hi': 'एम. इवानिक'}}}",False,goal,regular,regular,"{'x': 9.9, 'y': 40.3, 'z': 0}",right-foot,low-right,"{'x': 0, 'y': 47.4, 'z': 1.9}",5533590,87,5177,"{'start': {'x': 40.3, 'y': 9.9}, 'end': {'x': 52.6, 'y': 0}, 'goal': {'x': 52.6, 'y': 98.1}}",4,223,2477,shot,,
"{'name': 'Cherif Ndiaye', 'slug': 'ndiaye-cherif', 'shortName': 'C. Ndiaye', 'position': 'F', 'jerseyNumber': '19', 'userCount': 6746, 'gender': 'M', 'id': 868268, 'fieldTranslations': {'nameTranslation': {'ar': 'ندياني، شريف', 'bn': 'এনডিয়ে, শেরিফ', 'hi': 'नदिये, चेरिफ़'}, 'shortNameTranslation': {'ar': 'ش. شريف', 'bn': 'সি. এনডিয়ে', 'hi': 'सी. नदिये'}}}",False,goal,regular,regular,"{'x': 8.6, 'y': 55.4, 'z': 0}",right-foot,low-right,"{'x': 0, 'y': 48.1, 'z': 13.3}",5533570,85,5094,"{'start': {'x': 55.4, 'y': 8.6}, 'end': {'x': 51.9, 'y': 0}, 'goal': {'x': 51.9, 'y': 86.7}}",6,306,2394,shot,,
"{'name': 'Mahmudu Bajo', 'slug': 'bajo', 'shortName': 'M. Bajo', 'position': 'M', 'jerseyNumber': '6', 'userCount': 1204, 'gender': 'M', 'id': 1516318, 'fieldTranslations': {'nameTranslation': {'ar': 'محمود باجو'}, 'shortNameTranslation': {'ar': 'م. باجو'}}}",False,save,,fast-break,"{'x': 13.6, 'y': 67.5, 'z': 0}",right-foot,low-right,"{'x': 0, 'y': 47.7, 'z': 16.5}",5533541,82,4880,"{'start': {'x': 67.5, 'y': 13.6}, 'block': {'x': 51.6, 'y': 1.1}, 'end': {'x': 52.3, 'y': 0}, 'goal': {'x': 52.3, 'y': 83.5}}",9,520,2180,shot,"{'x': 1.1, 'y': 51.6, 'z': 0}",
"{'name': 'Mahmudu Bajo', 'slug': 'bajo', 'shortName': 'M. Bajo', 'position': 'M', 'jerseyNumber': '6', 'userCount': 1204, 'gender': 'M', 'id': 1516318, 'fieldTranslations': {'nameTranslation': {'ar': 'محمود باجو'}, 'shortNameTranslation': {'ar': 'م. باجو'}}}",False,miss,,assisted,"{'x': 25.7, 'y': 55.2, 'z': 0}",right-foot,high,"{'x': 0, 'y': 45.7, 'z': 86.1}",5533507,79,4704,"{'start': {'x': 55.2, 'y': 25.7}, 'end': {'x': 54.3, 'y': 0}, 'goal': {'x': 54.3, 'y': 13.9}}",12,696,2004,shot,,
"{'name': 'Aleksandar Katai', 'firstName': '', 'lastName': '', 'slug': 'aleksandar-katai', 'shortName': 'A. Katai', 'position': 'M', 'jerseyNumber': '10', 'userCount': 2418, 'gender': 'M', 'id': 110701, 'fieldTranslations': {'nameTranslation': {'ar': 'ألكسندر كاتاي', 'bn': 'আলেকসান্ডার কাটাই', 'hi': 'एलेक्ज़ेंडर कटई'}, 'shortNameTranslation': {'ar': 'أ. كاتاي', 'bn': 'এ. কাটাই', 'hi': 'ए. कटई'}}}",False,miss,,regular,"{'x': 8.5, 'y': 56, 'z': 0}",right-foot,close-left,"{'x': 0, 'y': 57.1, 'z': 2.8}",5533459,75,4444,"{'start': {'x': 56, 'y': 8.5}, 'end': {'x': 42.9, 'y': 0}, 'goal': {'x': 42.9, 'y': 97.2}}",16,956,1744,shot,,
"{'name': 'Adem Avdić', 'firstName': '', 'lastName': '', 'slug': 'adem-avdic', 'shortName': 'A. Avdić', 'position': 'D', 'jerseyNumber': '71', 'userCount': 1020, 'gender': 'M', 'id': 1493918, 'fieldTranslations': {'nameTranslation': {'ar': 'أديم أفديتش'}, 'shortNameTranslation': {'ar': 'أ. أفديتش'}}}",False,save,,assisted,"{'x': 27.4, 'y': 42.3, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 48.7, 'z': 3.8}",5533458,75,4441,"{'start': {'x': 42.3, 'y': 27.4}, 'block': {'x': 49.3, 'y': 1.2}, 'end': {'x': 51.3, 'y': 0}, 'goal': {'x': 51.3, 'y': 96.2}}",16,959,1741,shot,"{'x': 1.2, 'y': 49.3, 'z': 0}",
"{'name': 'Cherif Ndiaye', 'slug': 'ndiaye-cherif', 'shortName': 'C. Ndiaye', 'position': 'F', 'jerseyNumber': '19', 'userCount': 6746, 'gender': 'M', 'id': 868268, 'fieldTranslations': {'nameTranslation': {'ar': 'ندياني، شريف', 'bn': 'এনডিয়ে, শেরিফ', 'hi': 'नदिये, चेरिफ़'}, 'shortNameTranslation': {'ar': 'ش. شريف', 'bn': 'সি. এনডিয়ে', 'hi': 'सी. नदिये'}}}",False,miss,,corner,"{'x': 7.7, 'y': 50.7, 'z': 0}",head,left,"{'x': 0, 'y': 92.3, 'z': 4.2}",5533439,72,4285,"{'start': {'x': 50.7, 'y': 7.7}, 'block': {'x': 11.9, 'y': 7.9}, 'end': {'x': 7.7, 'y': 0}, 'goal': {'x': 7.7, 'y': 95.8}}",19,1115,1585,shot,"{'x': 7.9, 'y': 11.9, 'z': 0}",
"{'name': 'Ivan Davidović', 'firstName': 'Ivan Davidovic', 'slug': 'ivan-davidovic', 'shortName': 'I. Davidović', 'position': 'M', 'jerseyNumber': '24', 'userCount': 55, 'gender': 'M', 'id': 1147753, 'fieldTranslations': {'nameTranslation': {'ar': 'إيفان دافيدوفيتش'}, 'shortNameTranslation': {'ar': 'إ. دافيدوفيتش'}}}",True,block,,assisted,"{'x': 21.9, 'y': 32.7, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50.4, 'z': 19}",5533417,67,3973,"{'start': {'x': 32.7, 'y': 21.9}, 'block': {'x': 34.1, 'y': 20.1}, 'end': {'x': 49.6, 'y': 0}, 'goal': {'x': 49.6, 'y': 81}}",24,1427,1273,shot,"{'x': 20.1, 'y': 34.1, 'z': 0}",
"{'name': 'Aleksandar Katai', 'firstName': '', 'lastName': '', 'slug': 'aleksandar-katai', 'shortName': 'A. Katai', 'position': 'M', 'jerseyNumber': '10', 'userCount': 2418, 'gender': 'M', 'id': 110701, 'fieldTranslations': {'nameTranslation': {'ar': 'ألكسندر كاتاي', 'bn': 'আলেকসান্ডার কাটাই', 'hi': 'एलेक्ज़ेंडर कटई'}, 'shortNameTranslation': {'ar': 'أ. كاتاي', 'bn': 'এ. কাটাই', 'hi': 'ए. कटई'}}}",False,miss,,free-kick,"{'x': 22.6, 'y': 45.4, 'z': 0}",right-foot,high-left,"{'x': 0, 'y': 57, 'z': 62.5}",5533416,66,3952,"{'start': {'x': 45.4, 'y': 22.6}, 'end': {'x': 43, 'y': 0}, 'goal': {'x': 43, 'y': 37.5}}",25,1448,1252,shot,,
"{'name': 'Emmanuel Sieh', 'firstName': 'Emmanuel Sieh', 'slug': 'emmanuel-sieh', 'shortName': 'E. Sieh', 'position': 'F', 'jerseyNumber': '26', 'userCount': 54, 'gender': 'M', 'id': 1910796, 'fieldTranslations': {'nameTranslation': {'ar': 'إيمانويل سيه'}, 'shortNameTranslation': {'ar': 'إ. سيه'}}}",True,goal,regular,assisted,"{'x': 13.9, 'y': 48.1, 'z': 0}",right-foot,low-right,"{'x': 0, 'y': 47.3, 'z': 3.2}",5533381,62,3675,"{'start': {'x': 48.1, 'y': 13.9}, 'end': {'x': 52.7, 'y': 0}, 'goal': {'x': 52.7, 'y': 96.8}}",29,1725,975,shot,,
