match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,interceptionWon,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,shotOffTarget,keyPass,dispossessed,blockedScoringAttempt,bigChanceCreated
15280987,home,36019,FK Mornar Bar,856483,Balša Sekulić,balsa-sekulic,F,9,False,18.0,12.0,2.0,0.0,0.0,4.0,4.0,8.0,14.0,0.0,0.0,1.0,3.0,11.0,7.0,0.0,2.0,1.0,4.0,2.0,0.0,0.0,,3.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,4.0,,,,,,,82.0,39.0,8.7,11.0,1.5,0.0,"{'original': 8.7, 'alternative': None}",5.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",18,4,14,4,10,66.66666666666666,0.0,,50.0,,1.0,,2.0,,
15280987,home,36019,FK Mornar Bar,843005,Marko Đurišić,marko-durisic,M,8,True,16.0,12.0,1.0,0.0,0.0,6.0,6.0,6.0,10.0,0.0,0.0,1.0,0.0,4.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,5.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,,,,,,44.0,20.0,6.8,4.0,0.05,0.0,"{'original': 6.8, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,1,6,3,3,75.0,0.0,,100.0,,1.0,1.0,1.0,,
15280987,home,36019,FK Mornar Bar,894450,Yann Michael Yao,yann-michael-yao,M,11,True,6.0,4.0,0.0,0.0,0.0,1.0,1.0,3.0,5.0,1.0,0.0,0.0,2.0,4.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,13.0,10.0,6.2,7.0,0.0,0.0,"{'original': 6.2, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,2,4,0,4,66.66666666666666,,0.0,0.0,,,,1.0,,
15280987,home,36019,FK Mornar Bar,1404815,Matija Rovčanin,matija-rovcanin,M,21,True,5.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,8.0,7.0,6.5,2.0,0.0,0.0,"{'original': 6.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,0,1,40.0,,,,,,,,,
15280987,home,36019,FK Mornar Bar,1484678,Vukas Dragović,vukas-dragovic,M,99,True,5.0,4.0,1.0,0.0,0.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,8.0,9.0,6.7,2.0,0.0,0.0,"{'original': 6.7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,80.0,0.0,,,,,,,,
15280987,home,36019,FK Mornar Bar,357708,Nikola Vujnović,nikola-vujnovic,F,97,True,4.0,3.0,0.0,0.0,0.0,,,3.0,3.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,8.0,6.0,6.6,3.0,0.0,0.05,"{'original': 6.6, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,1,2,1,1,75.0,,,,,,1.0,1.0,,
15280987,home,36019,FK Mornar Bar,1498808,Vasilije Stojanović,vasilije-stojanovic,G,13,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,
15280987,home,36019,FK Mornar Bar,1214474,Nikola Vuković,nikola-vukovic,D,14,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,
15280987,home,1138707,FK Mornar Bar,1606675,Luka Perović,luka-perovic,M,22,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,
15280987,home,241802,FK Mornar Bar,839271,Nemanja Vlahović,nemanja-vlahovic,M,94,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,
