minute,value
0.0,0
1.0,-5
2.0,-2
3.0,7
4.0,6
5.0,16
6.0,14
7.0,-26
8.0,-13
9.0,-5
10.0,-1
11.0,-5
12.0,2
13.0,8
14.0,6
15.0,35
16.0,22
17.0,20
18.0,18
19.0,17
20.0,14
21.0,10
22.0,12
23.0,53
24.0,38
25.0,-34
26.0,-5
27.0,12
28.0,-4
29.0,-31
30.0,-10
31.0,7
32.0,7
33.0,6
34.0,2
35.0,2
36.0,-35
37.0,66
38.0,58
39.0,36
40.0,22
41.0,22
42.0,9
43.0,10
44.0,97
45.0,64
45.5,-20
46.0,12
47.0,28
48.0,98
49.0,60
50.0,42
51.0,25
52.0,20
53.0,12
54.0,8
55.0,6
56.0,-4
57.0,6
58.0,9
59.0,6
60.0,-5
61.0,6
62.0,4
63.0,3
64.0,3
65.0,3
66.0,2
67.0,-5
68.0,-32
69.0,-14
70.0,-3
71.0,-27
72.0,-15
73.0,-27
74.0,-16
75.0,46
76.0,99
77.0,65
78.0,100
79.0,75
80.0,42
81.0,10
82.0,-40
83.0,-32
84.0,-14
85.0,-3
86.0,-1
87.0,-40
88.0,-22
89.0,-39
90.0,-29
90.5,15
