match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,totalOppositionHalfPasses,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,bestBallCarryProgression,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,accurateOppositionHalfPasses,totalCross,accurateCross,aerialWon,duelLost,duelWon,challengeLost,blockedScoringAttempt,totalClearance,outfielderBlock,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,keyPass,shotValueNormalized,onTargetScoringAttempt,fouls,aerialLost,totalContest,wonContest,bigChanceMissed,shotOffTarget,dispossessed,bigChanceCreated,totalOffside,clearanceOffLine,hitWoodwork,goals
14015541,home,5144,FK Javor Ivanjica,834186,Nikola Vasiljević,nikola-vasiljevic,G,1,False,17.0,9.0,10.0,2.0,0.0,9.0,10.0,7.0,7.0,1.0,2.0,3.0,90.0,26.0,6.2,8.0,20.739334785871,3.0,0.945,2.52,0.0329,"{'original': 6.2, 'alternative': 6.7}",0,-0.02,-0.01,-0.06,0.04,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,52.94117647058824,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015541,home,5144,FK Javor Ivanjica,981518,Marko Bjeković,marko-bjekovic,D,13,False,34.0,28.0,4.0,2.0,0.0,14.0,17.0,17.0,5.0,,,,90.0,67.0,7.7,11.0,240.88891826111,19.0,122.745,36.645,,"{'original': 7.7, 'alternative': 7.6}",2,0.08,0.44,0.27,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,1,9,7,2,82.35294117647058,50.0,33.33333333333333,,,14.0,3.0,1.0,1.0,2.0,8.0,2.0,2.0,7.0,1.0,3.0,4.0,4.0,3.0,3.0,2.0,-0.21,,,,,,,,,,,,,
14015541,home,5144,FK Javor Ivanjica,1500275,Petar Petrović,petar-petrovic,D,21,False,59.0,48.0,12.0,5.0,0.0,28.0,32.0,27.0,4.0,,,,90.0,73.0,7.1,12.0,284.08776178648,27.0,124.53,25.83,,"{'original': 7.1, 'alternative': 7.5}",1,0.25,0.2,0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,1,5,4,1,81.35593220338984,41.66666666666667,,,,20.0,,,1.0,1.0,5.0,,,3.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,-0.05,1.0,1.0,,,,,,,,,,,
14015541,home,5144,FK Javor Ivanjica,1468253,Đorđe Skoko,dorde-skoko,D,26,False,57.0,44.0,8.0,4.0,0.0,32.0,37.0,20.0,4.0,,,,90.0,75.0,6.9,15.0,153.37742884001,21.0,47.46,17.01,,"{'original': 6.9, 'alternative': 7}",1,0.14,0.12,0.37,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,4,4,3,1,77.19298245614034,50.0,,100.0,,12.0,,,1.0,4.0,4.0,,,7.0,2.0,,1.0,1.0,,,,-0.23,,1.0,3.0,2.0,2.0,1.0,1.0,,,,,,
14015541,home,5144,FK Javor Ivanjica,1124030,Milan Ilić,ilic-milan,D,2,False,31.0,25.0,5.0,2.0,0.0,15.0,19.0,12.0,5.0,,,,81.0,55.0,6.7,11.0,151.43351708105,16.0,82.635,21.63,,"{'original': 6.7, 'alternative': 6.9}",0,0.17,0.19,-0.07,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,1,4,2,2,80.64516129032258,40.0,40.0,100.0,,10.0,5.0,2.0,,3.0,2.0,2.0,,6.0,1.0,2.0,,,2.0,,,,,,1.0,2.0,2.0,,,,,,,,
14015541,home,5144,FK Javor Ivanjica,986764,Boubacari Doucoure,boubacari-doucoure,M,19,False,43.0,35.0,5.0,1.0,0.0,12.0,14.0,29.0,9.0,,,,90.0,63.0,7.6,11.0,212.50490266348,20.0,121.905,34.545,,"{'original': 7.6, 'alternative': 7.8}",1,0.33,0.51,0.19,,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,2,10,7,3,81.3953488372093,20.0,,50.0,,23.0,,,1.0,4.0,8.0,1.0,,4.0,,,6.0,3.0,1.0,,4.0,-0.41,1.0,1.0,1.0,2.0,1.0,,,,,,,,
14015541,home,5144,FK Javor Ivanjica,1435246,Mamane Amadou Sabo,mamane-amadou-sabo,M,6,False,64.0,57.0,5.0,3.0,0.0,28.0,29.0,35.0,12.0,,,,90.0,78.0,7.7,9.0,222.07600966531,22.0,116.655,33.18,,"{'original': 7.7, 'alternative': 7.9}",2,0.42,0.29,0.27,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,4,6,5,1,89.0625,60.0,100.0,100.0,,29.0,2.0,2.0,2.0,3.0,7.0,,1.0,,,1.0,2.0,1.0,1.0,2.0,2.0,-0.51,,,2.0,1.0,1.0,,1.0,1.0,1.0,,,,
14015541,home,5144,FK Javor Ivanjica,1472922,Kayode Saliman,kayode-saliman,M,14,False,25.0,19.0,1.0,1.0,0.0,6.0,9.0,16.0,2.0,,,,89.0,49.0,6.2,20.0,187.1454669805,15.0,125.79,23.205,,"{'original': 6.2, 'alternative': 6.5}",3,-0.11,0.51,-0.04,,"{'sportSlug': 'football', 'statisticsType': 'player'}",16,4,12,3,9,76.0,100.0,,33.33333333333333,,13.0,3.0,,1.0,12.0,4.0,1.0,,1.0,,,1.0,1.0,3.0,1.0,1.0,-0.52,1.0,3.0,3.0,3.0,1.0,,2.0,3.0,,,,,
14015541,home,5144,FK Javor Ivanjica,1392891,Nemanja Đokić,nemanja-dokic,M,5,False,28.0,24.0,2.0,,0.0,10.0,11.0,17.0,6.0,,,,61.0,42.0,6.6,8.0,104.91779436938,14.0,57.645,30.03,,"{'original': 6.6, 'alternative': 6.8}",1,0.14,0.07,-0.03,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,3,5,2,3,85.71428571428571,,50.0,33.33333333333333,,14.0,2.0,1.0,2.0,4.0,4.0,,,3.0,,,1.0,,1.0,,,-0.51,1.0,1.0,1.0,3.0,1.0,1.0,,,,,,,
14015541,home,378020,FK Javor Ivanjica,1468252,Aleksa Radonjić,aleksa-radonjic,M,20,False,20.0,12.0,1.0,,0.0,2.0,8.0,12.0,3.0,,,,81.0,37.0,6.1,14.0,176.61340969314,12.0,117.39,39.585,,"{'original': 6.1, 'alternative': 6.7}",2,-0.29,0.1,-0.11,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,6,5,2,3,60.0,,,100.0,,10.0,,,3.0,6.0,5.0,1.0,,,,,,,5.0,1.0,,-0.52,1.0,1.0,3.0,1.0,1.0,,1.0,1.0,,1.0,,,
14015541,home,5144,FK Javor Ivanjica,972802,Bayere Loue,bayere-loue,F,27,False,16.0,13.0,,,0.0,3.0,4.0,12.0,2.0,,,,61.0,22.0,7.1,4.0,78.300231426085,7.0,22.68,11.655,,"{'original': 7.1, 'alternative': 7.1}",0,0.21,0.27,0.16,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,1,4,3,1,81.25,,,100.0,,10.0,,,,2.0,3.0,,,1.0,,,,,1.0,2.0,3.0,,,1.0,1.0,1.0,1.0,,,,1.0,,,,
14015541,home,5144,FK Javor Ivanjica,895905,Ibrahim Tanko,ibrahim-tanko,F,9,True,7.0,5.0,,,0.0,2.0,2.0,5.0,,,,,29.0,11.0,6.4,4.0,44.284285997109,4.0,36.75,14.805,,"{'original': 6.4, 'alternative': 6.4}",0,0.16,0.01,0.22,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,3,1,0,1,71.42857142857143,,,,,3.0,,,1.0,3.0,1.0,,,,,,,,1.0,,,,,,2.0,1.0,,,,,,,,,
14015541,home,5144,FK Javor Ivanjica,98458,Dušan Pantelić,dusan-pantelic,M,10,True,18.0,14.0,1.0,1.0,0.0,5.0,6.0,12.0,3.0,,,,29.0,22.0,6.6,5.0,56.60813288725,7.0,-20.79,3.99,,"{'original': 6.6, 'alternative': 6.8}",1,0.03,0.16,0.2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,2,3,1,2,77.77777777777779,100.0,,,,9.0,1.0,,1.0,3.0,2.0,,,,,,1.0,1.0,,,,-0.1,,2.0,1.0,,,,1.0,,,,,,
14015541,home,5144,FK Javor Ivanjica,1910871,Petar Đoković,dokovic-petar,M,25,True,1.0,1.0,,,0.0,,,1.0,,,,,9.0,4.0,6.6,3.0,10.456486025429,1.0,6.09,6.09,,"{'original': 6.6, 'alternative': 6.5}",0,-0.04,0.06,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,1,0,0,0,100.0,,,,,1.0,,,,1.0,,,,,,,,,3.0,,,,,,1.0,,,,,,,,,,
14015541,home,5144,FK Javor Ivanjica,943573,Stefan Vilotic,stefan-vilotic,D,3,True,5.0,5.0,2.0,2.0,0.0,2.0,2.0,3.0,1.0,,,,9.0,11.0,7.7,2.0,20.247863319373,1.0,20.055,20.055,,"{'original': 7.7, 'alternative': 7.8}",0,0.1,0.02,0.47,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,1,0,0,0,100.0,100.0,,,,3.0,,,1.0,,1.0,,,,2.0,1.0,,,1.0,,,,,,,,,,,,,,1.0,,
14015541,home,312342,FK Javor Ivanjica,1942888,Boasiako Francis Antwi,boasiako-francis-antwi,F,33,True,4.0,3.0,,,0.0,2.0,2.0,2.0,1.0,,,,1.0,7.0,,2.0,,,,,,,1,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,1,3,0,3,75.0,,,,,1.0,,,1.0,3.0,1.0,1.0,,,,,,,,,,,,1.0,,,,,1.0,1.0,,,,1.0,
14015541,home,5235,FK Javor Ivanjica,1149060,Savo Šušić,savo-susic,D,29,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015541,home,5144,FK Javor Ivanjica,1126871,Benjamin Acquah,benjamin-acquah,M,17,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015541,home,312342,FK Javor Ivanjica,2196365,Martin Anđelković,martin-andjelkovic,F,31,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015541,home,5144,FK Javor Ivanjica,1065775,Dimitrije Stevanović,dimitrije-stevanovic,G,12,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015541,home,203041,FK Javor Ivanjica,804833,Nemanja Krstić,nemanja-krstic,M,8,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015541,home,5144,FK Javor Ivanjica,1153911,Dušan Ristić,dusan-ristic,D,15,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015541,away,5153,OFK Beograd,1126067,Balša Popović,balsa-popovic,G,1,False,44.0,31.0,21.0,8.0,0.0,25.0,25.0,19.0,12.0,,4.0,5.0,90.0,56.0,7.8,13.0,27.876062663583,5.0,-24.15,-1.575,0.6256,"{'original': 7.8, 'alternative': 8}",0,0.18,0.0,0.26,0.49,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,70.45454545454545,38.095238095238095,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015541,away,5153,OFK Beograd,191640,Marko Gobeljić,marko-gobeljic,D,77,False,31.0,27.0,3.0,1.0,0.0,16.0,17.0,14.0,4.0,,,,90.0,46.0,6.9,10.0,44.567870819376,8.0,5.355,9.45,,"{'original': 6.9, 'alternative': 7.1}",0,0.06,0.04,0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,4,2,2,0,87.09677419354838,33.33333333333333,,100.0,,11.0,2.0,,2.0,2.0,4.0,,,2.0,,1.0,,,1.0,1.0,,,,,2.0,1.0,1.0,,,,,,,,
14015541,away,5153,OFK Beograd,1146082,Aleksej Vukičević,aleksej-vukicevic,D,45,False,60.0,51.0,7.0,1.0,0.0,31.0,32.0,28.0,3.0,,,,90.0,74.0,7.1,12.0,295.4198682946,31.0,-238.245,5.04,,"{'original': 7.1, 'alternative': 7}",0,0.17,0.17,0.25,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,1,4,3,1,85.0,14.285714285714285,,,,20.0,1.0,,1.0,1.0,4.0,,,6.0,,2.0,,,1.0,3.0,,,,,,1.0,,,,,,,,,
14015541,away,334956,OFK Beograd,1147556,Aleksandar Đermanović,aleksandar-dermanovic,D,15,False,50.0,46.0,3.0,1.0,0.0,28.0,29.0,21.0,5.0,,,,90.0,64.0,7.6,4.0,193.13591730759,22.0,-150.885,3.36,,"{'original': 7.6, 'alternative': 7.4}",0,0.2,0.12,0.64,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,4,2,1,1,92.0,33.33333333333333,,,,18.0,,,3.0,2.0,4.0,,,6.0,2.0,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,,,
