player,isHome,shotType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,id,time,addedTime,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,goalType,blockCoordinates
"{'name': 'Stefan Bukorac', 'firstName': '', 'lastName': '', 'slug': 'stefan-bukorac', 'shortName': 'S. Bukorac', 'position': 'D', 'jerseyNumber': '5', 'userCount': 19, 'gender': 'M', 'id': 795871, 'fieldTranslations': {'nameTranslation': {'ar': 'ستيفان بوكوراك'}, 'shortNameTranslation': {'ar': 'س. بوكوراك'}}}",False,miss,set-piece,"{'x': 8.8, 'y': 47.7, 'z': 0}",head,right,"{'x': 0, 'y': 37.5, 'z': 6.9}",5274438,90,1.0,5407,"{'start': {'x': 47.7, 'y': 8.8}, 'end': {'x': 62.5, 'y': 0}, 'goal': {'x': 62.5, 'y': 93.1}}",1,893,7,shot,,
"{'name': 'Nikola Marinković', 'slug': 'nikola-marinkovic', 'shortName': 'N. Marinković', 'position': 'M', 'jerseyNumber': '4', 'userCount': 22, 'gender': 'M', 'id': 1109778, 'fieldTranslations': {'nameTranslation': {'ar': 'نيكولا مارينكوفيتش'}, 'shortNameTranslation': {'ar': 'ن. مارينكوفيتش'}}}",False,miss,regular,"{'x': 15.3, 'y': 77.3, 'z': 0}",left-foot,close-right,"{'x': 0, 'y': 41.5, 'z': 6.9}",5274434,89,,5311,"{'start': {'x': 77.3, 'y': 15.3}, 'end': {'x': 58.5, 'y': 0}, 'goal': {'x': 58.5, 'y': 93.1}}",2,89,2611,shot,,
"{'name': 'Nikola Marinković', 'slug': 'nikola-marinkovic', 'shortName': 'N. Marinković', 'position': 'M', 'jerseyNumber': '4', 'userCount': 22, 'gender': 'M', 'id': 1109778, 'fieldTranslations': {'nameTranslation': {'ar': 'نيكولا مارينكوفيتش'}, 'shortNameTranslation': {'ar': 'ن. مارينكوفيتش'}}}",False,miss,set-piece,"{'x': 14.5, 'y': 42.1, 'z': 0}",left-foot,high,"{'x': 0, 'y': 44.5, 'z': 69.4}",5274388,81,,4850,"{'start': {'x': 42.1, 'y': 14.5}, 'end': {'x': 55.5, 'y': 0}, 'goal': {'x': 55.5, 'y': 30.6}}",10,550,2150,shot,,
"{'name': 'Slobodan Tedić', 'slug': 'slobodan-tedic', 'shortName': 'S. Tedić', 'position': 'F', 'jerseyNumber': '9', 'userCount': 284, 'gender': 'M', 'id': 905103, 'fieldTranslations': {'nameTranslation': {'ar': 'سلوبودان تيديتش', 'bn': 'স্লোবোডান টেডিক', 'hi': 'स्लोबोदान टेडिच'}, 'shortNameTranslation': {'ar': 'س. تيديتش', 'bn': 'এস. টেডিক', 'hi': 'एस. टेडिच'}}}",True,goal,assisted,"{'x': 1.8, 'y': 47.4, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 51, 'z': 5.1}",5274355,75,,4456,"{'start': {'x': 47.4, 'y': 1.8}, 'end': {'x': 49, 'y': 0}, 'goal': {'x': 49, 'y': 94.9}}",16,944,1756,shot,regular,
"{'name': 'Uroš Miladinović', 'firstName': 'Uros Miladinovic', 'lastName': '', 'slug': 'uros-miladinovic', 'shortName': 'U. Miladinović', 'position': 'M', 'jerseyNumber': '90', 'userCount': 84, 'gender': 'M', 'id': 1165971, 'fieldTranslations': {'nameTranslation': {'ar': 'أوروش ميلادينوفيتش'}, 'shortNameTranslation': {'ar': 'أ. ميلادينوفيتش'}}}",True,save,assisted,"{'x': 7.7, 'y': 35.8, 'z': 0}",left-foot,high-centre,"{'x': 0, 'y': 51.6, 'z': 27.2}",5274271,66,,3917,"{'start': {'x': 35.8, 'y': 7.7}, 'block': {'x': 46.2, 'y': 1.1}, 'end': {'x': 48.4, 'y': 0}, 'goal': {'x': 48.4, 'y': 72.8}}",25,1483,1217,shot,,"{'x': 1.1, 'y': 46.2, 'z': 0}"
"{'name': 'Nemanja Đeković', 'firstName': '', 'lastName': '', 'slug': 'nemanja-dekovic', 'shortName': 'N. Đeković', 'position': 'D', 'jerseyNumber': '25', 'userCount': 89, 'gender': 'M', 'id': 1102161, 'fieldTranslations': {'nameTranslation': {'ar': 'نيمانجا ديكوفيتش'}, 'shortNameTranslation': {'ar': 'ن. ديكوفيتش'}}}",False,miss,corner,"{'x': 7.4, 'y': 54.4, 'z': 0}",head,left,"{'x': 0, 'y': 62.2, 'z': 8.3}",5274143,60,,3550,"{'start': {'x': 54.4, 'y': 7.4}, 'end': {'x': 37.8, 'y': 0}, 'goal': {'x': 37.8, 'y': 91.7}}",31,1850,850,shot,,
"{'name': 'Nebojša Bastajić', 'firstName': '', 'lastName': '', 'slug': 'nebojsa-bastajic', 'shortName': 'N. Bastajić', 'position': 'M', 'jerseyNumber': '12', 'userCount': 31, 'gender': 'M', 'id': 267473, 'fieldTranslations': {'nameTranslation': {'ar': 'نيبويشا باستاجيتش'}, 'shortNameTranslation': {'ar': 'ن. باستاجيتش'}}}",False,miss,fast-break,"{'x': 26, 'y': 19.7, 'z': 0}",right-foot,high,"{'x': 0, 'y': 44.5, 'z': 69.4}",5274115,53,,3160,"{'start': {'x': 19.7, 'y': 26}, 'end': {'x': 55.5, 'y': 0}, 'goal': {'x': 55.5, 'y': 30.6}}",38,2240,460,shot,,
"{'name': 'Marko Docić', 'slug': 'marko-docic', 'shortName': 'M. Docić', 'position': 'M', 'jerseyNumber': '5', 'userCount': 40, 'gender': 'M', 'id': 345141, 'fieldTranslations': {'nameTranslation': {'ar': 'ماركو دوتشيتش', 'bn': 'মার্কো ডসিচ', 'hi': 'मार्को डोकिक'}, 'shortNameTranslation': {'ar': 'م. دوتشيتش', 'bn': 'এম. ডসিচ', 'hi': 'एम. डोकिक'}}}",True,save,assisted,"{'x': 24.6, 'y': 59.9, 'z': 0}",left-foot,high-left,"{'x': 0, 'y': 53.2, 'z': 20.3}",5273970,52,,3114,"{'start': {'x': 59.9, 'y': 24.6}, 'block': {'x': 50.7, 'y': 1.5}, 'end': {'x': 46.8, 'y': 0}, 'goal': {'x': 46.8, 'y': 79.7}}",39,2286,414,shot,,"{'x': 1.5, 'y': 50.7, 'z': 0}"
"{'name': 'Sambou Sissoko', 'slug': 'sambou-sissoko', 'shortName': 'S. Sissoko', 'position': 'M', 'jerseyNumber': '14', 'userCount': 145, 'gender': 'M', 'id': 1008225, 'fieldTranslations': {'nameTranslation': {'ar': 'سامبو سيسوكو', 'bn': 'সাম্বু সিসোকো', 'hi': 'संबोउ सिसोको'}, 'shortNameTranslation': {'ar': 'س. سيسوكو', 'bn': 'এস. সিসোকো', 'hi': 'एस. सिसोको'}}}",True,miss,assisted,"{'x': 23.7, 'y': 58.9, 'z': 0}",right-foot,high,"{'x': 0, 'y': 46.6, 'z': 90.3}",5273954,47,,2798,"{'start': {'x': 58.9, 'y': 23.7}, 'end': {'x': 53.4, 'y': 0}, 'goal': {'x': 53.4, 'y': 9.7}}",44,2602,98,shot,,
"{'name': 'Sambou Sissoko', 'slug': 'sambou-sissoko', 'shortName': 'S. Sissoko', 'position': 'M', 'jerseyNumber': '14', 'userCount': 145, 'gender': 'M', 'id': 1008225, 'fieldTranslations': {'nameTranslation': {'ar': 'سامبو سيسوكو', 'bn': 'সাম্বু সিসোকো', 'hi': 'संबोउ सिसोको'}, 'shortNameTranslation': {'ar': 'س. سيسوكو', 'bn': 'এস. সিসোকো', 'hi': 'एस. सिसोको'}}}",True,block,assisted,"{'x': 11.6, 'y': 45.2, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 51.1, 'z': 19}",5273843,45,2.0,2772,"{'start': {'x': 45.2, 'y': 11.6}, 'block': {'x': 46, 'y': 9}, 'end': {'x': 48.9, 'y': 0}, 'goal': {'x': 48.9, 'y': 81}}",1,2628,72,shot,,"{'x': 9, 'y': 46, 'z': 0}"
