minute,value
1.0,3
2.0,55
3.0,35
4.0,53
5.0,21
6.0,21
7.0,15
8.0,20
9.0,9
10.0,5
11.0,7
12.0,4
13.0,4
14.0,8
15.0,8
16.0,25
17.0,16
18.0,20
19.0,12
20.0,10
21.0,-13
22.0,-8
23.0,-32
24.0,-26
25.0,-22
26.0,-29
27.0,-11
28.0,-12
29.0,29
30.0,21
31.0,26
32.0,19
33.0,-24
34.0,-5
35.0,12
36.0,43
37.0,24
38.0,36
39.0,22
40.0,-26
41.0,-9
42.0,-9
43.0,-11
44.0,-22
45.0,18
45.5,-20
46.0,19
47.0,-12
48.0,-7
49.0,-17
50.0,-8
51.0,22
52.0,13
53.0,6
54.0,16
55.0,-10
56.0,-5
57.0,6
58.0,28
59.0,14
60.0,5
61.0,-39
62.0,-20
63.0,-12
64.0,8
65.0,4
66.0,44
67.0,22
68.0,23
69.0,10
70.0,6
71.0,4
72.0,13
73.0,-30
74.0,-38
75.0,-40
76.0,-13
77.0,-11
78.0,-7
79.0,-4
80.0,-3
81.0,-9
82.0,-7
83.0,-14
84.0,-9
85.0,-21
86.0,-13
87.0,-27
88.0,-20
89.0,-16
90.0,-13
90.5,-37
