player,isHome,shotType,goalType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,id,time,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,blockCoordinates
"{'name': 'Uroš Miladinović', 'firstName': 'Uros Miladinovic', 'lastName': '', 'slug': 'uros-miladinovic', 'shortName': 'U. Miladinović', 'position': 'M', 'jerseyNumber': '90', 'userCount': 84, 'gender': 'M', 'id': 1165971, 'fieldTranslations': {'nameTranslation': {'ar': 'أوروش ميلادينوفيتش'}, 'shortNameTranslation': {'ar': 'أ. ميلادينوفيتش'}}}",True,goal,regular,assisted,"{'x': 9.7, 'y': 64.4, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 51.2, 'z': 3.2}",5425301,76,4505,"{'start': {'x': 64.4, 'y': 9.7}, 'end': {'x': 48.8, 'y': 0}, 'goal': {'x': 48.8, 'y': 96.8}}",15,895,1805,shot,
"{'name': 'Vladimir Vitorović', 'slug': 'vladimir-vitorovic', 'shortName': 'V. Vitorovic', 'position': 'D', 'jerseyNumber': '3', 'userCount': 9, 'gender': 'M', 'id': 913382, 'fieldTranslations': {'nameTranslation': {'ar': 'فلاديمير فيتوروفيتش'}, 'shortNameTranslation': {'ar': 'ف. فيتوروفيتش'}}}",False,miss,,free-kick,"{'x': 14.2, 'y': 80.9, 'z': 0}",left-foot,high-left,"{'x': 0, 'y': 60.5, 'z': 72.2}",5425299,75,4473,"{'start': {'x': 80.9, 'y': 14.2}, 'end': {'x': 39.5, 'y': 0}, 'goal': {'x': 39.5, 'y': 27.8}}",16,927,1773,shot,
"{'name': 'Ilija Babić', 'slug': 'ilija-babic', 'shortName': 'I. Babić', 'position': 'M', 'jerseyNumber': '21', 'userCount': 55, 'gender': 'M', 'id': 997194, 'fieldTranslations': {'nameTranslation': {'ar': 'إيليا بابيتش'}, 'shortNameTranslation': {'ar': 'إ. بابيتش'}}}",False,goal,regular,assisted,"{'x': 10.8, 'y': 47, 'z': 0}",right-foot,low-left,"{'x': 0, 'y': 53.5, 'z': 2.5}",5425269,73,4333,"{'start': {'x': 47, 'y': 10.8}, 'end': {'x': 46.5, 'y': 0}, 'goal': {'x': 46.5, 'y': 97.5}}",18,1067,1633,shot,
"{'name': 'Vladimir Vitorović', 'slug': 'vladimir-vitorovic', 'shortName': 'V. Vitorovic', 'position': 'D', 'jerseyNumber': '3', 'userCount': 9, 'gender': 'M', 'id': 913382, 'fieldTranslations': {'nameTranslation': {'ar': 'فلاديمير فيتوروفيتش'}, 'shortNameTranslation': {'ar': 'ف. فيتوروفيتش'}}}",False,miss,,assisted,"{'x': 8.7, 'y': 25, 'z': 0}",left-foot,high,"{'x': 0, 'y': 49.4, 'z': 84.7}",5425266,72,4283,"{'start': {'x': 25, 'y': 8.7}, 'end': {'x': 50.6, 'y': 0}, 'goal': {'x': 50.6, 'y': 15.3}}",19,1117,1583,shot,
"{'name': 'Slobodan Tedić', 'slug': 'slobodan-tedic', 'shortName': 'S. Tedić', 'position': 'F', 'jerseyNumber': '9', 'userCount': 284, 'gender': 'M', 'id': 905103, 'fieldTranslations': {'nameTranslation': {'ar': 'سلوبودان تيديتش', 'bn': 'স্লোবোডান টেডিক', 'hi': 'स्लोबोदान टेडिच'}, 'shortNameTranslation': {'ar': 'س. تيديتش', 'bn': 'এস. টেডিক', 'hi': 'एस. टेडिच'}}}",True,miss,,assisted,"{'x': 12.5, 'y': 73.6, 'z': 0}",right-foot,high,"{'x': 0, 'y': 53.6, 'z': 87.5}",5425265,70,4193,"{'start': {'x': 73.6, 'y': 12.5}, 'end': {'x': 46.4, 'y': 0}, 'goal': {'x': 46.4, 'y': 12.5}}",21,1207,1493,shot,
"{'name': 'Aboubacar Cisse', 'slug': 'aboubacar-cisse', 'shortName': 'A. Cisse', 'position': 'M', 'jerseyNumber': '20', 'userCount': 30, 'gender': 'M', 'id': 1446160, 'fieldTranslations': {'nameTranslation': {'ar': 'أبوبكر سيسي'}, 'shortNameTranslation': {'ar': 'أ. سيسي'}}}",True,miss,,fast-break,"{'x': 21.6, 'y': 28.4, 'z': 0}",right-foot,high-right,"{'x': 0, 'y': 38.7, 'z': 55.6}",5425548,69,4134,"{'start': {'x': 28.4, 'y': 21.6}, 'end': {'x': 61.3, 'y': 0}, 'goal': {'x': 61.3, 'y': 44.4}}",22,1266,1434,shot,
"{'name': 'José Mulato', 'slug': 'jose-mulato', 'shortName': 'J. Mulato', 'position': 'F', 'jerseyNumber': '90', 'userCount': 91, 'gender': 'M', 'id': 1018513, 'fieldTranslations': {'nameTranslation': {'ar': 'خوسيه مولاتو'}, 'shortNameTranslation': {'ar': 'خ. مولاتو'}}}",False,block,,throw-in-set-piece,"{'x': 19.5, 'y': 64.1, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 48.4, 'z': 19}",5425163,60,3548,"{'start': {'x': 64.1, 'y': 19.5}, 'block': {'x': 62.6, 'y': 17.2}, 'end': {'x': 51.6, 'y': 0}, 'goal': {'x': 51.6, 'y': 81}}",31,1852,848,shot,"{'x': 17.2, 'y': 62.6, 'z': 0}"
"{'name': 'Stefan Stojanović', 'firstName': 'Stefan Stojanovic', 'slug': 'stefan-stojanovic', 'shortName': 'S. Stojanović', 'position': 'F', 'jerseyNumber': '10', 'userCount': 31, 'gender': 'M', 'id': 1147543, 'fieldTranslations': {'nameTranslation': {'ar': 'ستيفان ستويانوفيتش'}, 'shortNameTranslation': {'ar': 'س. ستويانوفيتش'}}}",False,save,,assisted,"{'x': 13.9, 'y': 65.8, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 51.7, 'z': 7}",5425109,53,3130,"{'start': {'x': 65.8, 'y': 13.9}, 'block': {'x': 53.1, 'y': 1.9}, 'end': {'x': 48.3, 'y': 0}, 'goal': {'x': 48.3, 'y': 93}}",38,2270,430,shot,"{'x': 1.9, 'y': 53.1, 'z': 0}"
"{'name': 'Dušan Jovančić', 'firstName': '', 'lastName': '', 'slug': 'dusan-jovancic', 'shortName': 'D.\xa0Jovančić', 'position': 'D', 'jerseyNumber': '77', 'userCount': 61, 'gender': 'M', 'id': 267523, 'fieldTranslations': {'nameTranslation': {'ar': 'دوشان جوفانشيتش', 'bn': 'দুসান জোভানসিক', 'hi': 'दुसान जोवान्चीक'}, 'shortNameTranslation': {'ar': 'د. جوفانشيتش', 'bn': 'ডি. জোভানসিক', 'hi': 'डी. जोवान्चीक'}}}",True,miss,,corner,"{'x': 26.8, 'y': 51.3, 'z': 0}",left-foot,high,"{'x': 0, 'y': 52.6, 'z': 72.2}",5425108,51,3048,"{'start': {'x': 51.3, 'y': 26.8}, 'end': {'x': 47.4, 'y': 0}, 'goal': {'x': 47.4, 'y': 27.8}}",40,2352,348,shot,
"{'name': 'Yohan Bilingi', 'firstName': '', 'lastName': '', 'slug': 'bilingi-yohan', 'shortName': 'Y. Bilingi', 'position': 'D', 'jerseyNumber': '28', 'userCount': 19, 'gender': 'M', 'id': 949370, 'fieldTranslations': {'nameTranslation': {'ar': 'يوهان بيلينغي'}, 'shortNameTranslation': {'ar': 'ي. بيلينغي'}}}",False,block,,corner,"{'x': 6, 'y': 49.7, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 49.6, 'z': 19}",5424874,40,2358,"{'start': {'x': 49.7, 'y': 6}, 'block': {'x': 49.8, 'y': 5.2}, 'end': {'x': 50.4, 'y': 0}, 'goal': {'x': 50.4, 'y': 81}}",6,342,2358,shot,"{'x': 5.2, 'y': 49.8, 'z': 0}"
"{'name': 'Uroš Miladinović', 'firstName': 'Uros Miladinovic', 'lastName': '', 'slug': 'uros-miladinovic', 'shortName': 'U. Miladinović', 'position': 'M', 'jerseyNumber': '90', 'userCount': 84, 'gender': 'M', 'id': 1165971, 'fieldTranslations': {'nameTranslation': {'ar': 'أوروش ميلادينوفيتش'}, 'shortNameTranslation': {'ar': 'أ. ميلادينوفيتش'}}}",True,goal,regular,regular,"{'x': 6.7, 'y': 41.1, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 51.6, 'z': 4.4}",5424774,35,2071,"{'start': {'x': 41.1, 'y': 6.7}, 'end': {'x': 48.4, 'y': 0}, 'goal': {'x': 48.4, 'y': 95.6}}",11,629,2071,shot,
"{'name': 'Filip Matijašević', 'firstName': 'Filip Matijasevic', 'slug': 'filip-matijasevic', 'shortName': 'F. Matijašević', 'position': 'M', 'jerseyNumber': '22', 'userCount': 97, 'gender': 'M', 'id': 1981976, 'fieldTranslations': {'nameTranslation': {'ar': 'فيليب ماتيياشيفيتش'}, 'shortNameTranslation': {'ar': 'ف. ماتيياشيفيتش'}}}",True,save,,assisted,"{'x': 19.4, 'y': 59.5, 'z': 0}",right-foot,low-left,"{'x': 0, 'y': 53.3, 'z': 2.5}",5424773,35,2069,"{'start': {'x': 59.5, 'y': 19.4}, 'block': {'x': 50, 'y': 5.5}, 'end': {'x': 46.7, 'y': 0}, 'goal': {'x': 46.7, 'y': 97.5}}",11,631,2069,shot,"{'x': 5.5, 'y': 50, 'z': 0}"
"{'name': 'Stefan Stojanović', 'firstName': 'Stefan Stojanovic', 'slug': 'stefan-stojanovic', 'shortName': 'S. Stojanović', 'position': 'F', 'jerseyNumber': '10', 'userCount': 31, 'gender': 'M', 'id': 1147543, 'fieldTranslations': {'nameTranslation': {'ar': 'ستيفان ستويانوفيتش'}, 'shortNameTranslation': {'ar': 'س. ستويانوفيتش'}}}",False,miss,,assisted,"{'x': 22.8, 'y': 75.6, 'z': 0}",left-foot,high,"{'x': 0, 'y': 53.9, 'z': 68.1}",5424765,33,1951,"{'start': {'x': 75.6, 'y': 22.8}, 'end': {'x': 46.1, 'y': 0}, 'goal': {'x': 46.1, 'y': 31.9}}",13,749,1951,shot,
"{'name': 'Eldar Mehmedović', 'firstName': 'Eldar', 'lastName': 'Mehmedovic', 'slug': 'eldar-mehmedovic', 'shortName': 'E. Mehmedović', 'position': 'M', 'userCount': 85, 'gender': 'M', 'id': 1094065, 'fieldTranslations': {'nameTranslation': {'ar': 'إلدار محمدوفيتش'}, 'shortNameTranslation': {'ar': 'إ. محمدوفيتش'}}}",False,miss,,assisted,"{'x': 22.2, 'y': 35.2, 'z': 0}",right-foot,close-high,"{'x': 0, 'y': 48.9, 'z': 59.7}",5424735,31,1811,"{'start': {'x': 35.2, 'y': 22.2}, 'end': {'x': 51.1, 'y': 0}, 'goal': {'x': 51.1, 'y': 40.3}}",15,889,1811,shot,
"{'name': 'Slobodan Tedić', 'slug': 'slobodan-tedic', 'shortName': 'S. Tedić', 'position': 'F', 'jerseyNumber': '9', 'userCount': 284, 'gender': 'M', 'id': 905103, 'fieldTranslations': {'nameTranslation': {'ar': 'سلوبودان تيديتش', 'bn': 'স্লোবোডান টেডিক', 'hi': 'स्लोबोदान टेडिच'}, 'shortNameTranslation': {'ar': 'س. تيديتش', 'bn': 'এস. টেডিক', 'hi': 'एस. टेडिच'}}}",True,save,,assisted,"{'x': 8.9, 'y': 40.5, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 50.3, 'z': 3.8}",5424734,30,1767,"{'start': {'x': 40.5, 'y': 8.9}, 'block': {'x': 42.8, 'y': 6.3}, 'end': {'x': 49.7, 'y': 0}, 'goal': {'x': 49.7, 'y': 96.2}}",16,933,1767,shot,"{'x': 6.3, 'y': 42.8, 'z': 0}"
