minute,value
0.0,0
1.0,-15
2.0,-42
3.0,-38
4.0,-24
5.0,-16
6.0,-21
7.0,-17
8.0,-17
9.0,-17
10.0,34
11.0,4
12.0,-7
13.0,-8
14.0,-6
15.0,-8
16.0,-5
17.0,4
18.0,-7
19.0,-15
20.0,-15
21.0,-50
22.0,-81
23.0,-54
24.0,-37
25.0,-22
26.0,-10
27.0,-37
28.0,-32
29.0,-24
30.0,-19
31.0,-17
32.0,-18
33.0,-15
34.0,-9
35.0,-10
36.0,-16
37.0,-100
38.0,-75
39.0,-55
40.0,-27
41.0,-20
42.0,-15
43.0,-23
44.0,-48
45.0,-34
45.5,-5
46.0,-10
47.0,-41
48.0,-19
49.0,-21
50.0,-53
51.0,-35
52.0,-28
53.0,-97
54.0,-61
55.0,-33
56.0,-24
57.0,-13
58.0,-6
59.0,-2
60.0,-1
61.0,32
62.0,16
63.0,11
64.0,38
65.0,19
66.0,-54
67.0,-51
68.0,-34
69.0,52
70.0,35
71.0,16
72.0,3
73.0,-9
74.0,-17
75.0,-15
76.0,-47
77.0,-61
78.0,-64
79.0,-46
80.0,-36
81.0,-22
82.0,-54
83.0,-39
84.0,-36
85.0,-29
86.0,-100
87.0,-70
88.0,-45
89.0,-34
90.0,-18
90.5,10
