match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,interceptionWon,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,bigChanceMissed,shotOffTarget,keyPass,blockedScoringAttempt,dispossessed,bigChanceCreated
14147304,home,37956,FK Arsenal Tivat,808566,Armin Bošnjak,armin-bosnjak,F,7,False,11.0,6.0,1.0,0.0,1.0,1.0,2.0,5.0,9.0,3.0,0.0,1.0,1.0,11.0,10.0,0.0,7.0,5.0,1.0,1.0,0.0,0.0,,4.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,,,,,,,79.0,33.0,8.5,13.0,0.05,0.31,"{'original': 8.5, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",21,2,19,9,10,54.54545454545454,0.0,0.0,71.42857142857143,,,,2.0,,2.0,
14147304,home,37956,FK Arsenal Tivat,58157,Jovan Nikolić,jovan-nikolic,M,4,True,12.0,8.0,0.0,0.0,0.0,5.0,6.0,3.0,6.0,0.0,0.0,1.0,0.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,1.0,0.0,1.0,0.0,1.0,2.0,2.0,0.0,,,,,,,57.0,20.0,6.4,5.0,0.08,0.0,"{'original': 6.4, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,1,12,5,7,66.66666666666666,,,,,,1.0,,,,
14147304,home,37956,FK Arsenal Tivat,1396429,Nemanja Bojanić,nemanja-bojanic,F,18,True,4.0,3.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,6.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,,,,,,,21.0,9.0,6.2,5.0,0.0,0.0,"{'original': 6.2, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,1,6,0,6,75.0,,,0.0,,,,,,1.0,
14147304,home,509406,FK Arsenal Tivat,941693,Aleksandar Katanić,aleksandar-katanic,F,9,True,1.0,1.0,0.0,0.0,0.0,1.0,1.0,,,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,11.0,2.0,6.1,2.0,0.0,0.0,"{'original': 6.1, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,1,1,0,1,100.0,,,,,,,,,1.0,
14147304,home,37956,FK Arsenal Tivat,1423516,Ivan Božinović,ivan-bozinovic,G,12,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,
14147304,home,37956,FK Arsenal Tivat,2210663,Aleksa Kralj,aleksa-kralj,D,27,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,
14147304,home,203041,FK Arsenal Tivat,895528,Ljubiša Pecelj,ljubisa-pecelj,D,13,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,
14147304,home,37956,FK Arsenal Tivat,1030485,Petar Mališić,petar-malisic,D,15,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,
14147304,home,37956,FK Arsenal Tivat,842506,Aleksandar Macanović,aleksandar-macanovic,M,20,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,
14147304,away,24312,FK Jezero,1035777,Igor Asanović,igor-asanovic,G,50,False,34.0,31.0,5.0,2.0,0.0,30.0,31.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,90.0,35.0,6.3,4.0,0.0,0.0,"{'original': 6.3, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,91.17647058823529,40.0,,,0.0,,,,,,
14147304,away,24312,FK Jezero,1000154,Abdel Osmanović,abdel-osmanovic,D,2,False,49.0,44.0,2.0,0.0,1.0,21.0,22.0,20.0,24.0,7.0,6.0,5.0,2.0,8.0,8.0,0.0,4.0,4.0,0.0,0.0,4.0,0.0,2.0,6.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,,,,,,,90.0,60.0,7.8,5.0,0.0,0.59,"{'original': 7.8, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",16,7,9,6,3,89.79591836734694,0.0,85.71428571428571,100.0,,,,4.0,,,1.0
14147304,away,24312,FK Jezero,1035787,Nikola Jovićević,nikola-jovicevic,D,6,False,76.0,69.0,2.0,0.0,0.0,51.0,52.0,15.0,18.0,0.0,0.0,1.0,5.0,9.0,10.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,5.0,18.0,1.0,1.0,0.0,0.0,0.0,2.0,3.0,0.0,,,,,,,90.0,87.0,7.1,10.0,0.0,0.0,"{'original': 7.1, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",19,6,13,5,8,90.78947368421053,0.0,,100.0,,,,,,,
