match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,duelLost,totalClearance,ballRecovery,penaltyConceded,fouls,savedShotsFromInsideTheBox,penaltyFaced,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,bestBallCarryProgression,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,aerialWon,duelWon,challengeLost,totalContest,wonContest,outfielderBlock,interceptionWon,totalTackle,wonTackle,wasFouled,aerialLost,dispossessed,accurateCross,bigChanceCreated,shotOffTarget,unsuccessfulTouch,totalOffside,totalProgressiveBallCarriesDistance,progressiveBallCarriesCount,keyPass,shotValueNormalized,onTargetScoringAttempt,goals,blockedScoringAttempt,goodHighClaim,penaltyWon,bigChanceMissed,penaltyMiss
14015547,home,7674,FK Napredak Kruševac,796223,Andrija Majdevac,andrija-majdevac,F,11,False,10.0,9.0,,,0.0,3.0,3.0,6.0,7.0,10.0,2.0,1.0,,1.0,,,,,,90.0,27.0,6.9,8.0,55.021122984461,6.0,12.18,7.98,,"{'original': 6.9, 'alternative': 7.1}",2,-0.06,0.21,0.18,,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,7,6,2,4,90.0,,,,,,1.0,3.0,,1.0,,,,,,2.0,6.0,2.0,,,,4.0,,,,,0.49,1.0,1.0,1.0,,,,
14015547,home,7674,FK Napredak Kruševac,1093731,Dragan Čubra,dragan-cubra,D,27,True,1.0,1.0,1.0,1.0,0.0,1.0,1.0,,,2.0,1.0,,,1.0,,,,,,32.0,10.0,6.4,3.0,5.7106304380515,1.0,5.67,5.67,,"{'original': 6.4, 'alternative': 6.6}",0,-0.04,0.01,-0.2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,0,4,2,2,100.0,100.0,,,,,,2.0,,,,,1.0,2.0,2.0,,,1.0,,,,,,,,1.0,,,,,,,,
14015547,home,7674,FK Napredak Kruševac,795871,Stefan Bukorac,stefan-bukorac,M,5,True,1.0,1.0,,,0.0,1.0,1.0,,,2.0,1.0,,,,,,,,,17.0,9.0,7.4,,,,,,,"{'original': 7.4, 'alternative': 7.2}",0,0.0,,0.61,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,2,2,1,1,100.0,,,,,,1.0,2.0,1.0,,,4.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,
14015547,home,7674,FK Napredak Kruševac,998786,Vladimir Miletić,vladimir-miletic,M,95,True,1.0,1.0,,,0.0,,,1.0,1.0,1.0,,,,,,,,,,10.0,3.0,6.7,,,,,,,"{'original': 6.7, 'alternative': 6.6}",0,0.03,,-0.02,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,1,1,100.0,,,,,,,1.0,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
14015547,home,7674,FK Napredak Kruševac,1102136,Luka Laban,luka-laban,M,14,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015547,home,5407,FK Napredak Kruševac,807251,Ivan Šubert,ivan-subert,D,31,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015547,home,7674,FK Napredak Kruševac,937992,Nikola Vukajlović,nikola-vukajlovic,D,7,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015547,home,369195,FK Napredak Kruševac,1130255,Đorđe Kotlajić,dorde-kotlajic,F,55,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015547,home,7674,FK Napredak Kruševac,1153959,Mateja Bubanj,mateja-bubanj,F,9,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015547,home,7674,FK Napredak Kruševac,1937361,Lazar Balević,lazar-balevic,G,84,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
