match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,bigChanceCreated,shotOffTarget,interceptionWon,keyPass,dispossessed,blockedScoringAttempt,penaltyWon,bigChanceMissed,hitWoodwork,penaltyConceded
14147346,home,35223,Mladost DG,1648560,Nikola Pavličević,nikola-pavlicevic,M,11,True,9.0,8.0,1.0,0.0,0.0,5.0,5.0,2.0,3.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,23.0,19.0,7.0,1.0,0.11,0.0,"{'original': 7, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,0,6,4,2,88.88888888888889,0.0,,100.0,,,,1.0,,,,,,,
14147346,home,327162,Mladost DG,1381381,Matije Badnjar,matije-badnjar,D,3,True,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,5.0,1.0,6.4,1.0,0.0,0.0,"{'original': 6.4, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,0,1,,,,,,,,,,,,,,,
14147346,home,327162,Mladost DG,1103884,Dušan Vuković,dusan-vukovic,F,77,True,3.0,2.0,1.0,0.0,0.0,2.0,2.0,,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,5.0,5.0,6.5,2.0,0.0,0.0,"{'original': 6.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,1,1,0,1,66.66666666666666,0.0,,,,,,,,,,,,,
14147346,home,327162,Mladost DG,1620437,Jagoš Roganović,jagos-roganovic,M,29,True,1.0,1.0,0.0,0.0,0.0,,,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,3.0,2.0,,0.0,0.0,0.0,,0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,0,1,100.0,,,0.0,,,,,,,,,,,
14147346,home,327162,Mladost DG,1094114,Rajko Boljević,rajko-boljevic,G,1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,
14147346,home,241802,Mladost DG,232450,Miguel Rodrigues,miguel-rodrigues,D,30,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,
14147346,home,327162,Mladost DG,1426667,Matija Vukčević,matija-vukcevic,D,44,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,
14147346,home,481825,Mladost DG,1800480,Nikola  Ukšanović,nikola-uksanovic,D,66,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,
14147346,away,36019,FK Bokelj Kotor,1405738,Benjamin Krijestarac,benjamin-krijestarac,G,1,False,21.0,21.0,1.0,1.0,0.0,20.0,20.0,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,2.0,0.0,90.0,24.0,7.7,0.0,0.0,0.0,"{'original': 7.7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,0,1,100.0,100.0,,,0.0,,,1.0,,,,,,,
14147346,away,7581,FK Bokelj Kotor,314142,Stefan Vico,stefan-vico,D,22,False,27.0,17.0,3.0,0.0,0.0,9.0,10.0,7.0,16.0,2.0,1.0,1.0,1.0,8.0,1.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,90.0,34.0,6.1,17.0,0.0,0.11,"{'original': 6.1, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,2,7,0,7,62.96296296296296,0.0,50.0,,,,,2.0,1.0,1.0,,,,,
14147346,away,241802,FK Bokelj Kotor,1650228,Stefan  Mrsulja,stefan-mrsulja,D,17,False,21.0,15.0,4.0,2.0,0.0,15.0,16.0,,3.0,0.0,0.0,3.0,1.0,3.0,3.0,0.0,1.0,1.0,0.0,0.0,4.0,1.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,46.0,28.0,6.8,8.0,0.0,0.0,"{'original': 6.8, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,4,2,2,0,71.42857142857143,50.0,,100.0,,,,1.0,,,,,,,
14147346,away,7581,FK Bokelj Kotor,1103876,Drago Bumbar,drago-bumbar,D,15,False,49.0,42.0,10.0,7.0,0.0,26.0,28.0,14.0,19.0,0.0,0.0,4.0,3.0,8.0,8.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,,,,,,,90.0,64.0,6.8,9.0,0.11,0.0,"{'original': 6.8, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",16,7,9,5,4,85.71428571428571,70.0,,,,,1.0,2.0,,,,,,1.0,
14147346,away,7581,FK Bokelj Kotor,909420,Marko Čavor,marko-cavor,D,29,False,23.0,15.0,5.0,3.0,0.0,10.0,13.0,5.0,9.0,1.0,0.0,1.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,,,,,,65.0,34.0,6.3,15.0,0.04,0.0,"{'original': 6.3, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,1,7,2,5,65.21739130434783,60.0,0.0,,,,,,,,2.0,,,,
14147346,away,7581,FK Bokelj Kotor,807177,Žarko Vilotijević,zarko-vilotijevic,M,80,False,25.0,21.0,3.0,1.0,0.0,10.0,10.0,9.0,13.0,0.0,0.0,1.0,0.0,7.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,7.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,,,,46.0,33.0,6.4,6.0,0.0,0.0,"{'original': 6.4, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,1,7,1,6,84.0,33.33333333333333,,0.0,,,,3.0,,1.0,,,,,
14147346,away,7581,FK Bokelj Kotor,1063210,Fatih Muković,fatih-mukovic,M,8,False,33.0,24.0,7.0,3.0,0.0,8.0,9.0,16.0,23.0,0.0,0.0,2.0,4.0,9.0,11.0,0.0,3.0,2.0,0.0,0.0,4.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,,,,,,82.0,47.0,7.0,12.0,0.0,0.0,"{'original': 7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",20,6,14,7,7,72.72727272727273,42.857142857142854,,66.66666666666666,,,,,1.0,,,,,,
