match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,duelWon,ballRecovery,wasFouled,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,bestBallCarryProgression,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,aerialLost,duelLost,dispossessed,totalContest,wonContest,bigChanceMissed,shotOffTarget,totalClearance,totalTackle,wonTackle,keyPass,shotValueNormalized,aerialWon,challengeLost,interceptionWon,unsuccessfulTouch,fouls,onTargetScoringAttempt,blockedScoringAttempt,bigChanceCreated,goals,errorLeadToAGoal,penaltyWon,errorLeadToAShot,penaltyFaced,punches,outfielderBlock,penaltyConceded,totalOffside
14015550,home,5152,FK Partizan,844305,Marko Milošević,marko-milosevic,G,1,False,38.0,22.0,24.0,8.0,0.0,19.0,25.0,3.0,13.0,1.0,10.0,1.0,1.0,2.0,3.0,90.0,45.0,6.5,16.0,72.380315611342,11.0,25.515,9.765,0.0375,"{'original': 6.5, 'alternative': 6.5}",0,0.04,0.01,-0.12,0.04,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,1,0,57.89473684210527,33.33333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015550,home,5152,FK Partizan,1150389,Milan Roganović,milan-roganovic,D,30,False,41.0,34.0,3.0,,0.0,16.0,16.0,18.0,25.0,4.0,4.0,,,,,90.0,63.0,6.5,10.0,139.29674112312,15.0,66.57,22.89,,"{'original': 6.5, 'alternative': 6.9}",1,0.23,0.23,-0.25,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,1,5,4,1,82.92682926829268,,33.33333333333333,100.0,,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,1.0,-0.54,,,,,,,,,,,,,,,,,
14015550,home,5152,FK Partizan,1147544,Vukašin Đurđević,vukasin-durdevic,D,24,False,32.0,27.0,5.0,3.0,0.0,20.0,24.0,7.0,8.0,5.0,4.0,1.0,,,,61.0,39.0,6.7,5.0,90.835269069409,9.0,29.085,29.82,,"{'original': 6.7, 'alternative': 6.6}",0,0.11,0.0,-0.18,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,2,4,3,1,84.375,60.0,,,,,,,1.0,,,,,,4.0,2.0,1.0,,,2.0,1.0,,,,,,,,,,,,,,,
14015550,home,5152,FK Partizan,1427163,Nikola Simic,nikola-simic,D,40,False,35.0,27.0,6.0,3.0,0.0,16.0,18.0,11.0,17.0,4.0,4.0,,,,,90.0,41.0,6.5,8.0,92.911208999572,10.0,52.71,28.035,,"{'original': 6.5, 'alternative': 6.6}",0,0.17,0.08,-0.3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,6,1,1,0,77.14285714285715,50.0,,,,,,3.0,3.0,,,,,,4.0,1.0,1.0,,,3.0,,1.0,,,,,,,,,,,,,,
14015550,home,5152,FK Partizan,805932,Aranđel Stojković,arandel-stojkovic,D,2,False,41.0,34.0,6.0,2.0,0.0,17.0,20.0,17.0,21.0,6.0,6.0,1.0,,,,90.0,70.0,6.6,12.0,158.55591028122,18.0,-4.725,14.91,,"{'original': 6.6, 'alternative': 6.7}",0,0.34,-0.17,-0.28,,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,1,12,6,6,82.92682926829268,33.33333333333333,,,,1.0,,1.0,7.0,1.0,1.0,,,,2.0,5.0,5.0,1.0,,,1.0,,1.0,3.0,,,,,,,,,,,,
14015550,home,5152,FK Partizan,1500276,Vanja Dragojević,vanja-dragojevic,M,6,False,50.0,39.0,7.0,1.0,0.0,20.0,22.0,19.0,28.0,7.0,5.0,,,,,90.0,64.0,6.7,12.0,123.50538746658,13.0,-21.21,11.655,,"{'original': 6.7, 'alternative': 7.1}",3,-0.09,0.07,-0.12,,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,6,8,2,6,78.0,14.285714285714285,,,,,,1.0,7.0,,,,,,3.0,2.0,2.0,1.0,-0.32,5.0,2.0,1.0,1.0,4.0,1.0,2.0,,,,,,,,,,
14015550,home,5152,FK Partizan,1012248,Demba Seck,demba-seck,M,19,False,18.0,16.0,,,0.0,5.0,5.0,11.0,13.0,10.0,5.0,6.0,,,,88.0,39.0,7.3,8.0,311.19548907965,21.0,182.805,43.47,,"{'original': 7.3, 'alternative': 7.3}",2,0.35,0.42,-0.06,,"{'sportSlug': 'football', 'statisticsType': 'player'}",17,1,16,10,6,88.88888888888889,,,40.0,,2.0,,1.0,7.0,1.0,5.0,2.0,,1.0,1.0,2.0,2.0,2.0,-0.31,,,1.0,,2.0,,1.0,1.0,,,,,,,,,
14015550,home,5152,FK Partizan,1427161,Ognjen Ugrešić,ognjen-ugresic,M,36,False,19.0,12.0,3.0,1.0,0.0,2.0,5.0,10.0,14.0,4.0,3.0,2.0,,,,70.0,29.0,7.7,9.0,46.339978241785,6.0,8.085,11.76,,"{'original': 7.7, 'alternative': 7}",2,-0.03,-0.04,-0.16,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,3,4,3,1,63.1578947368421,33.33333333333333,,100.0,,,,2.0,3.0,,1.0,1.0,1.0,,1.0,,,,0.54,1.0,1.0,,2.0,,2.0,,,1.0,,,,,,,,
14015550,home,5152,FK Partizan,1005605,Milan Vukotić,milan-vukotic,M,11,False,31.0,23.0,1.0,1.0,0.0,10.0,13.0,13.0,18.0,4.0,2.0,3.0,,,,61.0,43.0,6.7,14.0,179.0988892142,16.0,71.085,33.705,,"{'original': 6.7, 'alternative': 7.1}",1,0.13,0.29,-0.46,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,2,5,4,1,74.19354838709677,100.0,16.666666666666664,50.0,,6.0,1.0,2.0,3.0,,2.0,1.0,,,,,,1.0,-0.07,,,,,,1.0,,,,1.0,,,,,,,
14015550,home,5152,FK Partizan,1166188,Nemanja Trifunović,nemanja-trifunovic,M,32,False,29.0,24.0,3.0,2.0,0.0,4.0,4.0,20.0,25.0,7.0,7.0,2.0,,,,90.0,54.0,8.2,18.0,361.97499011227,27.0,220.395,36.435,,"{'original': 8.2, 'alternative': 7.3}",3,0.45,0.7,-0.5,,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,1,13,6,7,82.75862068965517,66.66666666666666,,37.5,,4.0,,,7.0,1.0,8.0,3.0,,1.0,,1.0,,1.0,0.47,1.0,1.0,,2.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,
