match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,duelWon,ballRecovery,wasFouled,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,bestBallCarryProgression,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,aerialLost,duelLost,dispossessed,totalContest,wonContest,bigChanceMissed,shotOffTarget,totalClearance,totalTackle,wonTackle,keyPass,shotValueNormalized,aerialWon,challengeLost,interceptionWon,unsuccessfulTouch,fouls,onTargetScoringAttempt,blockedScoringAttempt,bigChanceCreated,goals,errorLeadToAGoal,penaltyWon,errorLeadToAShot,penaltyFaced,punches,outfielderBlock,penaltyConceded,totalOffside
14015550,home,2534,FK Partizan,1154491,Jovan Milošević,jovan-milosevic,F,7,False,34.0,25.0,,,1.0,8.0,9.0,17.0,25.0,7.0,3.0,2.0,,,,87.0,53.0,8.1,16.0,88.989041529871,11.0,20.685,18.48,,"{'original': 8.1, 'alternative': 8.7}",3,0.09,0.38,-0.02,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,2,8,5,3,73.52941176470588,,,66.66666666666666,,,,,3.0,,3.0,2.0,1.0,1.0,,1.0,1.0,3.0,0.38,2.0,,,6.0,2.0,2.0,,1.0,1.0,,1.0,,,,,,
14015550,home,5152,FK Partizan,888701,Stefan Milić,stefan-milic,D,44,True,8.0,2.0,4.0,,0.0,2.0,5.0,,3.0,4.0,2.0,2.0,,,,29.0,14.0,6.9,6.0,9.5594500855738,2.0,2.835,5.25,,"{'original': 6.9, 'alternative': 6.7}",0,-0.01,-0.32,0.19,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,1,5,3,2,25.0,,,,,,,,2.0,,,,,,2.0,1.0,1.0,,,1.0,,,,2.0,,,,,,,1.0,,,,,
14015550,home,1892,FK Partizan,286121,Yanis Karabelyov,yanis-karabelyov,M,28,True,13.0,11.0,,,0.0,3.0,4.0,8.0,9.0,1.0,2.0,,,,,29.0,20.0,6.7,3.0,36.428616202443,6.0,4.41,12.495,,"{'original': 6.7, 'alternative': 6.7}",1,0.12,0.2,0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,2,3,0,3,84.61538461538461,,,,,,,1.0,4.0,,,,,,3.0,,,,-0.3,1.0,,,1.0,3.0,1.0,,,,,,,,,,,
14015550,home,5152,FK Partizan,19191,Bibars Natcho,bibars-natcho,M,10,True,13.0,8.0,1.0,,0.0,1.0,1.0,7.0,12.0,,1.0,,,,,20.0,20.0,6.6,9.0,18.960169813606,2.0,-8.295,4.725,,"{'original': 6.6, 'alternative': 6.4}",0,0.32,-0.11,-0.05,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,0,4,0,4,61.53846153846154,,33.33333333333333,,,3.0,1.0,,4.0,1.0,1.0,,,,,,,1.0,,,1.0,,,1.0,,,,,,,,,,,,
14015550,home,5152,FK Partizan,1819171,Andrej Kostić,andrej-kostic,F,9,True,,,,,0.0,,,,,,,,,,,13.0,,6.3,,,,,,,"{'original': 6.3, 'alternative': 6.3}",0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,1,0,0,0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015550,home,5152,FK Partizan,1429960,Dimitrije Janković,dimitrije-jankovic,M,70,True,4.0,3.0,,,0.0,1.0,1.0,2.0,3.0,1.0,1.0,,,,,12.0,5.0,6.6,1.0,7.375101084053,1.0,-2.31,-2.31,,"{'original': 6.6, 'alternative': 6.6}",0,-0.04,-0.13,0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,1,0,0,0,75.0,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,
14015550,home,77629,FK Partizan,1218053,Ibrahim Zubairu,zubairu-ibrahim,F,39,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015550,home,5152,FK Partizan,1985774,Stefan Petrović,stefan-petrovic,D,33,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015550,home,24356,FK Partizan,1409357,Ivan Vasiljević,ivan-vasiljevic,D,21,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015550,home,5152,FK Partizan,1851627,Abdulmalik Mohammed,abdulmalik-mohammed,D,13,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015550,home,5152,FK Partizan,807245,Miloš Krunić,milos-krunic,G,31,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015550,home,5152,FK Partizan,252121,Ghayas Zahid,ghayas-zahid,M,29,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015550,away,7674,FK Napredak Kruševac,1147879,Vladimir Savić,vladimir-savic,G,1,False,30.0,21.0,17.0,8.0,0.0,17.0,21.0,4.0,9.0,,11.0,,,3.0,5.0,90.0,40.0,7.4,9.0,51.121170984843,11.0,-19.635,0.42,0.7735,"{'original': 7.4, 'alternative': 7.3}",0,0.07,0.05,-0.18,0.34,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,70.0,47.05882352941176,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,1.0,1.0,,,
14015550,away,7674,FK Napredak Kruševac,795871,Stefan Bukorac,stefan-bukorac,D,5,False,52.0,44.0,7.0,4.0,0.0,28.0,30.0,16.0,22.0,6.0,7.0,,,,,90.0,68.0,6.6,11.0,59.606712104637,13.0,-18.06,3.885,,"{'original': 6.6, 'alternative': 6.7}",0,0.27,0.05,-0.37,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,3,7,4,3,84.61538461538461,57.14285714285714,,,,1.0,,1.0,4.0,,,,,,3.0,4.0,3.0,,,2.0,1.0,1.0,2.0,2.0,,,,,,,,,,1.0,,
14015550,away,7674,FK Napredak Kruševac,1846384,Lazar Miladinović,lazar-miladinovic,D,70,False,34.0,30.0,3.0,1.0,0.0,26.0,26.0,4.0,8.0,3.0,4.0,1.0,,,,90.0,49.0,5.8,6.0,57.055060277598,11.0,-7.455,5.565,,"{'original': 5.8, 'alternative': 6}",0,0.06,0.03,-0.75,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,1,5,3,2,88.23529411764706,33.33333333333333,,100.0,,,,1.0,3.0,,1.0,1.0,,,4.0,1.0,1.0,,,,1.0,,2.0,1.0,,,,,1.0,,,,,1.0,,
14015550,away,7674,FK Napredak Kruševac,1165834,Luka Drobnjak,luka-drobnjak,D,77,False,28.0,25.0,2.0,1.0,0.0,17.0,18.0,8.0,10.0,3.0,3.0,,,,,57.0,37.0,5.9,4.0,55.719384794461,12.0,-7.035,3.885,,"{'original': 5.9, 'alternative': 6.1}",0,0.04,0.03,-0.36,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,2,4,2,2,89.28571428571429,50.0,,,,,,1.0,3.0,,,,,,4.0,2.0,2.0,,,1.0,,,,2.0,,,,,,,,,,,1.0,
14015550,away,7674,FK Napredak Kruševac,799152,Aleksandar Lutovac,aleksandar-lutovac,M,15,False,32.0,26.0,4.0,1.0,1.0,9.0,10.0,17.0,22.0,5.0,6.0,3.0,,,,90.0,68.0,7.2,19.0,271.0861528039,26.0,-160.125,11.655,,"{'original': 7.2, 'alternative': 7.2}",2,0.34,0.38,-0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,1,9,4,5,81.25,25.0,,33.33333333333333,,5.0,,,5.0,2.0,3.0,1.0,,1.0,2.0,,,1.0,-0.19,1.0,,1.0,3.0,1.0,1.0,,1.0,,,,,,,,,
14015550,away,7674,FK Napredak Kruševac,998786,Vladimir Miletić,vladimir-miletic,M,95,False,34.0,27.0,2.0,1.0,0.0,10.0,12.0,17.0,22.0,7.0,5.0,,,,,90.0,52.0,6.6,13.0,88.602225152835,13.0,-30.03,9.555,,"{'original': 6.6, 'alternative': 6.7}",0,-0.15,0.09,-0.09,,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,2,11,5,6,79.41176470588235,50.0,,100.0,,,,,6.0,1.0,1.0,1.0,,,3.0,4.0,3.0,,,2.0,2.0,,4.0,3.0,,,,,,,,,,1.0,,
14015550,away,37064,FK Napredak Kruševac,799015,Lazar Zličić,lazar-zlicic,M,23,False,22.0,19.0,1.0,1.0,0.0,10.0,11.0,9.0,11.0,6.0,3.0,1.0,,,,60.0,32.0,6.5,6.0,59.695128937363,10.0,-19.32,1.365,,"{'original': 6.5, 'alternative': 6.9}",1,0.03,0.26,-0.3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,2,10,4,6,86.36363636363636,100.0,,100.0,,,,,6.0,,1.0,1.0,,,,2.0,1.0,2.0,0.01,2.0,2.0,,3.0,4.0,1.0,,,,,,,,,,,
14015550,away,5143,FK Napredak Kruševac,889448,Stefan Hajdin,stefan-hajdin,M,44,False,35.0,23.0,2.0,1.0,0.0,10.0,14.0,13.0,21.0,2.0,5.0,,,,,90.0,56.0,6.4,17.0,93.447685562611,12.0,-51.87,4.83,,"{'original': 6.4, 'alternative': 6.5}",1,0.01,0.13,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,4,4,1,3,65.71428571428571,50.0,100.0,,,1.0,1.0,3.0,6.0,2.0,,,,1.0,3.0,1.0,,1.0,-0.15,1.0,1.0,,1.0,,,,,,,,,,,1.0,,
14015550,away,7674,FK Napredak Kruševac,795861,Miloš Vulić,milos-vulic,F,10,False,38.0,34.0,2.0,1.0,0.0,12.0,12.0,22.0,26.0,9.0,6.0,5.0,,,,90.0,58.0,8.4,10.0,201.85020033175,21.0,-80.64,8.085,,"{'original': 8.4, 'alternative': 7.4}",1,0.25,0.41,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,3,11,8,3,89.47368421052632,50.0,,33.33333333333333,,1.0,,2.0,5.0,,3.0,1.0,,,,2.0,,,0.51,1.0,1.0,,3.0,,1.0,,,1.0,,,,,,,,
14015550,away,7674,FK Napredak Kruševac,796223,Andrija Majdevac,andrija-majdevac,F,11,False,19.0,15.0,1.0,,0.0,4.0,4.0,11.0,15.0,4.0,5.0,3.0,,,,90.0,38.0,6.7,14.0,75.175446197489,11.0,-35.595,3.465,,"{'original': 6.7, 'alternative': 7}",1,-0.21,0.04,0.18,,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,5,9,4,5,78.94736842105263,,,33.33333333333333,,1.0,,5.0,10.0,2.0,3.0,1.0,,,2.0,,,,0.51,,,,5.0,1.0,1.0,,,1.0,,,,,,,,
14015550,away,7674,FK Napredak Kruševac,1153959,Mateja Bubanj,mateja-bubanj,F,9,False,29.0,20.0,2.0,1.0,1.0,8.0,9.0,12.0,20.0,8.0,2.0,3.0,,,,90.0,52.0,6.9,21.0,59.012969393741,9.0,-26.355,6.51,,"{'original': 6.9, 'alternative': 6.9}",0,0.3,-0.35,0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",16,5,11,5,6,68.96551724137932,50.0,,20.0,,1.0,,2.0,8.0,,5.0,1.0,,,2.0,1.0,1.0,1.0,,3.0,1.0,1.0,7.0,1.0,,,1.0,,,,,,,,,1.0
14015550,away,7674,FK Napredak Kruševac,937992,Nikola Vukajlović,nikola-vukajlovic,D,7,True,11.0,8.0,3.0,1.0,0.0,5.0,5.0,3.0,6.0,,1.0,,,,,37.0,17.0,5.9,6.0,42.087704436511,7.0,-10.71,4.62,,"{'original': 5.9, 'alternative': 6}",0,0.13,0.06,-0.19,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,1,4,0,4,72.72727272727273,33.33333333333333,50.0,,,2.0,1.0,1.0,5.0,,,,,,1.0,,,,,,,,,4.0,,,,,,,,,,,,
14015550,away,7674,FK Napredak Kruševac,1093731,Dragan Čubra,dragan-cubra,D,27,True,17.0,14.0,5.0,2.0,0.0,9.0,9.0,5.0,8.0,1.0,2.0,1.0,,,,30.0,25.0,6.4,5.0,44.229160888931,7.0,-2.835,5.145,,"{'original': 6.4, 'alternative': 6.6}",1,0.13,-0.07,-0.19,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,1,4,1,3,82.35294117647058,40.0,,,,1.0,,1.0,4.0,1.0,,,,,2.0,,,,0.0,,1.0,1.0,,1.0,1.0,,,,,,,,,,,
14015550,away,369195,FK Napredak Kruševac,1130255,Đorđe Kotlajić,dorde-kotlajic,F,55,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015550,away,263772,FK Napredak Kruševac,2296728,Aleksa Djordjevic,aleksa-djordjevic,G,19,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015550,away,7674,FK Napredak Kruševac,1102136,Luka Laban,luka-laban,M,14,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015550,away,374281,FK Napredak Kruševac,1855771,Mateja Gajić,mateja-gajic,M,18,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015550,away,39946,FK Napredak Kruševac,842735,Marko Šarić,marko-saric,F,88,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015550,away,5407,FK Napredak Kruševac,807251,Ivan Šubert,ivan-subert,D,31,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015550,away,369195,FK Napredak Kruševac,1598539,Pavle Mihajlović,pavle-mihajlovic,D,99,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015550,away,7674,FK Napredak Kruševac,1937361,Lazar Balević,lazar-balevic,G,84,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015550,away,7674,FK Napredak Kruševac,943362,Miloš Tošeski,milos-toseski,M,22,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
