player,isHome,shotType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,xg,id,time,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,blockCoordinates,xgot
"{'name': 'Arsenije Čepić', 'firstName': 'Arsenije', 'lastName': 'Čepić', 'slug': 'arsenije-cepic', 'shortName': 'A. Čepić', 'position': 'M', 'jerseyNumber': '15', 'userCount': 8, 'gender': 'M', 'id': 1185130, 'fieldTranslations': {'nameTranslation': {'ar': 'أرسينيي جيبيتش'}, 'shortNameTranslation': {'ar': 'أ. جيبيتش'}}}",True,miss,regular,"{'x': 23, 'y': 43, 'z': 0}",right-foot,close-high-right,"{'x': 0, 'y': 43.3, 'z': 53.1}",0.05423,6638006,90,5347,"{'start': {'x': 43, 'y': 23}, 'end': {'x': 56.7, 'y': 0}, 'goal': {'x': 56.7, 'y': 46.9}}",1,53,2647,shot,,
"{'name': 'Takeru Komiya', 'firstName': '', 'lastName': '', 'slug': 'takeru-komiya', 'shortName': 'T. Komiya', 'position': 'F', 'userCount': 25, 'gender': 'M', 'id': 1391884, 'fieldTranslations': {'nameTranslation': {'ar': 'تاكيرو كومييا'}, 'shortNameTranslation': {'ar': 'ت. كومييا'}}}",True,miss,corner,"{'x': 2, 'y': 44, 'z': 0}",head,close-high-right,"{'x': 0, 'y': 43.7, 'z': 54.8}",0.2326,6638004,88,5273,"{'start': {'x': 44, 'y': 2}, 'end': {'x': 56.3, 'y': 0}, 'goal': {'x': 56.3, 'y': 45.2}}",3,127,2573,shot,,
"{'name': 'Ognjen Obradović', 'firstName': '', 'lastName': '', 'slug': 'ognjen-obradovic', 'shortName': 'O. Obradović', 'position': 'D', 'jerseyNumber': '6', 'userCount': 7, 'gender': 'M', 'id': 960227, 'fieldTranslations': {'nameTranslation': {'ar': 'أوغنين أوبرادوفيتش', 'hi': 'ओग्जेन ओब्राडोविक', 'bn': 'ওগনজেন ওব্রাডোভিচ'}, 'shortNameTranslation': {'ar': 'أ. أوبرادوفيتش', 'hi': 'ओ. ओब्राडोविक', 'bn': 'ও. ওব্রাডোভিচ'}}}",True,block,corner,"{'x': 2, 'y': 59, 'z': 0}",head,low-centre,"{'x': 0, 'y': 50, 'z': 20}",0.1191,6638002,85,5099,"{'start': {'x': 59, 'y': 2}, 'block': {'x': 59, 'y': 2}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",6,301,2399,shot,"{'x': 2, 'y': 59, 'z': 0}",
"{'name': 'Stefan Golubović', 'firstName': '', 'lastName': '', 'slug': 'stefan-golubovic', 'shortName': 'S. Golubović', 'position': 'F', 'jerseyNumber': '21', 'userCount': 7, 'gender': 'M', 'id': 1185131, 'fieldTranslations': {'nameTranslation': {'ar': 'ستيفان غولوبوفيتش'}, 'shortNameTranslation': {'ar': 'س. غولوبوفيتش'}}}",False,miss,regular,"{'x': 13, 'y': 33, 'z': 0}",right-foot,close-high-left,"{'x': 0, 'y': 58.4, 'z': 56.9}",0.05726,6638000,83,4939,"{'start': {'x': 33, 'y': 13}, 'end': {'x': 41.6, 'y': 0}, 'goal': {'x': 41.6, 'y': 43.1}}",8,461,2239,shot,,
"{'name': 'Stefan Golubović', 'firstName': '', 'lastName': '', 'slug': 'stefan-golubovic', 'shortName': 'S. Golubović', 'position': 'F', 'jerseyNumber': '21', 'userCount': 7, 'gender': 'M', 'id': 1185131, 'fieldTranslations': {'nameTranslation': {'ar': 'ستيفان غولوبوفيتش'}, 'shortNameTranslation': {'ar': 'س. غولوبوفيتش'}}}",False,block,set-piece,"{'x': 12, 'y': 31, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}",0.01094,6637998,82,4897,"{'start': {'x': 31, 'y': 12}, 'block': {'x': 31, 'y': 12}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",9,503,2197,shot,"{'x': 12, 'y': 31, 'z': 0}",
"{'name': 'Andrej Cvijović', 'firstName': '', 'lastName': '', 'slug': 'andrej-cvijovic', 'shortName': 'A. Cvijović', 'position': 'D', 'jerseyNumber': '33', 'userCount': 4, 'gender': 'M', 'id': 1131050, 'fieldTranslations': {'nameTranslation': {'ar': 'أندريه سفييوفيتش'}, 'shortNameTranslation': {'ar': 'أ. سفييوفيتش'}}}",True,save,throw-in-set-piece,"{'x': 20, 'y': 37, 'z': 0}",right-foot,high-left,"{'x': 0, 'y': 52.3, 'z': 37.7}",0.02756,6637996,77,4620,"{'start': {'x': 37, 'y': 20}, 'end': {'x': 47.7, 'y': 0}, 'goal': {'x': 47.7, 'y': 62.3}}",14,780,1920,shot,,0.347
"{'name': 'Alhassan Baba Musah', 'firstName': '', 'lastName': '', 'slug': 'alhassan-baba-musah', 'shortName': 'A. B. Musah', 'position': 'M', 'jerseyNumber': '19', 'userCount': 30, 'gender': 'M', 'id': 1486746, 'fieldTranslations': {'nameTranslation': {'ar': 'الحسن بابا موسى'}, 'shortNameTranslation': {'ar': 'ا. موسى'}}}",False,miss,regular,"{'x': 38, 'y': 73, 'z': 0}",left-foot,close-high-right,"{'x': 0, 'y': 42, 'z': 47.1}",0.02598,6637994,69,4097,"{'start': {'x': 73, 'y': 38}, 'end': {'x': 58, 'y': 0}, 'goal': {'x': 58, 'y': 52.9}}",22,1303,1397,shot,,
"{'name': 'Andrej Cvijović', 'firstName': '', 'lastName': '', 'slug': 'andrej-cvijovic', 'shortName': 'A. Cvijović', 'position': 'D', 'jerseyNumber': '33', 'userCount': 4, 'gender': 'M', 'id': 1131050, 'fieldTranslations': {'nameTranslation': {'ar': 'أندريه سفييوفيتش'}, 'shortNameTranslation': {'ar': 'أ. سفييوفيتش'}}}",True,save,regular,"{'x': 12, 'y': 69, 'z': 0}",right-foot,low-right,"{'x': 0, 'y': 45.5, 'z': 15.3}",0.08521,6637992,67,4015,"{'start': {'x': 69, 'y': 12}, 'end': {'x': 54.5, 'y': 0}, 'goal': {'x': 54.5, 'y': 84.7}}",24,1385,1315,shot,,0.0752
"{'name': 'Igor Poček', 'slug': 'igor-pocek', 'shortName': 'I. Poček', 'position': 'F', 'jerseyNumber': '10', 'userCount': 14, 'gender': 'M', 'id': 138949, 'fieldTranslations': {'nameTranslation': {'ar': 'إيغور بوتشيك'}, 'shortNameTranslation': {'ar': 'إ. بوتشيك'}}}",False,save,regular,"{'x': 12, 'y': 43, 'z': 0}",head,low-centre,"{'x': 0, 'y': 49.4, 'z': 17.9}",0.1025,6637990,51,3010,"{'start': {'x': 43, 'y': 12}, 'end': {'x': 50.6, 'y': 0}, 'goal': {'x': 50.6, 'y': 82.1}}",40,2390,310,shot,,0.05562
"{'name': 'Ognjen Obradović', 'firstName': '', 'lastName': '', 'slug': 'ognjen-obradovic', 'shortName': 'O. Obradović', 'position': 'D', 'jerseyNumber': '6', 'userCount': 7, 'gender': 'M', 'id': 960227, 'fieldTranslations': {'nameTranslation': {'ar': 'أوغنين أوبرادوفيتش', 'hi': 'ओग्जेन ओब्राडोविक', 'bn': 'ওগনজেন ওব্রাডোভিচ'}, 'shortNameTranslation': {'ar': 'أ. أوبرادوفيتش', 'hi': 'ओ. ओब्राडोविक', 'bn': 'ও. ওব্রাডোভিচ'}}}",True,miss,throw-in-set-piece,"{'x': 31, 'y': 67, 'z': 0}",right-foot,close-high-right,"{'x': 0, 'y': 42.8, 'z': 45.4}",0.0009638,6637989,47,2786,"{'start': {'x': 67, 'y': 31}, 'end': {'x': 57.2, 'y': 0}, 'goal': {'x': 57.2, 'y': 54.6}}",44,2614,86,shot,,
"{'name': 'Igor Poček', 'slug': 'igor-pocek', 'shortName': 'I. Poček', 'position': 'F', 'jerseyNumber': '10', 'userCount': 14, 'gender': 'M', 'id': 138949, 'fieldTranslations': {'nameTranslation': {'ar': 'إيغور بوتشيك'}, 'shortNameTranslation': {'ar': 'إ. بوتشيك'}}}",False,block,regular,"{'x': 10, 'y': 35, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}",0.2637,6637988,43,2549,"{'start': {'x': 35, 'y': 10}, 'block': {'x': 35, 'y': 10}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",3,151,2549,shot,"{'x': 10, 'y': 35, 'z': 0}",
"{'name': 'Žarko Korać', 'firstName': 'Žarko', 'lastName': 'Korać', 'slug': 'zarko-korac', 'shortName': 'Ž. Korać', 'position': 'F', 'jerseyNumber': '11', 'userCount': 12, 'gender': 'M', 'id': 54752, 'fieldTranslations': {'nameTranslation': {'ar': 'زاركو كوراچ'}, 'shortNameTranslation': {'ar': 'ز. كوراچ'}}}",True,save,regular,"{'x': 26, 'y': 39, 'z': 0}",right-foot,high-left,"{'x': 0, 'y': 53.8, 'z': 28.1}",0.03733,6637987,39,2292,"{'start': {'x': 39, 'y': 26}, 'end': {'x': 46.2, 'y': 0}, 'goal': {'x': 46.2, 'y': 71.9}}",7,408,2292,shot,,0.1818
"{'name': 'Fatih Muković', 'firstName': '', 'lastName': '', 'slug': 'fatih-mukovic', 'shortName': 'F. Muković', 'position': 'M', 'jerseyNumber': '8', 'userCount': 8, 'gender': 'M', 'id': 1063210, 'fieldTranslations': {'nameTranslation': {'ar': 'فاتح موكوفيتش'}, 'shortNameTranslation': {'ar': 'ف. موكوفيتش'}}}",False,save,throw-in-set-piece,"{'x': 26, 'y': 47, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50.5, 'z': 13.9}",0.02181,6637986,38,2255,"{'start': {'x': 47, 'y': 26}, 'end': {'x': 49.5, 'y': 0}, 'goal': {'x': 49.5, 'y': 86.1}}",8,445,2255,shot,,0.02506
"{'name': 'Takeru Komiya', 'firstName': '', 'lastName': '', 'slug': 'takeru-komiya', 'shortName': 'T. Komiya', 'position': 'F', 'userCount': 25, 'gender': 'M', 'id': 1391884, 'fieldTranslations': {'nameTranslation': {'ar': 'تاكيرو كومييا'}, 'shortNameTranslation': {'ar': 'ت. كومييا'}}}",True,block,regular,"{'x': 22, 'y': 58, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}",0.03644,6637985,28,1678,"{'start': {'x': 58, 'y': 22}, 'block': {'x': 58, 'y': 22}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",18,1022,1678,shot,"{'x': 22, 'y': 58, 'z': 0}",
"{'name': 'Alhassan Baba Musah', 'firstName': '', 'lastName': '', 'slug': 'alhassan-baba-musah', 'shortName': 'A. B. Musah', 'position': 'M', 'jerseyNumber': '19', 'userCount': 30, 'gender': 'M', 'id': 1486746, 'fieldTranslations': {'nameTranslation': {'ar': 'الحسن بابا موسى'}, 'shortNameTranslation': {'ar': 'ا. موسى'}}}",False,miss,regular,"{'x': 7, 'y': 33, 'z': 0}",head,close-left,"{'x': 0, 'y': 56.6, 'z': 7.6}",0.05889,6637984,24,1389,"{'start': {'x': 33, 'y': 7}, 'end': {'x': 43.4, 'y': 0}, 'goal': {'x': 43.4, 'y': 92.4}}",22,1311,1389,shot,,
"{'name': 'Fatih Muković', 'firstName': '', 'lastName': '', 'slug': 'fatih-mukovic', 'shortName': 'F. Muković', 'position': 'M', 'jerseyNumber': '8', 'userCount': 8, 'gender': 'M', 'id': 1063210, 'fieldTranslations': {'nameTranslation': {'ar': 'فاتح موكوفيتش'}, 'shortNameTranslation': {'ar': 'ف. موكوفيتش'}}}",False,miss,corner,"{'x': 10, 'y': 35, 'z': 0}",head,close-left,"{'x': 0, 'y': 57.2, 'z': 9.1}",0.03375,6637983,22,1301,"{'start': {'x': 35, 'y': 10}, 'end': {'x': 42.8, 'y': 0}, 'goal': {'x': 42.8, 'y': 90.9}}",24,1399,1301,shot,,
"{'name': 'Alhassan Baba Musah', 'firstName': '', 'lastName': '', 'slug': 'alhassan-baba-musah', 'shortName': 'A. B. Musah', 'position': 'M', 'jerseyNumber': '19', 'userCount': 30, 'gender': 'M', 'id': 1486746, 'fieldTranslations': {'nameTranslation': {'ar': 'الحسن بابا موسى'}, 'shortNameTranslation': {'ar': 'ا. موسى'}}}",False,save,regular,"{'x': 18, 'y': 31, 'z': 0}",left-foot,low-right,"{'x': 0, 'y': 46, 'z': 11.8}",0.06216,6637982,21,1258,"{'start': {'x': 31, 'y': 18}, 'end': {'x': 54, 'y': 0}, 'goal': {'x': 54, 'y': 88.2}}",25,1442,1258,shot,,0.3405
"{'name': 'Fatih Muković', 'firstName': '', 'lastName': '', 'slug': 'fatih-mukovic', 'shortName': 'F. Muković', 'position': 'M', 'jerseyNumber': '8', 'userCount': 8, 'gender': 'M', 'id': 1063210, 'fieldTranslations': {'nameTranslation': {'ar': 'فاتح موكوفيتش'}, 'shortNameTranslation': {'ar': 'ف. موكوفيتش'}}}",False,block,throw-in-set-piece,"{'x': 25, 'y': 74, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}",0.02245,6637981,19,1096,"{'start': {'x': 74, 'y': 25}, 'block': {'x': 74, 'y': 25}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",27,1604,1096,shot,"{'x': 25, 'y': 74, 'z': 0}",
"{'name': 'Drago Bumbar', 'firstName': '', 'lastName': '', 'slug': 'drago-bumbar', 'shortName': 'D. Bumbar', 'position': 'D', 'jerseyNumber': '15', 'userCount': 6, 'gender': 'M', 'id': 1103876, 'fieldTranslations': {'nameTranslation': {'ar': 'دراغو بومبار'}, 'shortNameTranslation': {'ar': 'د. بومبار'}}}",False,block,throw-in-set-piece,"{'x': 16, 'y': 55, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}",0.007336,6637980,19,1092,"{'start': {'x': 55, 'y': 16}, 'block': {'x': 55, 'y': 16}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",27,1608,1092,shot,"{'x': 16, 'y': 55, 'z': 0}",
"{'name': 'Alhassan Baba Musah', 'firstName': '', 'lastName': '', 'slug': 'alhassan-baba-musah', 'shortName': 'A. B. Musah', 'position': 'M', 'jerseyNumber': '19', 'userCount': 30, 'gender': 'M', 'id': 1486746, 'fieldTranslations': {'nameTranslation': {'ar': 'الحسن بابا موسى'}, 'shortNameTranslation': {'ar': 'ا. موسى'}}}",False,save,regular,"{'x': 3, 'y': 31, 'z': 0}",left-foot,low-left,"{'x': 0, 'y': 51.9, 'z': 5}",0.05124,6637979,16,915,"{'start': {'x': 31, 'y': 3}, 'end': {'x': 48.1, 'y': 0}, 'goal': {'x': 48.1, 'y': 95}}",30,1785,915,shot,,0.05408
"{'name': 'Igor Poček', 'slug': 'igor-pocek', 'shortName': 'I. Poček', 'position': 'F', 'jerseyNumber': '10', 'userCount': 14, 'gender': 'M', 'id': 138949, 'fieldTranslations': {'nameTranslation': {'ar': 'إيغور بوتشيك'}, 'shortNameTranslation': {'ar': 'إ. بوتشيك'}}}",False,block,regular,"{'x': 22, 'y': 63, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}",0.02705,6637978,7,404,"{'start': {'x': 63, 'y': 22}, 'block': {'x': 63, 'y': 22}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",39,2296,404,shot,"{'x': 22, 'y': 63, 'z': 0}",
