match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,aerialWon,duelWon,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,progressiveBallCarriesCount,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,duelLost,totalContest,wonContest,bigChanceCreated,totalTackle,wonTackle,fouls,bestBallCarryProgression,totalProgressiveBallCarriesDistance,keyPass,aerialLost,outfielderBlock,interceptionWon,challengeLost,onTargetScoringAttempt,goals,shotValueNormalized,unsuccessfulTouch,wasFouled,dispossessed,bigChanceMissed,shotOffTarget,blockedScoringAttempt,errorLeadToAShot,totalOffside
14015620,home,5152,FK Partizan,844305,Marko Milošević,marko-milosevic,G,1,False,38.0,24.0,22.0,8.0,0.0,21.0,29.0,3.0,9.0,2.0,2.0,4.0,10.0,3.0,5.0,4.0,90.0,52.0,6.8,14.0,38.269076268124,6.0,-12.381463099945,0.0,0.205,"{'original': 6.8, 'alternative': 7.6}",0,0.0,-0.14,-0.22,0.24,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,2,0,0,0,63.1578947368421,36.36363636363637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015620,home,5152,FK Partizan,1150389,Milan Roganović,milan-roganovic,D,30,False,38.0,27.0,7.0,2.0,1.0,15.0,21.0,12.0,17.0,,8.0,6.0,3.0,,,,90.0,64.0,7.7,14.0,141.19463997102,15.0,91.184700690122,2.0,,"{'original': 7.7, 'alternative': 7.6}",0,0.51,0.28,-0.11,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,0,9,8,1,71.05263157894737,28.57142857142857,100.0,100.0,,1.0,1.0,1.0,2.0,2.0,1.0,6.0,4.0,1.0,21.621871791287,43.086289486717,2.0,,,,,,,,,,,,,,,
14015620,home,5152,FK Partizan,1427163,Nikola Simic,nikola-simic,D,40,False,37.0,29.0,4.0,2.0,0.0,24.0,28.0,5.0,9.0,5.0,6.0,7.0,5.0,,,,90.0,48.0,6.9,8.0,113.49705272401,14.0,20.266058428649,0.0,,"{'original': 6.9, 'alternative': 6.9}",0,0.07,0.03,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,6,2,1,1,78.37837837837837,50.0,,,,,,2.0,,,,1.0,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,,,
14015620,home,5152,FK Partizan,108736,Stefan Mitrović,stefan-mitrovic,D,23,False,52.0,47.0,3.0,1.0,0.0,39.0,41.0,8.0,11.0,2.0,2.0,2.0,2.0,,,,90.0,60.0,6.6,5.0,129.76753106207,19.0,27.309466209829,0.0,,"{'original': 6.6, 'alternative': 6.9}",0,0.04,0.03,-0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,4,0,0,0,90.38461538461539,33.33333333333333,,,,,,2.0,,,,,,,,,1.0,2.0,1.0,1.0,,,,,,,,,,,,
14015620,home,5152,FK Partizan,1147544,Vukašin Đurđević,vukasin-durdevic,D,24,False,43.0,35.0,7.0,2.0,0.0,15.0,17.0,20.0,26.0,2.0,6.0,5.0,2.0,,,,76.0,69.0,7.0,12.0,115.84571496048,13.0,19.145310220556,2.0,,"{'original': 7, 'alternative': 7.9}",2,0.18,0.06,-0.08,,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,4,9,4,5,81.3953488372093,28.57142857142857,,,,,,7.0,2.0,,,4.0,3.0,2.0,30.773606974937,43.957513091257,,2.0,2.0,2.0,1.0,2.0,1.0,0.3,,,,,,,,
14015620,home,5152,FK Partizan,188115,Saša Zdjelar,sasa-zdjelar,M,14,False,43.0,36.0,6.0,3.0,0.0,19.0,23.0,17.0,20.0,1.0,6.0,1.0,5.0,,,,76.0,51.0,6.9,8.0,74.868451521251,8.0,14.241358214157,1.0,,"{'original': 6.9, 'alternative': 6.7}",0,0.2,0.15,-0.06,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,1,6,5,1,83.72093023255815,50.0,,100.0,,,,1.0,1.0,1.0,,3.0,2.0,,8.9286757673189,9.15,,,,,1.0,,,,1.0,1.0,,,,,,
14015620,home,5152,FK Partizan,1500276,Vanja Dragojević,vanja-dragojevic,M,6,False,32.0,27.0,2.0,2.0,0.0,7.0,8.0,20.0,24.0,,6.0,6.0,6.0,,,,90.0,56.0,8.4,8.0,81.140933629052,11.0,6.1182844311066,0.0,,"{'original': 8.4, 'alternative': 8.5}",2,0.39,0.04,0.48,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,1,10,6,4,84.375,100.0,100.0,,,1.0,1.0,5.0,1.0,,,4.0,3.0,3.0,,,3.0,1.0,,2.0,,2.0,1.0,0.5,2.0,2.0,,,,,,
14015620,home,5152,FK Partizan,1012248,Demba Seck,demba-seck,M,19,False,26.0,19.0,2.0,1.0,0.0,7.0,8.0,12.0,18.0,,5.0,1.0,5.0,,,,90.0,48.0,7.4,13.0,192.18424579373,21.0,78.970040554095,4.0,,"{'original': 7.4, 'alternative': 6.6}",5,0.33,0.74,0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,1,8,5,3,73.07692307692307,50.0,,,,1.0,,4.0,1.0,,,2.0,1.0,,23.945983037519,77.816079968944,,1.0,,1.0,,2.0,,-0.65,2.0,3.0,2.0,2.0,3.0,,,
14015620,home,5152,FK Partizan,1005605,Milan Vukotić,milan-vukotic,M,11,False,49.0,42.0,8.0,6.0,0.0,17.0,21.0,25.0,28.0,1.0,3.0,,5.0,,,,86.0,64.0,7.1,12.0,90.580458535935,15.0,10.296361943995,0.0,,"{'original': 7.1, 'alternative': 7.1}",1,0.44,0.0,-0.1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,2,6,2,4,85.71428571428571,75.0,66.66666666666666,,,3.0,2.0,5.0,1.0,,,,,1.0,,,4.0,1.0,,,1.0,,,-0.04,2.0,3.0,1.0,,1.0,,,
14015620,home,5152,FK Partizan,1584964,Bogdan Kostić,bogdan-kostic,M,99,False,16.0,12.0,,,0.0,4.0,5.0,8.0,11.0,,3.0,,1.0,,,,63.0,28.0,6.4,10.0,80.119829333884,10.0,-24.299001201213,0.0,,"{'original': 6.4, 'alternative': 6.4}",0,0.08,-0.53,-0.12,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,1,7,3,4,75.0,,,,,,,5.0,1.0,,,1.0,1.0,1.0,,,,1.0,,1.0,1.0,,,,3.0,2.0,2.0,,,,,
