match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,interceptionWon,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,keyPass,dispossessed,bigChanceCreated,shotOffTarget,blockedScoringAttempt,penaltyWon,hitWoodwork,savedShotsFromInsideTheBox,penaltyConceded
14147317,home,6226,FK Dečić Tuzi,838300,Stefan Golubović,stefan-golubovic,F,27,False,14.0,9.0,0.0,0.0,0.0,5.0,7.0,3.0,6.0,3.0,1.0,1.0,2.0,5.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,,,,,,68.0,22.0,6.9,6.0,0.29,0.05,"{'original': 6.9, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,3,6,2,4,64.28571428571429,,33.33333333333333,0.0,,1.0,,,1.0,,,,,
14147317,home,6226,FK Dečić Tuzi,325325,Ibrahima Mame Ndiaye,ibrahima-mame-ndiaye,M,72,True,18.0,14.0,3.0,3.0,0.0,9.0,11.0,5.0,7.0,0.0,0.0,2.0,1.0,7.0,5.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,,,,,,44.0,34.0,7.2,7.0,0.05,0.13,"{'original': 7.2, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,3,9,4,5,77.77777777777779,100.0,,100.0,,1.0,1.0,,1.0,,,1.0,,
14147317,home,6226,FK Dečić Tuzi,44305,Draško Božović,drasko-bozovic,M,7,True,16.0,10.0,2.0,2.0,0.0,6.0,7.0,4.0,9.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,22.0,23.0,6.9,3.0,0.0,0.0,"{'original': 6.9, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,1,3,1,2,62.5,100.0,0.0,100.0,,,,,,,,,,
14147317,home,6226,FK Dečić Tuzi,869335,Ilir Camaj,ilir-camaj,F,9,True,3.0,3.0,0.0,0.0,0.0,2.0,2.0,,,0.0,0.0,2.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,22.0,4.0,6.4,3.0,0.0,0.0,"{'original': 6.4, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,2,1,0,1,100.0,,,0.0,,,,,,,,,,
14147317,home,6226,FK Dečić Tuzi,334115,Matija Božanović,matija-bozanovic,M,16,True,4.0,3.0,0.0,0.0,0.0,,1.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,9.0,4.0,6.4,1.0,0.0,0.0,"{'original': 6.4, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,0,2,75.0,,,,,,,,,,,,,
14147317,home,6226,FK Dečić Tuzi,2073399,Mark Djokaj,mark-djokaj,M,11,True,1.0,1.0,0.0,0.0,0.0,,,1.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,9.0,1.0,6.3,2.0,0.0,0.0,"{'original': 6.3, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,2,0,0,0,100.0,,,,,,,,,,,,,
14147317,home,6226,FK Dečić Tuzi,1396431,Danilo Radošević,danilo-radosevic,G,25,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,
14147317,home,6226,FK Dečić Tuzi,1877899,Pjeter Ljuljduraj,pjeter-ljuljduraj,D,15,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,
14147317,home,6226,FK Dečić Tuzi,1196772,Arlind Maloku,arlind-maloku,M,8,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,
14147317,home,6226,FK Dečić Tuzi,1466922,Nikola Braunović,nikola-braunovic,M,29,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,
