minute,value
1.0,-2
2.0,-41
3.0,-29
4.0,19
5.0,5
6.0,16
7.0,-19
8.0,9
9.0,-3
10.0,-24
11.0,-38
12.0,-24
13.0,-13
14.0,-11
15.0,11
16.0,3
17.0,2
18.0,33
19.0,20
20.0,8
21.0,10
22.0,-9
23.0,-18
24.0,-77
25.0,-48
26.0,-32
27.0,-100
28.0,-76
29.0,-43
30.0,-23
31.0,-16
32.0,4
33.0,16
34.0,7
35.0,7
36.0,1
37.0,-9
38.0,-29
39.0,-13
40.0,-16
41.0,16
42.0,7
43.0,52
44.0,33
45.0,20
45.5,-2
46.0,2
47.0,-3
48.0,2
49.0,2
50.0,22
51.0,27
52.0,22
53.0,48
54.0,90
55.0,58
56.0,93
57.0,95
58.0,57
59.0,46
60.0,24
61.0,5
62.0,-15
63.0,12
64.0,4
65.0,19
66.0,26
67.0,21
68.0,16
69.0,10
70.0,16
71.0,12
72.0,53
73.0,58
74.0,29
75.0,20
76.0,15
77.0,42
78.0,41
79.0,19
80.0,-12
81.0,8
82.0,9
83.0,8
84.0,48
85.0,26
86.0,-26
87.0,-2
88.0,2
89.0,-2
90.0,13
90.5,20
