match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,duelLost,challengeLost,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,punches,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,progressiveBallCarriesCount,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,aerialLost,aerialWon,duelWon,dispossessed,totalContest,bigChanceCreated,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,fouls,bestBallCarryProgression,totalProgressiveBallCarriesDistance,keyPass,outfielderBlock,interceptionWon,wonContest,bigChanceMissed,shotOffTarget,onTargetScoringAttempt,goals,totalOffside,shotValueNormalized,errorLeadToAGoal,blockedScoringAttempt,errorLeadToAShot,hitWoodwork
14015618,home,7674,FK Napredak Kruševac,1046779,Jovan Ilić,jovan-ilic,M,31,True,8.0,6.0,1.0,1.0,0.0,3.0,3.0,3.0,5.0,1.0,1.0,1.0,1.0,,,,,,,15.0,12.0,6.8,3.0,56.453232983919,5.0,38.832146564782,1.0,,"{'original': 6.8, 'alternative': 7}",0,0.13,0.04,0.16,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,0,3,2,1,75.0,100.0,,,,,,,,2.0,,,1.0,2.0,2.0,,,,26.101643858383,36.670239172932,1.0,,,,,,,,,,,,,
14015618,home,7674,FK Napredak Kruševac,2456101,Novak Stevanović,novak-stevanovic,M,18,True,,,,,0.0,,,,,5.0,1.0,,1.0,,,,,,,15.0,1.0,6.3,1.0,7.1661805726621,1.0,-6.4696374911405,0.0,,"{'original': 6.3, 'alternative': 6.2}",0,,-0.02,-0.05,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,3,2,0,2,,,,,,,,3.0,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,
14015618,home,7674,FK Napredak Kruševac,1102136,Luka Laban,luka-laban,M,14,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015618,home,7674,FK Napredak Kruševac,1387178,Strahinja Ristić,strahinja-ristic,D,6,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015618,home,369195,FK Napredak Kruševac,1598539,Pavle Mihajlović,pavle-mihajlovic,D,99,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015618,home,5149,FK Napredak Kruševac,1152937,Dragan Bojat,dragan-bojat,D,23,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015618,home,7674,FK Napredak Kruševac,1147879,Vladimir Savić,vladimir-savic,G,1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015618,home,7674,FK Napredak Kruševac,1153959,Mateja Bubanj,mateja-bubanj,F,9,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015618,home,7674,FK Napredak Kruševac,943362,Miloš Tošeski,milos-toseski,M,22,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015618,away,5153,OFK Beograd,1126067,Balša Popović,balsa-popovic,G,1,False,37.0,27.0,14.0,4.0,0.0,26.0,28.0,1.0,9.0,1.0,,1.0,8.0,1.0,1.0,2.0,,2.0,2.0,90.0,46.0,5.9,10.0,91.249788055671,13.0,74.537397626073,0.0,0.0753,"{'original': 5.9, 'alternative': 5.8}",0,0.17,0.07,-0.5,-0.75,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,1,0,0,0,72.97297297297297,28.57142857142857,,,100.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
14015618,away,5153,OFK Beograd,191640,Marko Gobeljić,marko-gobeljic,D,77,False,35.0,23.0,3.0,,0.0,8.0,10.0,15.0,25.0,2.0,,2.0,3.0,,,,,,,89.0,63.0,6.2,22.0,156.99198776021,16.0,45.234514236114,2.0,,"{'original': 6.2, 'alternative': 7.3}",1,0.32,0.13,-0.27,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,1,4,2,2,65.71428571428571,,33.33333333333333,,,9.0,3.0,,1.0,3.0,,1.0,,,,1.0,2.0,1.0,28.47454373904,56.613581045984,3.0,,1.0,,,1.0,,,,-0.15,,,,
14015618,away,5153,OFK Beograd,1981967,Andrej Pavlovic,andrej-pavlovic,D,4,False,51.0,37.0,7.0,1.0,0.0,27.0,32.0,10.0,19.0,3.0,1.0,3.0,3.0,,,,,,,90.0,67.0,6.7,15.0,146.54231758521,18.0,65.216095980212,1.0,,"{'original': 6.7, 'alternative': 6.8}",1,0.04,0.19,-0.38,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,2,6,3,3,72.54901960784314,14.285714285714285,,,,,,,2.0,5.0,,,,,,1.0,3.0,2.0,15.668573133409,16.559025363831,1.0,,4.0,,,,,,,-0.03,,1.0,,
14015618,away,5153,OFK Beograd,1146082,Aleksej Vukičević,aleksej-vukicevic,D,45,False,71.0,61.0,9.0,6.0,0.0,39.0,40.0,22.0,31.0,2.0,,1.0,1.0,,,,,,,90.0,81.0,7.6,11.0,295.99497239471,35.0,188.87174163038,1.0,,"{'original': 7.6, 'alternative': 7.1}",1,0.45,0.26,-0.34,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,2,5,3,2,85.91549295774648,66.66666666666666,,,,,,,2.0,5.0,,,,2.0,1.0,1.0,1.0,2.0,18.739415777923,18.741408938498,,,1.0,,,,,,,0.01,,1.0,,
