match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,interceptionWon,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,keyPass,dispossessed,blockedScoringAttempt,shotOffTarget,hitWoodwork,penaltyWon,penaltyConceded
14147329,home,36019,FK Mornar Bar,856483,Balša Sekulić,balsa-sekulic,F,9,False,17.0,16.0,0.0,0.0,0.0,4.0,4.0,12.0,13.0,1.0,1.0,2.0,0.0,12.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,,,,,,,75.0,29.0,6.7,6.0,0.0,0.15,"{'original': 6.7, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",15,2,13,3,10,94.11764705882352,,100.0,100.0,,1.0,2.0,,1.0,1.0,,
14147329,home,36019,FK Mornar Bar,95583,Stefan Denković,stefan-denkovic,M,7,True,4.0,2.0,1.0,0.0,0.0,,,2.0,4.0,2.0,1.0,0.0,0.0,7.0,5.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,,,,,,,28.0,17.0,7.0,7.0,0.04,0.0,"{'original': 7, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,0,12,5,7,50.0,0.0,50.0,100.0,,,2.0,,2.0,,,
14147329,home,36019,FK Mornar Bar,1484678,Vukas Dragović,vukas-dragovic,M,99,True,11.0,7.0,0.0,0.0,0.0,1.0,1.0,6.0,10.0,0.0,0.0,1.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,,,,,,,28.0,22.0,6.4,4.0,0.04,0.0,"{'original': 6.4, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,1,10,1,9,63.63636363636363,,,,,,1.0,,1.0,,,
14147329,home,36019,FK Mornar Bar,894450,Yann Michael Yao,yann-michael-yao,F,11,True,4.0,3.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,0.0,0.0,2.0,1.0,2.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,,,,,,,15.0,8.0,7.2,3.0,0.0,0.0,"{'original': 7.2, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,3,5,5,0,75.0,,,100.0,,,,,,,1.0,
14147329,home,36019,FK Mornar Bar,941133,Petar Vukčević,petar-vukcevic,D,19,True,2.0,2.0,0.0,0.0,0.0,,,2.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,7.0,4.0,6.5,4.0,0.0,0.0,"{'original': 6.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,0,4,1,3,100.0,,,,,,,,,,,
14147329,home,7727,FK Mornar Bar,1112732,Bojan Pavićević,bojan-pavicevic,F,97,True,3.0,1.0,0.0,0.0,0.0,,,1.0,3.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,7.0,5.0,6.5,3.0,0.0,0.0,"{'original': 6.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,0,4,1,3,33.33333333333333,,,,,,,,,,,
14147329,home,36019,FK Mornar Bar,1498808,Vasilije Stojanović,vasilije-stojanovic,G,13,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,
14147329,home,36019,FK Mornar Bar,226224,Filip Mitrović,filip-mitrovic,D,16,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,
14147329,home,36019,FK Mornar Bar,1005622,Jovan Dašić,jovan-dasic,M,17,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,
14147329,home,36019,FK Mornar Bar,1002892,Balša Dubljević,balsa-dubljevic,M,23,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,
14147329,away,5143,FK Budućnost Podgorica,55655,Milan Mijatović,milan-mijatovic,G,1,False,18.0,12.0,8.0,3.0,0.0,7.0,9.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,0.0,90.0,22.0,6.8,9.0,0.0,0.0,"{'original': 6.8, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,66.66666666666666,37.5,,,0.0,,,,,,,
14147329,away,5143,FK Budućnost Podgorica,287757,Milan Vušurović,milan-vusurovic,D,17,False,22.0,10.0,5.0,1.0,0.0,5.0,9.0,5.0,10.0,1.0,0.0,1.0,0.0,15.0,2.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,80.0,31.0,6.5,13.0,0.16,0.0,"{'original': 6.5, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",17,1,16,2,14,45.45454545454545,20.0,0.0,,,,,,1.0,,,
14147329,away,5143,FK Budućnost Podgorica,792102,Ilya Serikov,ilya-serikov,D,5,False,29.0,22.0,3.0,2.0,0.0,16.0,21.0,6.0,8.0,0.0,0.0,2.0,2.0,11.0,6.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,90.0,42.0,6.4,10.0,0.0,0.0,"{'original': 6.4, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",17,4,13,4,9,75.86206896551724,66.66666666666666,,,,,1.0,,,,,
14147329,away,241802,FK Budućnost Podgorica,101202,Adnan Orahovac,adnan-orahovac,D,55,False,39.0,28.0,2.0,1.0,0.0,25.0,29.0,3.0,5.0,0.0,0.0,1.0,4.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,,14.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,,,,,,,90.0,44.0,6.5,9.0,0.0,0.0,"{'original': 6.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,5,7,2,5,71.7948717948718,50.0,,,,,,,,,,1.0
14147329,away,5143,FK Budućnost Podgorica,138935,Momčilo Raspopović,momcilo-raspopovic,D,20,False,41.0,24.0,7.0,3.0,0.0,10.0,15.0,11.0,21.0,3.0,1.0,0.0,3.0,11.0,8.0,0.0,4.0,4.0,1.0,0.0,1.0,0.0,4.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,90.0,56.0,7.3,28.0,0.08,0.0,"{'original': 7.3, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",19,3,16,5,11,58.536585365853654,42.857142857142854,33.33333333333333,100.0,,,,,1.0,,,
14147329,away,5143,FK Budućnost Podgorica,1423503,Andrej Camaj,camaj-andrej,M,24,False,8.0,5.0,2.0,2.0,1.0,2.0,3.0,2.0,4.0,0.0,0.0,1.0,0.0,15.0,2.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,64.0,17.0,6.9,5.0,0.0,0.11,"{'original': 6.9, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",17,1,16,2,14,62.5,100.0,,50.0,,1.0,1.0,,,,,
14147329,away,5367,FK Budućnost Podgorica,889060,Nedeljko Piščević,nedeljko-piscevic,M,32,False,29.0,18.0,6.0,2.0,0.0,9.0,14.0,8.0,12.0,0.0,0.0,3.0,1.0,9.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,90.0,35.0,6.7,17.0,0.04,0.0,"{'original': 6.7, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,4,10,4,6,62.06896551724138,33.33333333333333,,,,,,,,,,
14147329,away,241802,FK Budućnost Podgorica,843228,Leonel Strumia,leonel-strumia,M,92,False,19.0,15.0,3.0,1.0,0.0,9.0,13.0,6.0,6.0,0.0,0.0,1.0,2.0,16.0,11.0,3.0,1.0,0.0,0.0,0.0,2.0,1.0,,11.0,1.0,1.0,0.0,0.0,1.0,2.0,9.0,0.0,,,,,,,90.0,25.0,6.3,5.0,0.0,0.0,"{'original': 6.3, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",27,3,24,9,15,78.94736842105263,33.33333333333333,,0.0,,,,,,,,
14147329,away,241802,FK Budućnost Podgorica,57341,Petar Grbić,petar-grbic,M,18,False,22.0,10.0,0.0,0.0,0.0,,4.0,10.0,18.0,1.0,0.0,1.0,0.0,11.0,5.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,71.0,40.0,6.6,17.0,0.03,0.0,"{'original': 6.6, 'alternative': None}",3.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",16,1,15,5,10,45.45454545454545,,0.0,60.0,,,,2.0,1.0,,,
14147329,away,5148,FK Budućnost Podgorica,1005616,Lazar Mijović,lazar-mijovic,F,88,False,15.0,8.0,0.0,0.0,0.0,3.0,4.0,5.0,11.0,2.0,1.0,1.0,0.0,10.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,4.0,,,,,,,90.0,32.0,7.0,12.0,0.0,0.31,"{'original': 7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",17,1,16,7,9,53.333333333333336,,50.0,,,3.0,,,,,,
14147329,away,5143,FK Budućnost Podgorica,1606673,Lazar Savović,lazar-savovic,F,22,False,18.0,10.0,2.0,1.0,0.0,3.0,3.0,7.0,15.0,0.0,0.0,2.0,1.0,12.0,4.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,,,,,,,80.0,28.0,7.5,9.0,0.27,0.06,"{'original': 7.5, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",16,3,13,3,10,55.55555555555556,50.0,,0.0,,3.0,,1.0,,,,
14147329,away,5143,FK Budućnost Podgorica,1085082,Damjan Dakić,damjan-dakic,D,35,True,6.0,2.0,1.0,1.0,0.0,2.0,6.0,,,0.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,26.0,7.0,6.3,6.0,0.0,0.0,"{'original': 6.3, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,1,4,0,4,33.33333333333333,100.0,,,,,,,,,,
14147329,away,5143,FK Budućnost Podgorica,890615,Marko Milickovic,marko-milickovic,M,10,True,7.0,6.0,2.0,1.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,19.0,11.0,6.4,2.0,0.0,0.0,"{'original': 6.4, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,0,8,2,6,85.71428571428571,50.0,,,,,1.0,,,,,
14147329,away,241802,FK Budućnost Podgorica,128761,Igor Ivanović,igor-ivanovic,M,7,True,1.0,1.0,0.0,0.0,0.0,1.0,1.0,,,0.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,,,,,,10.0,3.0,6.4,0.0,0.0,0.0,"{'original': 6.4, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,1,3,2,1,100.0,,,,,,,,,,,
14147329,away,5143,FK Budućnost Podgorica,1423515,Danilo Vukanić,danilo-vukanic,F,44,True,4.0,3.0,0.0,0.0,0.0,,1.0,3.0,3.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,10.0,6.0,6.5,1.0,0.0,0.0,"{'original': 6.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,1,3,1,2,75.0,,,,,,,,,,,
14147329,away,5143,FK Budućnost Podgorica,808561,Ljubomir Đurović,ljubomir-djurovic,G,31,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,
14147329,away,5143,FK Budućnost Podgorica,1030472,Miomir Đuričković,miomir-durickovic,D,4,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,
14147329,away,37153,FK Budućnost Podgorica,1005600,Petar Vuković,petar-vukovic,D,36,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,
14147329,away,7727,FK Budućnost Podgorica,57729,Luka Mirković,luka-mirkovic,M,8,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,
14147329,away,2414,FK Budućnost Podgorica,976992,Luka Štor,luka-stor,F,70,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,
