match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,bestBallCarryProgression,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,duelLost,interceptionWon,fouls,aerialWon,duelWon,challengeLost,bigChanceMissed,onTargetScoringAttempt,totalClearance,totalTackle,wonTackle,totalProgressiveBallCarriesDistance,progressiveBallCarriesCount,shotValueNormalized,aerialLost,unsuccessfulTouch,wasFouled,totalCross,accurateCross,dispossessed,shotOffTarget,blockedScoringAttempt,keyPass,totalContest,wonContest,goals,penaltyWon,totalOffside,bigChanceCreated,outfielderBlock,penaltyMiss,penaltySave,penaltyFaced,lastManTackle,penaltyConceded
15158126,home,43981,FK Radnički 1923,862199,Ester Sokler,sokler-ester,F,19,False,15.0,12.0,,,0.0,6.0,7.0,6.0,8.0,3.0,,,89.0,33.0,7.4,9.0,65.429040540912,6.0,36.435,37.905,,"{'original': 7.4, 'alternative': 7.2}",2,0.05,0.02,0.17,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,6,5,2,3,80.0,,,50.0,,7.0,,1.0,2.0,4.0,,1.0,1.0,2.0,,,38.675998771848,1.0,0.48,4.0,3.0,1.0,1.0,,1.0,1.0,,1.0,2.0,1.0,1.0,,2.0,,,,,,,
15158126,home,263765,FK Radnički 1923,1981810,Dimitrije Nikolic,dimitrije-nikolic,D,24,True,10.0,3.0,4.0,2.0,1.0,1.0,7.0,2.0,3.0,4.0,,,45.0,22.0,7.1,10.0,40.583150851498,6.0,16.8,7.035,,"{'original': 7.1, 'alternative': 7.1}",0,0.39,0.08,-0.17,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,1,3,3,0,30.0,50.0,,,,,1.0,,1.0,4.0,,,,,2.0,1.0,,,,,2.0,1.0,,,,,,1.0,,,,,,1.0,,,,,,
15158126,home,43981,FK Radnički 1923,876751,Mehmed Ćosić,mehmed-cosic,M,8,True,6.0,3.0,2.0,,0.0,2.0,2.0,1.0,4.0,3.0,,,10.0,6.0,6.4,3.0,20.729317284515,3.0,6.3,10.185,,"{'original': 6.4, 'alternative': 6.2}",0,0.01,0.04,-0.09,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,1,1,0,1,50.0,,,,,2.0,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
15158126,home,43981,FK Radnički 1923,1022058,Milan Vidakov,vidakov-milan,F,90,True,2.0,2.0,,,0.0,2.0,2.0,,,,,,1.0,2.0,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,1,0,0,0,100.0,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
15158126,home,43981,FK Radnički 1923,80236,Milan Mitrović,milan-mitrovic,D,15,True,,,,,0.0,,,,,,,,1.0,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15158126,home,263765,FK Radnički 1923,1853855,Ibrahim Yusuf Omosanya,ibrahim-yusuf-omosanya,M,22,True,,,,,0.0,,,,,,,,1.0,1.0,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
15158126,home,241802,FK Radnički 1923,987618,Danilo Mitrović,danilo-mitrovic,D,25,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15158126,home,43981,FK Radnički 1923,1802942,Stefan Petkoski Cimbaljević,stefan-petkoski-cimbaljevic,D,33,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15158126,home,7674,FK Radnički 1923,1046779,Jovan Ilić,jovan-ilic,M,21,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15158126,home,43981,FK Radnički 1923,1159434,Bojan Adžić,bojan-adzic,D,23,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15158126,home,43981,FK Radnički 1923,1158017,Alfa Baldé,alfa-balde,F,17,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15158126,home,43981,FK Radnički 1923,1152919,Luka Lijeskić,luka-lijeskic,G,81,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15158126,away,48614,FK Čukarički,792127,Nikola Mirković,nikola-mirkovic,G,1,False,34.0,26.0,14.0,7.0,0.0,24.0,28.0,2.0,6.0,6.0,5.0,6.0,90.0,43.0,7.5,8.0,69.16323772201,13.0,-39.165,0.0,1.437,"{'original': 7.5, 'alternative': 7.9}",0,0.05,0.01,-0.25,0.67,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,76.47058823529412,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,
15158126,away,5148,FK Čukarički,795850,Nemanja Miletić,nemanja-miletic,D,73,False,1.0,1.0,1.0,1.0,0.0,,,1.0,1.0,,,,6.0,2.0,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,1,0,0,0,100.0,100.0,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
15158126,away,5148,FK Čukarički,38574,Nenad Tomović,nenad-tomovic,D,4,False,61.0,49.0,11.0,4.0,0.0,30.0,33.0,19.0,28.0,7.0,,,90.0,74.0,6.5,12.0,288.09854442636,28.0,-198.87,3.885,,"{'original': 6.5, 'alternative': 6.5}",0,0.2,0.18,-0.46,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,8,0,0,0,80.32786885245902,36.36363636363637,100.0,,,1.0,3.0,,7.0,7.0,,,,8.0,,,75.383375476607,3.0,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,
15158126,away,5148,FK Čukarički,1392796,Milan Đoković,milan-dokovic,D,26,False,65.0,50.0,14.0,6.0,0.0,29.0,34.0,21.0,31.0,4.0,,,90.0,79.0,6.3,16.0,262.75304504166,30.0,-178.29,3.15,,"{'original': 6.3, 'alternative': 6.5}",1,0.15,0.19,0.19,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,0,4,2,2,76.92307692307693,42.857142857142854,,,,2.0,1.0,1.0,,2.0,1.0,,,5.0,1.0,,20.352642310029,1.0,-0.12,,,1.0,,,,1.0,,,,,,,,,2.0,,,,1.0,
15158126,away,5148,FK Čukarički,1464578,Lazar Stojanović,lazar-stojanovic,D,29,False,34.0,26.0,6.0,2.0,0.0,7.0,9.0,19.0,25.0,5.0,,,90.0,61.0,5.4,15.0,61.249035123571,10.0,-32.13,6.615,,"{'original': 5.4, 'alternative': 5.9}",0,0.14,0.09,-0.77,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,2,8,4,4,76.47058823529412,33.33333333333333,,,,5.0,,4.0,1.0,5.0,,,,1.0,3.0,3.0,,,,1.0,3.0,1.0,3.0,,,,,,,,,,,,,,,,,1.0
15158126,away,5148,FK Čukarički,267523,Dušan Jovančić,dusan-jovancic,M,77,False,20.0,15.0,1.0,1.0,0.0,7.0,8.0,8.0,12.0,2.0,,,45.0,38.0,6.6,12.0,129.92225599698,11.0,-62.055,4.83,,"{'original': 6.6, 'alternative': 6.7}",0,0.36,0.06,-0.16,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,1,9,4,5,75.0,100.0,66.66666666666666,,,6.0,1.0,1.0,,4.0,1.0,,,,3.0,,72.44564885501,3.0,,1.0,1.0,1.0,3.0,2.0,2.0,,,1.0,1.0,,,,,1.0,,,,,,
15158126,away,5148,FK Čukarički,1008225,Sambou Sissoko,sambou-sissoko,M,14,False,48.0,35.0,8.0,3.0,0.0,16.0,17.0,19.0,31.0,5.0,,,90.0,67.0,6.9,19.0,93.100380064648,15.0,-4.515,8.085,,"{'original': 6.9, 'alternative': 6.9}",0,0.11,0.04,-0.1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",15,8,7,3,4,72.91666666666666,37.5,,50.0,,6.0,1.0,,6.0,9.0,1.0,,,2.0,2.0,2.0,,,,2.0,3.0,,,,2.0,,,1.0,2.0,1.0,,,,1.0,1.0,,,,,
15158126,away,5148,FK Čukarički,1446160,Aboubacar Cisse,aboubacar-cisse,M,20,False,19.0,10.0,1.0,1.0,0.0,1.0,2.0,9.0,17.0,5.0,,,87.0,37.0,5.3,17.0,88.582975346227,12.0,-14.805,5.355,,"{'original': 5.3, 'alternative': 6.8}",3,-0.4,0.33,-0.16,,"{'sportSlug': 'football', 'statisticsType': 'player'}",15,7,8,2,6,52.63157894736842,100.0,,,,9.0,1.0,4.0,4.0,6.0,,2.0,,,1.0,1.0,13.791828051422,1.0,-0.75,3.0,1.0,1.0,4.0,,1.0,3.0,,,2.0,,,,1.0,,,,,,,
15158126,away,5148,FK Čukarički,834586,Lazar Tufegdžić,lazar-tufegdzic,M,7,False,19.0,14.0,2.0,1.0,0.0,7.0,8.0,7.0,11.0,2.0,,,73.0,34.0,7.5,9.0,45.821557490895,11.0,-11.235,4.41,,"{'original': 7.5, 'alternative': 7.1}",4,0.06,0.25,-0.12,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,7,3,2,1,73.68421052631578,50.0,100.0,,,6.0,,,2.0,4.0,,2.0,3.0,,2.0,1.0,,,0.58,5.0,3.0,,1.0,1.0,,,1.0,1.0,1.0,,1.0,,,,,,,,,
15158126,away,5148,FK Čukarički,1865407,Luka Đorđević,luka-djordevic,M,19,False,14.0,12.0,2.0,1.0,0.0,1.0,1.0,11.0,13.0,5.0,,,73.0,32.0,5.9,15.0,239.80142924531,17.0,-100.17,39.27,,"{'original': 5.9, 'alternative': 6.1}",0,-0.19,0.29,-0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,1,10,2,8,85.71428571428571,50.0,,,,9.0,1.0,1.0,,2.0,1.0,,,1.0,,,83.37134403315,4.0,,1.0,4.0,2.0,3.0,,5.0,,,,1.0,,,,,,1.0,,,,,
