player,isHome,shotType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,blockCoordinates,xg,id,time,addedTime,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,goalType,xgot
"{'name': 'Anđelko Jovanović', 'firstName': '', 'lastName': '', 'slug': 'andelko-jovanovic', 'shortName': 'A. Jovanović', 'position': 'M', 'jerseyNumber': '10', 'userCount': 4, 'gender': 'M', 'id': 1030487, 'fieldTranslations': {'nameTranslation': {'ar': 'أنجيلكو يوفانوفيتش', 'hi': 'एन्डेल्को जोवानोविक', 'bn': 'আন্দ্রেকো জোভানোভিচ'}, 'shortNameTranslation': {'ar': 'أ. يوفانوفيتش', 'hi': 'ए. जोवानोविक', 'bn': 'এ. জোভানোভিচ'}}}",True,block,regular,"{'x': 24, 'y': 37, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}","{'x': 24, 'y': 37, 'z': 0}",0.04862,6649902,45,4.0,2902,"{'start': {'x': 37, 'y': 24}, 'block': {'x': 37, 'y': 24}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",1,2498,202,shot,,
"{'name': 'Stephano Almeida', 'firstName': 'Stephano', 'lastName': 'Almeida', 'slug': 'stephano-almeida', 'shortName': 'S. Almeida', 'position': 'M', 'jerseyNumber': '27', 'userCount': 14, 'gender': 'M', 'id': 978475, 'fieldTranslations': {'nameTranslation': {'ar': 'ستيفانو ألميدا', 'hi': 'स्टेफानो अल्मेडा', 'bn': 'স্টেফানো নাউমোভস্কি'}, 'shortNameTranslation': {'ar': 'س. ألميدا', 'hi': 'एस. अल्मेडा', 'bn': 'এস. নাউমোভস্কি'}}}",True,block,regular,"{'x': 15, 'y': 68, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}","{'x': 15, 'y': 68, 'z': 0}",0.04401,6649901,45,4.0,2898,"{'start': {'x': 68, 'y': 15}, 'block': {'x': 68, 'y': 15}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",1,2502,198,shot,,
"{'name': 'Vuk Striković', 'firstName': '', 'lastName': '', 'slug': 'vuk-strikovic', 'shortName': 'V. Striković', 'position': 'M', 'jerseyNumber': '77', 'userCount': 17, 'gender': 'M', 'id': 1034556, 'fieldTranslations': {'nameTranslation': {'ar': 'فوك ستريركوفيتش', 'hi': 'वुक स्ट्रिकोविक', 'bn': 'ভুক স্ট্রিকোভিচ'}, 'shortNameTranslation': {'ar': 'ف. ستريركوفيتش', 'hi': 'डब्ल्यू. स्ट्रिकोविक', 'bn': 'ভি. স্ট্রিকোভিচ'}}}",False,save,regular,"{'x': 13, 'y': 40, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50.5, 'z': 9.9}",,0.3045,6649900,45,,2664,"{'start': {'x': 40, 'y': 13}, 'end': {'x': 49.5, 'y': 0}, 'goal': {'x': 49.5, 'y': 90.1}}",1,36,2664,shot,,0.4593
"{'name': 'Trimror Selimi', 'firstName': 'Trimron Selimi', 'lastName': '', 'slug': 'trimron-selimi', 'shortName': 'T. Selimi', 'position': 'M', 'jerseyNumber': '19', 'userCount': 15, 'gender': 'M', 'id': 1394763, 'fieldTranslations': {'nameTranslation': {'ar': 'تريمور سليمي'}, 'shortNameTranslation': {'ar': 'ت. سليمي'}}}",False,save,regular,"{'x': 1, 'y': 36, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50, 'z': 7.2}",,0.1725,6649899,45,,2657,"{'start': {'x': 36, 'y': 1}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 92.8}}",1,43,2657,shot,,0.5017
"{'name': 'Trimror Selimi', 'firstName': 'Trimron Selimi', 'lastName': '', 'slug': 'trimron-selimi', 'shortName': 'T. Selimi', 'position': 'M', 'jerseyNumber': '19', 'userCount': 15, 'gender': 'M', 'id': 1394763, 'fieldTranslations': {'nameTranslation': {'ar': 'تريمور سليمي'}, 'shortNameTranslation': {'ar': 'ت. سليمي'}}}",False,save,regular,"{'x': 8, 'y': 37, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 48.9, 'z': 9.3}",,0.3458,6649898,45,,2654,"{'start': {'x': 37, 'y': 8}, 'end': {'x': 51.1, 'y': 0}, 'goal': {'x': 51.1, 'y': 90.7}}",1,46,2654,shot,,0.34
"{'name': 'Balša Mrvaljević', 'firstName': 'Balša', 'lastName': 'Mrvaljević', 'slug': 'balsa-mrvaljevic', 'shortName': 'B. Mrvaljević', 'position': 'M', 'jerseyNumber': '18', 'userCount': 30, 'gender': 'M', 'id': 1149289, 'fieldTranslations': {'nameTranslation': {'ar': 'بالشا مرفالييفيتش'}, 'shortNameTranslation': {'ar': 'ب. مرفالييفيتش'}}}",True,save,corner,"{'x': 9, 'y': 68, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 51.2, 'z': 13.2}",,0.08163,6649897,30,,1765,"{'start': {'x': 68, 'y': 9}, 'end': {'x': 48.8, 'y': 0}, 'goal': {'x': 48.8, 'y': 86.8}}",16,935,1765,shot,,0.07467
"{'name': 'Balša Radusinović', 'firstName': '', 'lastName': '', 'slug': 'balsa-radusinovic', 'shortName': 'B. Radusinović', 'position': 'F', 'jerseyNumber': '32', 'userCount': 9, 'gender': 'M', 'id': 1131064, 'fieldTranslations': {'nameTranslation': {'ar': 'بالشا رادوسينوفيتش'}, 'shortNameTranslation': {'ar': 'ب. رادوسينوفيتش'}}}",False,miss,regular,"{'x': 20, 'y': 61, 'z': 0}",left-foot,close-left,"{'x': 0, 'y': 56.8, 'z': 15.5}",,0.1909,6649896,27,,1607,"{'start': {'x': 61, 'y': 20}, 'end': {'x': 43.2, 'y': 0}, 'goal': {'x': 43.2, 'y': 84.5}}",19,1093,1607,shot,,
"{'name': 'Davor Kontić', 'firstName': '', 'lastName': '', 'slug': 'davor-kontic', 'shortName': 'D. Kontić', 'position': 'M', 'jerseyNumber': '8', 'userCount': 7, 'gender': 'M', 'id': 929719, 'fieldTranslations': {'nameTranslation': {'ar': 'دافور كونتيش', 'hi': 'डेवोर कोंटिक', 'bn': 'দাভোর কন্টিচ'}, 'shortNameTranslation': {'ar': 'د. كونتيش', 'hi': 'डी. कोंटिक', 'bn': 'ডি. কন্টিচ'}}}",True,miss,regular,"{'x': 8, 'y': 44, 'z': 0}",head,close-right,"{'x': 0, 'y': 41, 'z': 37.6}",,0.1519,6649895,26,,1517,"{'start': {'x': 44, 'y': 8}, 'end': {'x': 59, 'y': 0}, 'goal': {'x': 59, 'y': 62.4}}",20,1183,1517,shot,,
"{'name': 'Draško Božović', 'slug': 'drasko-bozovic', 'shortName': 'D. Božović', 'position': 'M', 'jerseyNumber': '7', 'userCount': 12, 'gender': 'M', 'id': 44305, 'fieldTranslations': {'nameTranslation': {'ar': 'دراسكو بوزوفيتش', 'hi': 'ड्रास्को बोजोविक', 'bn': 'ড্রাস্কো বোজোভিচ'}, 'shortNameTranslation': {'ar': 'د. بوزوفيتش', 'hi': 'डी. बोजोविक', 'bn': 'ডি. বোজোভিচ'}}}",False,goal,penalty,"{'x': 10, 'y': 50, 'z': 0}",right-foot,high-centre,"{'x': 0, 'y': 50.8, 'z': 21.4}",,0.76,6649913,18,,1024,"{'start': {'x': 50, 'y': 10}, 'end': {'x': 49.2, 'y': 0}, 'goal': {'x': 49.2, 'y': 78.6}}",28,1676,1024,shot,penalty,0.81
"{'name': 'Anđelko Jovanović', 'firstName': '', 'lastName': '', 'slug': 'andelko-jovanovic', 'shortName': 'A. Jovanović', 'position': 'M', 'jerseyNumber': '10', 'userCount': 4, 'gender': 'M', 'id': 1030487, 'fieldTranslations': {'nameTranslation': {'ar': 'أنجيلكو يوفانوفيتش', 'hi': 'एन्डेल्को जोवानोविक', 'bn': 'আন্দ্রেকো জোভানোভিচ'}, 'shortNameTranslation': {'ar': 'أ. يوفانوفيتش', 'hi': 'ए. जोवानोविक', 'bn': 'এ. জোভানোভিচ'}}}",True,miss,throw-in-set-piece,"{'x': 26, 'y': 32, 'z': 0}",right-foot,close-high,"{'x': 0, 'y': 48.1, 'z': 58.7}",,0.001163,6649894,14,,806,"{'start': {'x': 32, 'y': 26}, 'end': {'x': 51.9, 'y': 0}, 'goal': {'x': 51.9, 'y': 41.3}}",32,1894,806,shot,,
"{'name': 'Lazar Knezevic', 'firstName': 'Lazar Knezevic', 'slug': 'lazar-knezevic', 'shortName': 'L. Knezevic', 'position': 'M', 'jerseyNumber': '7', 'userCount': 5, 'gender': 'M', 'id': 1497156, 'fieldTranslations': {'nameTranslation': {'ar': 'لازار كنيزيفيتش'}, 'shortNameTranslation': {'ar': 'ل. كنيزيفيتش'}}}",True,miss,corner,"{'x': 10, 'y': 52, 'z': 0}",head,close-high-right,"{'x': 0, 'y': 42.2, 'z': 55.9}",,0.1139,6649893,3,,169,"{'start': {'x': 52, 'y': 10}, 'end': {'x': 57.8, 'y': 0}, 'goal': {'x': 57.8, 'y': 44.1}}",43,2531,169,shot,,
