player,isHome,shotType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,id,time,addedTime,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,blockCoordinates,goalType
"{'name': 'Ejike Opara', 'slug': 'ejike-opara', 'shortName': 'E. Opara', 'position': 'F', 'jerseyNumber': '11', 'userCount': 157, 'gender': 'M', 'id': 1617764, 'fieldTranslations': {'nameTranslation': {'ar': 'إيجيكي أوبارا'}, 'shortNameTranslation': {'ar': 'إ. أوبارا'}}}",False,miss,assisted,"{'x': 4.2, 'y': 54.2, 'z': 0}",head,close-high,"{'x': 0, 'y': 48.2, 'z': 58.3}",5318755,90,6.0,5733,"{'start': {'x': 54.2, 'y': 4.2}, 'end': {'x': 51.8, 'y': 0}, 'goal': {'x': 51.8, 'y': 41.7}}",1,567,333,shot,,
"{'name': 'Nikola Marinković', 'slug': 'nikola-marinkovic', 'shortName': 'N. Marinković', 'position': 'M', 'jerseyNumber': '4', 'userCount': 22, 'gender': 'M', 'id': 1109778, 'fieldTranslations': {'nameTranslation': {'ar': 'نيكولا مارينكوفيتش'}, 'shortNameTranslation': {'ar': 'ن. مارينكوفيتش'}}}",True,miss,regular,"{'x': 29.7, 'y': 33.1, 'z': 0}",left-foot,high-left,"{'x': 0, 'y': 56.3, 'z': 68.1}",5318720,90,1.0,5438,"{'start': {'x': 33.1, 'y': 29.7}, 'end': {'x': 43.7, 'y': 0}, 'goal': {'x': 43.7, 'y': 31.9}}",1,862,38,shot,,
"{'name': 'Aleksandar Lutovac', 'firstName': 'Aleksandar', 'lastName': 'Lutovac', 'slug': 'aleksandar-lutovac', 'shortName': 'A. Lutovac', 'position': 'M', 'jerseyNumber': '15', 'userCount': 43, 'gender': 'M', 'id': 799152, 'fieldTranslations': {'nameTranslation': {'ar': 'ألكسندر لوتوفاك', 'bn': 'আলেকসান্ডার লুটোভাক', 'hi': 'अलेक्जेंडर लुटोवैक'}, 'shortNameTranslation': {'ar': 'أ. لوتوفاك', 'bn': 'এ. লুটোভাক', 'hi': 'ए. लुटोवैक'}}}",True,miss,set-piece,"{'x': 7.1, 'y': 43.8, 'z': 0}",head,high,"{'x': 0, 'y': 46.6, 'z': 63.9}",5318712,89,,5293,"{'start': {'x': 43.8, 'y': 7.1}, 'end': {'x': 53.4, 'y': 0}, 'goal': {'x': 53.4, 'y': 36.1}}",2,107,2593,shot,,
"{'name': 'Numan Kurdić', 'firstName': '', 'lastName': '', 'slug': 'numan-kurdic', 'shortName': 'N. Kurdić', 'position': 'D', 'jerseyNumber': '27', 'userCount': 57, 'gender': 'M', 'id': 941050, 'fieldTranslations': {'nameTranslation': {'ar': 'نويمان كرديتش', 'bn': 'নুমান কুর্দিচ', 'hi': 'नुमान कुर्दीक'}, 'shortNameTranslation': {'ar': 'ن. كرديتش', 'bn': 'এন. কুর্দিচ', 'hi': 'एन. कुर्दीक'}}}",False,miss,corner,"{'x': 4.8, 'y': 44.6, 'z': 0}",head,right,"{'x': 0, 'y': 37.8, 'z': 5.6}",5318611,79,,4692,"{'start': {'x': 44.6, 'y': 4.8}, 'end': {'x': 62.2, 'y': 0}, 'goal': {'x': 62.2, 'y': 94.4}}",12,708,1992,shot,,
"{'name': 'Dragan Bojat', 'firstName': 'Dragan Bojat', 'lastName': '', 'slug': 'dragan-bojat', 'shortName': 'D. Bojat', 'position': 'D', 'jerseyNumber': '23', 'userCount': 248, 'gender': 'M', 'id': 1152937, 'fieldTranslations': {'nameTranslation': {'ar': 'دراغان بوجات'}, 'shortNameTranslation': {'ar': 'د. بوجات'}}}",False,block,set-piece,"{'x': 26, 'y': 56.4, 'z': 0}",right-foot,low-left,"{'x': 0, 'y': 54.2, 'z': 19}",5319251,73,,4328,"{'start': {'x': 56.4, 'y': 26}, 'block': {'x': 50.5, 'y': 11.6}, 'end': {'x': 45.8, 'y': 0}, 'goal': {'x': 45.8, 'y': 81}}",18,1072,1628,shot,"{'x': 11.6, 'y': 50.5, 'z': 0}",
"{'name': 'Filip Krstić', 'firstName': 'Filip', 'lastName': 'Krstić', 'slug': 'filip-krstic', 'shortName': 'F. Krstić', 'position': 'M', 'jerseyNumber': '4', 'userCount': 16, 'gender': 'M', 'id': 840862, 'fieldTranslations': {'nameTranslation': {'ar': 'فيليب كريستيتش'}, 'shortNameTranslation': {'ar': 'ف. كريستيتش'}}}",True,miss,assisted,"{'x': 11.6, 'y': 29.5, 'z': 0}",right-foot,right,"{'x': 0, 'y': 38.2, 'z': 16.7}",5318523,66,,3955,"{'start': {'x': 29.5, 'y': 11.6}, 'end': {'x': 61.8, 'y': 0}, 'goal': {'x': 61.8, 'y': 83.3}}",25,1445,1255,shot,,
"{'name': 'Numan Kurdić', 'firstName': '', 'lastName': '', 'slug': 'numan-kurdic', 'shortName': 'N. Kurdić', 'position': 'D', 'jerseyNumber': '27', 'userCount': 57, 'gender': 'M', 'id': 941050, 'fieldTranslations': {'nameTranslation': {'ar': 'نويمان كرديتش', 'bn': 'নুমান কুর্দিচ', 'hi': 'नुमान कुर्दीक'}, 'shortNameTranslation': {'ar': 'ن. كرديتش', 'bn': 'এন. কুর্দিচ', 'hi': 'एन. कुर्दीक'}}}",False,miss,corner,"{'x': 8, 'y': 50.9, 'z': 0}",head,left,"{'x': 0, 'y': 67.4, 'z': 4.2}",5318846,64,,3814,"{'start': {'x': 50.9, 'y': 8}, 'block': {'x': 44.2, 'y': 2.7}, 'end': {'x': 32.6, 'y': 0}, 'goal': {'x': 32.6, 'y': 95.8}}",27,1586,1114,shot,"{'x': 2.7, 'y': 44.2, 'z': 0}",
"{'name': 'Semir Alić', 'firstName': '', 'lastName': '', 'slug': 'semir-alic', 'shortName': 'S. Alić', 'position': 'M', 'jerseyNumber': '14', 'userCount': 55, 'gender': 'M', 'id': 1102770, 'fieldTranslations': {'nameTranslation': {'ar': 'سيمير عليتش'}, 'shortNameTranslation': {'ar': 'س. عليتش'}}}",False,miss,assisted,"{'x': 21.6, 'y': 38.9, 'z': 0}",right-foot,high-right,"{'x': 0, 'y': 38.5, 'z': 63.9}",5318429,61,,3603,"{'start': {'x': 38.9, 'y': 21.6}, 'end': {'x': 61.5, 'y': 0}, 'goal': {'x': 61.5, 'y': 36.1}}",30,1797,903,shot,,
"{'name': 'Samson Iyede', 'firstName': '', 'lastName': '', 'slug': 'samson-iyede', 'shortName': 'S. Iyede', 'position': 'F', 'jerseyNumber': '9', 'userCount': 75, 'gender': 'M', 'id': 887054, 'fieldTranslations': {'nameTranslation': {'ar': 'سامسون إيدي'}, 'shortNameTranslation': {'ar': 'س. إيدي'}}}",False,goal,regular,"{'x': 5.2, 'y': 50.9, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 48.4, 'z': 5.7}",5318421,58,,3466,"{'start': {'x': 50.9, 'y': 5.2}, 'end': {'x': 51.6, 'y': 0}, 'goal': {'x': 51.6, 'y': 94.3}}",33,1934,766,shot,,regular
"{'name': 'Ivan Davidović', 'firstName': 'Ivan Davidovic', 'slug': 'ivan-davidovic', 'shortName': 'I. Davidović', 'position': 'M', 'jerseyNumber': '24', 'userCount': 55, 'gender': 'M', 'id': 1147753, 'fieldTranslations': {'nameTranslation': {'ar': 'إيفان دافيدوفيتش'}, 'shortNameTranslation': {'ar': 'إ. دافيدوفيتش'}}}",False,block,regular,"{'x': 6, 'y': 39.9, 'z': 0}",left-foot,low-right,"{'x': 0, 'y': 47.2, 'z': 19}",5318520,58,,3463,"{'start': {'x': 39.9, 'y': 6}, 'block': {'x': 42.6, 'y': 4.8}, 'end': {'x': 52.8, 'y': 0}, 'goal': {'x': 52.8, 'y': 81}}",33,1937,763,shot,"{'x': 4.8, 'y': 42.6, 'z': 0}",
