player,isHome,shotType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,xg,id,time,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,blockCoordinates,xgot,goalType
"{'name': 'Savo Arambašić', 'slug': 'savo-arambasic', 'shortName': 'S. Arambašić', 'position': 'M', 'jerseyNumber': '17', 'userCount': 27, 'gender': 'M', 'id': 1046042, 'fieldTranslations': {'nameTranslation': {'ar': 'سافو أرامباشيتش'}, 'shortNameTranslation': {'ar': 'س. أرامباشيتش'}}}",False,miss,corner,"{'x': 8, 'y': 45, 'z': 0}",head,close-high-left,"{'x': 0, 'y': 56.2, 'z': 55}",0.1441,6830445,90,5398,"{'start': {'x': 45, 'y': 8}, 'end': {'x': 43.8, 'y': 0}, 'goal': {'x': 43.8, 'y': 45}}",1,2,2698,shot,,,
"{'name': 'Savo Arambašić', 'slug': 'savo-arambasic', 'shortName': 'S. Arambašić', 'position': 'M', 'jerseyNumber': '17', 'userCount': 27, 'gender': 'M', 'id': 1046042, 'fieldTranslations': {'nameTranslation': {'ar': 'سافو أرامباشيتش'}, 'shortNameTranslation': {'ar': 'س. أرامباشيتش'}}}",False,block,regular,"{'x': 17, 'y': 47, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}",0.07202,6830444,90,5347,"{'start': {'x': 47, 'y': 17}, 'block': {'x': 47, 'y': 17}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",1,53,2647,shot,"{'x': 17, 'y': 47, 'z': 0}",,
"{'name': 'Danilo Pešukić', 'firstName': '', 'lastName': '', 'slug': 'danilo-pesukic', 'shortName': 'D. Pešukić', 'position': 'D', 'jerseyNumber': '29', 'userCount': 8, 'gender': 'M', 'id': 882142, 'fieldTranslations': {'nameTranslation': {'ar': 'دانييلو بيشوكيتش'}, 'shortNameTranslation': {'ar': 'د. بيشوكيتش'}}}",False,save,regular,"{'x': 23, 'y': 68, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 49, 'z': 6.5}",0.002261,6830443,89,5340,"{'start': {'x': 68, 'y': 23}, 'end': {'x': 51, 'y': 0}, 'goal': {'x': 51, 'y': 93.5}}",2,60,2640,shot,,0.01059,
"{'name': 'Marko Simun', 'firstName': '', 'lastName': '', 'slug': 'marko-simun', 'shortName': 'M. Simun', 'position': 'M', 'jerseyNumber': '19', 'userCount': 40, 'gender': 'M', 'id': 1479109, 'fieldTranslations': {'nameTranslation': {'ar': 'ماركو شيمون'}, 'shortNameTranslation': {'ar': 'م. شيمون'}}}",True,block,regular,"{'x': 24, 'y': 44, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}",0.02113,6830442,85,5078,"{'start': {'x': 44, 'y': 24}, 'block': {'x': 44, 'y': 24}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",6,322,2378,shot,"{'x': 24, 'y': 44, 'z': 0}",,
"{'name': 'Balša Tošković', 'slug': 'balsa-toskovic', 'shortName': 'B. Tošković', 'position': 'F', 'jerseyNumber': '10', 'userCount': 38, 'gender': 'M', 'id': 1030465, 'fieldTranslations': {'nameTranslation': {'ar': 'بالشا توشكوفيتش'}, 'shortNameTranslation': {'ar': 'ب. توشكوفيتش'}}}",True,goal,regular,"{'x': 13, 'y': 40, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50.4, 'z': 13.1}",0.2958,6830441,81,4844,"{'start': {'x': 40, 'y': 13}, 'end': {'x': 49.6, 'y': 0}, 'goal': {'x': 49.6, 'y': 86.9}}",10,556,2144,shot,,0.2412,regular
"{'name': 'Stefan Fićović', 'slug': 'stefan-ficovic', 'shortName': 'S. Fićović', 'position': 'M', 'jerseyNumber': '18', 'userCount': 9, 'gender': 'M', 'id': 889063, 'fieldTranslations': {'nameTranslation': {'ar': 'ستيفان فيتشوفيتش'}, 'shortNameTranslation': {'ar': 'س. فيتشوفيتش'}}}",False,miss,regular,"{'x': 7, 'y': 45, 'z': 0}",head,close-high,"{'x': 0, 'y': 55.1, 'z': 43.2}",0.1865,6830440,75,4473,"{'start': {'x': 45, 'y': 7}, 'end': {'x': 44.9, 'y': 0}, 'goal': {'x': 44.9, 'y': 56.8}}",16,927,1773,shot,,,
"{'name': 'Bojan Damjanovic', 'firstName': 'Bojan', 'lastName': 'Damjanovic', 'slug': 'bojan-damjanovic', 'shortName': 'B. Damjanović', 'position': 'D', 'jerseyNumber': '91', 'userCount': 17, 'gender': 'M', 'id': 1423507, 'fieldTranslations': {'nameTranslation': {'ar': 'بويان داميانوفيتش'}, 'shortNameTranslation': {'ar': 'ب. داميانوفيتش'}}}",True,goal,corner,"{'x': 6, 'y': 47, 'z': 0}",head,high-right,"{'x': 0, 'y': 47, 'z': 22.8}",0.1932,6830439,74,4404,"{'start': {'x': 47, 'y': 6}, 'end': {'x': 53, 'y': 0}, 'goal': {'x': 53, 'y': 77.2}}",17,996,1704,shot,,0.704,regular
"{'name': 'Aleksandar Šćekić', 'slug': 'aleksandar-scekic', 'shortName': 'A. Šćekić', 'position': 'M', 'jerseyNumber': '55', 'userCount': 227, 'gender': 'M', 'id': 836566, 'fieldTranslations': {'nameTranslation': {'ar': 'ألكسندر شيكيتش', 'bn': 'আলেকসান্ডার স্কিকিচ', 'hi': 'अलेक्जेंडर सेकिच'}, 'shortNameTranslation': {'ar': 'أ. شيكيتش', 'bn': 'এ. স্কিকিচ', 'hi': 'ए. सेकिच'}}}",True,block,regular,"{'x': 18, 'y': 52, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}",0.009693,6830438,74,4384,"{'start': {'x': 52, 'y': 18}, 'block': {'x': 52, 'y': 18}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",17,1016,1684,shot,"{'x': 18, 'y': 52, 'z': 0}",,
"{'name': 'Savo Arambašić', 'slug': 'savo-arambasic', 'shortName': 'S. Arambašić', 'position': 'M', 'jerseyNumber': '17', 'userCount': 27, 'gender': 'M', 'id': 1046042, 'fieldTranslations': {'nameTranslation': {'ar': 'سافو أرامباشيتش'}, 'shortNameTranslation': {'ar': 'س. أرامباشيتش'}}}",False,block,regular,"{'x': 19, 'y': 44, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}",0.0251,6830437,70,4145,"{'start': {'x': 44, 'y': 19}, 'block': {'x': 44, 'y': 19}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",21,1255,1445,shot,"{'x': 19, 'y': 44, 'z': 0}",,
"{'name': 'Žarko Popović', 'firstName': '', 'lastName': '', 'slug': 'zarko-popovic', 'shortName': 'Ž. Popović', 'position': 'M', 'jerseyNumber': '4', 'userCount': 6, 'gender': 'M', 'id': 1030468, 'fieldTranslations': {'nameTranslation': {'ar': 'زاركو بوبوفيتش'}, 'shortNameTranslation': {'ar': 'ز. بوبوفيتش'}}}",False,miss,regular,"{'x': 25, 'y': 46, 'z': 0}",right-foot,close-high-right,"{'x': 0, 'y': 43.3, 'z': 59}",0.04765,6830436,59,3514,"{'start': {'x': 46, 'y': 25}, 'end': {'x': 56.7, 'y': 0}, 'goal': {'x': 56.7, 'y': 41}}",32,1886,814,shot,,,
