player,isHome,shotType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,id,time,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,blockCoordinates,goalType
"{'name': 'Stefan Hajdin', 'firstName': 'Stefan', 'lastName': 'Hajdin', 'slug': 'stefan-hajdin', 'shortName': 'S. Hajdin', 'position': 'D', 'jerseyNumber': '3', 'userCount': 47, 'gender': 'M', 'id': 889448, 'fieldTranslations': {'nameTranslation': {'ar': 'ستيفان حيدين'}, 'shortNameTranslation': {'ar': 'س. حيدين'}}}",True,miss,assisted,"{'x': 7.7, 'y': 44.6, 'z': 0}",left-foot,close-left,"{'x': 0, 'y': 58.8, 'z': 25}",6013723,33,1941,"{'start': {'x': 44.6, 'y': 7.7}, 'end': {'x': 41.2, 'y': 0}, 'goal': {'x': 41.2, 'y': 75}}",13,759,1941,shot,,
"{'name': 'Andrija Majdevac', 'firstName': '', 'lastName': '', 'slug': 'andrija-majdevac', 'shortName': 'A. Majdevac', 'position': 'F', 'jerseyNumber': '11', 'userCount': 71, 'gender': 'M', 'id': 796223, 'fieldTranslations': {'nameTranslation': {'ar': 'أندريا ماجديفاك', 'bn': 'আন্দ্রিজা মাজদেভাক', 'hi': 'एंड्रीजा मजदेवैक'}, 'shortNameTranslation': {'ar': 'أ. ماجديفاك', 'bn': 'এ. মাজদেভাক', 'hi': 'ए. मजदेवैक'}}}",True,miss,assisted,"{'x': 6.6, 'y': 58.1, 'z': 0}",head,close-high,"{'x': 0, 'y': 44.4, 'z': 55.6}",6013722,31,1841,"{'start': {'x': 58.1, 'y': 6.6}, 'end': {'x': 55.6, 'y': 0}, 'goal': {'x': 55.6, 'y': 44.4}}",15,859,1841,shot,,
"{'name': 'Andrija Majdevac', 'firstName': '', 'lastName': '', 'slug': 'andrija-majdevac', 'shortName': 'A. Majdevac', 'position': 'F', 'jerseyNumber': '11', 'userCount': 71, 'gender': 'M', 'id': 796223, 'fieldTranslations': {'nameTranslation': {'ar': 'أندريا ماجديفاك', 'bn': 'আন্দ্রিজা মাজদেভাক', 'hi': 'एंड्रीजा मजदेवैक'}, 'shortNameTranslation': {'ar': 'أ. ماجديفاك', 'bn': 'এ. মাজদেভাক', 'hi': 'ए. मजदेवैक'}}}",True,save,regular,"{'x': 12.4, 'y': 67.3, 'z': 0}",right-foot,low-right,"{'x': 0, 'y': 45.5, 'z': 15.8}",6013721,31,1836,"{'start': {'x': 67.3, 'y': 12.4}, 'block': {'x': 54, 'y': 1.4}, 'end': {'x': 54.5, 'y': 0}, 'goal': {'x': 54.5, 'y': 84.2}}",15,864,1836,shot,"{'x': 1.4, 'y': 54, 'z': 0}",
"{'name': 'Stefan Bukinac', 'firstName': 'Stefan Bukinac', 'lastName': '', 'slug': 'stefan-bukinac', 'shortName': 'S. Bukinac', 'position': 'D', 'jerseyNumber': '33', 'userCount': 193, 'gender': 'M', 'id': 1152947, 'fieldTranslations': {'nameTranslation': {'ar': 'ستيفان بوكيناك'}, 'shortNameTranslation': {'ar': 'س. بوكيناك'}}}",False,save,corner,"{'x': 20.7, 'y': 32.1, 'z': 0}",left-foot,high-centre,"{'x': 0, 'y': 50.4, 'z': 22.2}",6013717,27,1582,"{'start': {'x': 32.1, 'y': 20.7}, 'block': {'x': 44, 'y': 5.7}, 'end': {'x': 49.6, 'y': 0}, 'goal': {'x': 49.6, 'y': 77.8}}",19,1118,1582,shot,"{'x': 5.7, 'y': 44, 'z': 0}",
"{'name': 'Aleksa Vukanović', 'slug': 'aleksa-vukanovic', 'shortName': 'A. Vukanović', 'position': 'F', 'jerseyNumber': '9', 'userCount': 157, 'gender': 'M', 'id': 842317, 'fieldTranslations': {'nameTranslation': {'ar': 'أليكسا فوكانوفيتش', 'bn': 'আলেক্সা ভুকানোভিচ', 'hi': 'अलेक्सा वुकानोविक'}, 'shortNameTranslation': {'ar': 'أ. فوكانوفيتش', 'bn': 'এ. ভুকানোভিচ', 'hi': 'ए. वुकानोविक'}}}",False,save,corner,"{'x': 4.9, 'y': 52.8, 'z': 0}",head,high-centre,"{'x': 0, 'y': 48.8, 'z': 32.9}",6013716,26,1546,"{'start': {'x': 52.8, 'y': 4.9}, 'block': {'x': 51.4, 'y': 1.1}, 'end': {'x': 51.2, 'y': 0}, 'goal': {'x': 51.2, 'y': 67.1}}",20,1154,1546,shot,"{'x': 1.1, 'y': 51.4, 'z': 0}",
"{'name': 'Njegoš Petrović', 'firstName': '', 'lastName': '', 'slug': 'njegos-petrovic', 'shortName': 'N. Petrović', 'position': 'M', 'jerseyNumber': '18', 'userCount': 331, 'gender': 'M', 'id': 844179, 'fieldTranslations': {'nameTranslation': {'ar': 'نييغوس بيتروفيتش', 'bn': 'এনজেগোস পেট্রোভিচ', 'hi': 'नेजेगोस पेत्रोविच'}, 'shortNameTranslation': {'ar': 'ن. بيتروفيتش', 'bn': 'এন. পেট্রোভিচ', 'hi': 'एन. पेत्रोविच'}}}",False,save,assisted,"{'x': 13.8, 'y': 63.2, 'z': 0}",right-foot,high-right,"{'x': 0, 'y': 48.1, 'z': 34.8}",6013715,25,1486,"{'start': {'x': 63.2, 'y': 13.8}, 'block': {'x': 53.1, 'y': 1.1}, 'end': {'x': 51.9, 'y': 0}, 'goal': {'x': 51.9, 'y': 65.2}}",21,1214,1486,shot,"{'x': 1.1, 'y': 53.1, 'z': 0}",
"{'name': 'Milan Kolarević', 'firstName': 'Milan Kolarevic', 'slug': 'milan-kolarevic', 'shortName': 'M. Kolarević', 'position': 'M', 'jerseyNumber': '21', 'userCount': 91, 'gender': 'M', 'id': 1656646, 'fieldTranslations': {'nameTranslation': {'ar': 'ميلان كولاريفيتش'}, 'shortNameTranslation': {'ar': 'م. كولاريفيتش'}}}",False,goal,regular,"{'x': 1.8, 'y': 53.6, 'z': 0}",right-foot,low-right,"{'x': 0, 'y': 47.7, 'z': 5.1}",6013668,19,1093,"{'start': {'x': 53.6, 'y': 1.8}, 'end': {'x': 52.3, 'y': 0}, 'goal': {'x': 52.3, 'y': 94.9}}",27,1607,1093,shot,,regular
"{'name': 'Luka Laban', 'firstName': '', 'lastName': '', 'slug': 'luka-laban', 'shortName': 'L. Laban', 'position': 'M', 'jerseyNumber': '14', 'userCount': 15, 'gender': 'M', 'id': 1102136, 'fieldTranslations': {'nameTranslation': {'ar': 'لوكا لابان'}, 'shortNameTranslation': {'ar': 'ل. لابان'}}}",True,block,assisted,"{'x': 26, 'y': 58.7, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 49.8, 'z': 19}",6013666,17,974,"{'start': {'x': 58.7, 'y': 26}, 'block': {'x': 58.1, 'y': 24.1}, 'end': {'x': 50.2, 'y': 0}, 'goal': {'x': 50.2, 'y': 81}}",29,1726,974,shot,"{'x': 24.1, 'y': 58.1, 'z': 0}",
"{'name': 'Milutin Vidosavljević', 'slug': 'milutin-vidosavljevic', 'shortName': 'M. Vidosavljević', 'position': 'M', 'jerseyNumber': '55', 'userCount': 182, 'gender': 'M', 'id': 858238, 'fieldTranslations': {'nameTranslation': {'ar': 'ميلوتين فيدوسافليفيتش', 'bn': 'মিলুটিন ভিদোসাভলজেভিচ', 'hi': 'मिलुटिन विडोसावलेजेविक'}, 'shortNameTranslation': {'ar': 'م. فيدوسافليفيتش', 'bn': 'এম. ভিদোসাভলজেভিচ', 'hi': 'एम. विडोसावलेजेविक'}}}",False,goal,assisted,"{'x': 15, 'y': 55.4, 'z': 0}",left-foot,low-right,"{'x': 0, 'y': 46.2, 'z': 3.2}",6013612,14,810,"{'start': {'x': 55.4, 'y': 15}, 'end': {'x': 53.8, 'y': 0}, 'goal': {'x': 53.8, 'y': 96.8}}",32,1890,810,shot,,regular
"{'name': 'Nebojša Bastajić', 'firstName': '', 'lastName': '', 'slug': 'nebojsa-bastajic', 'shortName': 'N. Bastajić', 'position': 'M', 'jerseyNumber': '12', 'userCount': 31, 'gender': 'M', 'id': 267473, 'fieldTranslations': {'nameTranslation': {'ar': 'نيبويشا باستاجيتش'}, 'shortNameTranslation': {'ar': 'ن. باستاجيتش'}}}",True,miss,assisted,"{'x': 8, 'y': 54.6, 'z': 0}",head,close-right,"{'x': 0, 'y': 41.5, 'z': 16.7}",6013610,12,690,"{'start': {'x': 54.6, 'y': 8}, 'end': {'x': 58.5, 'y': 0}, 'goal': {'x': 58.5, 'y': 83.3}}",34,2010,690,shot,,
"{'name': 'Dragan Kokanović', 'slug': 'dragan-kokanovic', 'shortName': 'D. Kokanović', 'position': 'M', 'jerseyNumber': '20', 'userCount': 54, 'gender': 'M', 'id': 1114797, 'fieldTranslations': {'nameTranslation': {'ar': 'دراغان كوكانوفيتش'}, 'shortNameTranslation': {'ar': 'د. كوكانوفيتش'}}}",False,goal,fast-break,"{'x': 25.6, 'y': 58.9, 'z': 0}",left-foot,low-right,"{'x': 0, 'y': 46.7, 'z': 3.2}",6013606,10,568,"{'start': {'x': 58.9, 'y': 25.6}, 'end': {'x': 53.3, 'y': 0}, 'goal': {'x': 53.3, 'y': 96.8}}",36,2132,568,shot,,regular
"{'name': 'Stefan Hajdin', 'firstName': 'Stefan', 'lastName': 'Hajdin', 'slug': 'stefan-hajdin', 'shortName': 'S. Hajdin', 'position': 'D', 'jerseyNumber': '3', 'userCount': 47, 'gender': 'M', 'id': 889448, 'fieldTranslations': {'nameTranslation': {'ar': 'ستيفان حيدين'}, 'shortNameTranslation': {'ar': 'س. حيدين'}}}",True,save,regular,"{'x': 6.3, 'y': 38, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 49.7, 'z': 1.9}",6013605,7,404,"{'start': {'x': 38, 'y': 6.3}, 'block': {'x': 45.7, 'y': 1.2}, 'end': {'x': 50.3, 'y': 0}, 'goal': {'x': 50.3, 'y': 98.1}}",39,2296,404,shot,"{'x': 1.2, 'y': 45.7, 'z': 0}",
"{'name': 'Nebojša Bastajić', 'firstName': '', 'lastName': '', 'slug': 'nebojsa-bastajic', 'shortName': 'N. Bastajić', 'position': 'M', 'jerseyNumber': '12', 'userCount': 31, 'gender': 'M', 'id': 267473, 'fieldTranslations': {'nameTranslation': {'ar': 'نيبويشا باستاجيتش'}, 'shortNameTranslation': {'ar': 'ن. باستاجيتش'}}}",True,save,regular,"{'x': 5.8, 'y': 52.8, 'z': 0}",right-foot,low-left,"{'x': 0, 'y': 52.5, 'z': 15.8}",6013604,7,402,"{'start': {'x': 52.8, 'y': 5.8}, 'block': {'x': 49.1, 'y': 0.90000000000001}, 'end': {'x': 47.5, 'y': 0}, 'goal': {'x': 47.5, 'y': 84.2}}",39,2298,402,shot,"{'x': 0.90000000000001, 'y': 49.1, 'z': 0}",
"{'name': 'Njegoš Petrović', 'firstName': '', 'lastName': '', 'slug': 'njegos-petrovic', 'shortName': 'N. Petrović', 'position': 'M', 'jerseyNumber': '18', 'userCount': 331, 'gender': 'M', 'id': 844179, 'fieldTranslations': {'nameTranslation': {'ar': 'نييغوس بيتروفيتش', 'bn': 'এনজেগোস পেট্রোভিচ', 'hi': 'नेजेगोस पेत्रोविच'}, 'shortNameTranslation': {'ar': 'ن. بيتروفيتش', 'bn': 'এন. পেট্রোভিচ', 'hi': 'एन. पेत्रोविच'}}}",False,miss,free-kick,"{'x': 30, 'y': 54, 'z': 0}",right-foot,high,"{'x': 0, 'y': 47.7, 'z': 91.7}",6013602,6,322,"{'start': {'x': 54, 'y': 30}, 'end': {'x': 52.3, 'y': 0}, 'goal': {'x': 52.3, 'y': 8.3}}",40,2378,322,shot,,
