match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,accurateOppositionHalfPasses,dispossessed,keyPass,shotOffTarget,interceptionWon,penaltyConceded,bigChanceCreated,blockedScoringAttempt,penaltyWon
15566223,home,327162,Mladost DG,1648525,Balša  Radanović,balsa-radanovic,G,31,False,25.0,18.0,10.0,3.0,0.0,18.0,21.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,90.0,29.0,7.0,7.0,0.0,0.0,"{'original': 7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,72.0,30.0,,,,,,,,,,,,
15566223,home,327162,Mladost DG,1391910,Vuko Vicković,vuko-vickovic,D,18,False,11.0,6.0,3.0,0.0,0.0,5.0,8.0,3.0,1.0,0.0,0.0,2.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,66.0,18.0,6.2,8.0,0.0,0.0,"{'original': 6.2, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,2,8,0,8,54.54545454545454,0.0,0.0,,,1.0,1.0,,,,,,,
15566223,home,327162,Mladost DG,1036138,Jovan Vujisic,jovan-vujisic,D,5,False,28.0,23.0,4.0,2.0,0.0,12.0,14.0,14.0,1.0,1.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,8.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,,,,,,,42.0,35.0,6.6,8.0,0.0,0.1,"{'original': 6.6, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,2,2,1,1,82.14285714285714,50.0,100.0,,,11.0,,1.0,,,,,,
15566223,home,327162,Mladost DG,605370,Luka Uskoković,luka-uskokovic,D,4,False,53.0,44.0,10.0,4.0,0.0,28.0,32.0,21.0,0.0,0.0,2.0,4.0,8.0,8.0,0.0,1.0,1.0,0.0,0.0,3.0,2.0,15.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,,,,,,,90.0,65.0,7.0,9.0,0.0,0.04,"{'original': 7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",16,6,10,4,6,83.01886792452831,40.0,,100.0,,16.0,,1.0,,,,,,
15566223,home,327162,Mladost DG,1381381,Matije Badnjar,matije-badnjar,D,3,False,56.0,43.0,9.0,3.0,0.0,17.0,24.0,32.0,8.0,3.0,2.0,1.0,8.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,,,,,,,90.0,66.0,6.5,10.0,0.0,0.0,"{'original': 6.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,3,7,1,6,76.78571428571429,33.33333333333333,37.5,,,26.0,,,,,,,,
15566223,home,315641,Mladost DG,1134549,Mamadou Camara,mamadou-camara,M,78,False,62.0,53.0,5.0,3.0,0.0,19.0,21.0,40.0,0.0,0.0,1.0,1.0,9.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,1.0,1.0,0.0,1.0,1.0,3.0,0.0,,,,,,,90.0,79.0,6.5,16.0,0.01,0.0,"{'original': 6.5, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,2,12,4,8,85.48387096774194,60.0,,0.0,,33.0,1.0,,1.0,1.0,,,,
15566223,home,327162,Mladost DG,1163021,Nelson Augustin Cordoba,nelson-augustin-cordoba,M,28,False,70.0,62.0,9.0,4.0,0.0,28.0,32.0,35.0,1.0,0.0,0.0,4.0,8.0,11.0,3.0,4.0,3.0,1.0,1.0,3.0,0.0,9.0,1.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,,,,,,,90.0,87.0,7.8,12.0,0.71,0.03,"{'original': 7.8, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",19,4,15,7,8,88.57142857142857,44.44444444444444,0.0,75.0,,32.0,,1.0,,3.0,,,,
15566223,home,327162,Mladost DG,929719,Davor Kontić,davor-kontic,M,8,False,53.0,41.0,5.0,1.0,0.0,19.0,21.0,31.0,1.0,0.0,4.0,0.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,,,,,,,80.0,65.0,6.4,13.0,0.0,0.01,"{'original': 6.4, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",15,4,11,5,6,77.35849056603774,20.0,0.0,,,21.0,,1.0,,2.0,1.0,,,
15566223,home,327162,Mladost DG,1103884,Dušan Vuković,dusan-vukovic,M,77,False,42.0,32.0,4.0,2.0,0.0,9.0,12.0,30.0,2.0,1.0,1.0,3.0,5.0,8.0,1.0,3.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,,,,,,,80.0,55.0,7.1,14.0,0.05,0.0,"{'original': 7.1, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,4,9,5,4,76.19047619047619,50.0,50.0,66.66666666666666,,23.0,,,,,,,,
15566223,home,327162,Mladost DG,1497156,Lazar Knezevic,lazar-knezevic,F,7,False,34.0,26.0,2.0,0.0,1.0,7.0,7.0,27.0,5.0,0.0,2.0,3.0,12.0,12.0,0.0,6.0,6.0,2.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,,,,,,,90.0,60.0,8.0,11.0,0.12,0.71,"{'original': 8, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",24,5,19,9,10,76.47058823529412,0.0,0.0,100.0,,19.0,1.0,1.0,,,,1.0,,
