match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,progressiveBallCarriesCount,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,duelLost,duelWon,challengeLost,onTargetScoringAttempt,interceptionWon,unsuccessfulTouch,wasFouled,fouls,bestBallCarryProgression,totalProgressiveBallCarriesDistance,shotValueNormalized,aerialLost,aerialWon,bigChanceCreated,shotOffTarget,goals,totalTackle,wonTackle,keyPass,lastManTackle,bigChanceMissed,hitWoodwork,accurateCross,blockedScoringAttempt,totalContest,dispossessed,penaltyWon,errorLeadToAShot,goodHighClaim,penaltyFaced,totalKeeperSweeper,accurateKeeperSweeper,outfielderBlock,penaltyConceded,wonContest
14015578,home,5149,FK Crvena zvezda,878830,Bruno Duarte,bruno-duarte,F,17,False,14.0,11.0,1.0,1.0,0.0,2.0,2.0,9.0,12.0,3.0,1.0,,,45.0,23.0,6.7,6.0,58.668626778106,10.0,8.934517240537,2.0,,"{'original': 6.7, 'alternative': 6.8}",0,-0.14,0.23,0.22,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,3,3,1,2,78.57142857142857,100.0,,,,,3.0,3.0,,,,1.0,1.0,,11.123619529808,19.246408217393,,1.0,2.0,,,,,,1.0,,,,,,,2.0,,,,,,,,,
14015578,home,5149,FK Crvena zvezda,1937553,Jay Enem,tyron-enem-jay-ifeanyi-junior,F,42,True,7.0,5.0,1.0,1.0,0.0,,,5.0,7.0,,,,,45.0,18.0,7.2,6.0,35.939589463116,7.0,-5.0406482972345,1.0,,"{'original': 7.2, 'alternative': 6.7}",4,-0.24,0.58,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,2,2,1,1,71.42857142857143,100.0,,,,,2.0,2.0,,3.0,,4.0,1.0,1.0,6.2021232586628,7.781028466726,0.05,1.0,1.0,,1.0,1.0,,,2.0,,3.0,,,,,,1.0,,,,,,,,
14015578,home,5149,FK Crvena zvezda,1131048,Tomás Händel,tomas-handel,M,20,True,13.0,10.0,,,0.0,4.0,5.0,6.0,8.0,,2.0,,,21.0,14.0,6.4,3.0,23.979990701376,4.0,-2.0002045419053,0.0,,"{'original': 6.4, 'alternative': 6.3}",0,-0.05,-0.26,-0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,1,1,76.92307692307693,,,,,,1.0,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
14015578,home,5149,FK Crvena zvezda,1029788,Vladimir Lučić,vladimir-lucic,M,37,True,12.0,10.0,1.0,1.0,0.0,2.0,3.0,8.0,9.0,1.0,2.0,,,21.0,18.0,7.0,6.0,46.536251551233,4.0,32.794318525267,1.0,,"{'original': 7, 'alternative': 7}",0,0.39,0.15,0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,0,2,83.33333333333334,100.0,,,,1.0,2.0,,,,1.0,2.0,,1.0,18.679932990486,25.406334347953,,,,1.0,,,,,1.0,,,,,,,1.0,,,,,,,,,
14015578,home,5149,FK Crvena zvezda,1939194,Stefan Gudelj,stefan-gudelj,D,45,True,3.0,3.0,,,0.0,3.0,3.0,,,,1.0,,,9.0,4.0,6.6,1.0,19.718509052209,4.0,-10.809618289137,0.0,,"{'original': 6.6, 'alternative': 6.5}",0,0.0,0.0,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,100.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015578,home,5149,FK Crvena zvezda,1493918,Adem Avdić,adem-avdic,D,71,True,4.0,4.0,,,0.0,,,4.0,4.0,,,,,9.0,8.0,6.6,1.0,25.211148786104,4.0,-0.12260623549535,1.0,,"{'original': 6.6, 'alternative': 6.5}",0,0.0,-0.15,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,0,1,100.0,,,,,,1.0,,,,,,,,10.435376550499,10.480822534515,,,,,,,,,,,,,,,1.0,,,,,,,,,,
14015578,home,5149,FK Crvena zvezda,1974511,Luka Zarić,luka-zaric,M,40,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015578,home,5149,FK Crvena zvezda,1100641,Nikola Stanković,nikola-stankovic,M,24,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015578,home,5149,FK Crvena zvezda,802665,Nemanja Radonjić,nemanja-radonjic,M,49,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015578,home,5149,FK Crvena zvezda,21927,Marko Arnautović,marko-arnautovic,F,89,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
