match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,interceptionWon,blockedScoringAttempt,keyPass,dispossessed,shotOffTarget,hitWoodwork,clearanceOffLine,bigChanceCreated,savedShotsFromInsideTheBox
14147297,home,7581,FK Bokelj Kotor,927881,Stefan Spasojević,stefan-spasojevic,G,88,False,26.0,22.0,9.0,6.0,0.0,20.0,22.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,90.0,27.0,6.4,3.0,0.0,0.0,"{'original': 6.4, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,84.61538461538461,66.66666666666666,,,0.0,,,,,,,,,
14147297,home,7581,FK Bokelj Kotor,314142,Stefan Vico,stefan-vico,D,22,False,11.0,10.0,1.0,1.0,0.0,6.0,6.0,4.0,5.0,1.0,0.0,2.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,46.0,15.0,6.4,2.0,0.0,0.0,"{'original': 6.4, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,3,2,0,2,90.9090909090909,100.0,0.0,,,,,,,,,,,
14147297,home,7581,FK Bokelj Kotor,94246,Igor Ćuković,igor-cukovic,D,26,False,34.0,27.0,5.0,3.0,0.0,20.0,22.0,7.0,12.0,1.0,0.0,0.0,2.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,59.0,38.0,6.5,7.0,0.0,0.0,"{'original': 6.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,2,3,1,2,79.41176470588235,60.0,0.0,,,,,,,,,,,
14147297,home,241802,FK Bokelj Kotor,57463,Saša Balić,sasa-balic,D,34,False,57.0,45.0,10.0,5.0,0.0,36.0,41.0,8.0,15.0,0.0,0.0,1.0,2.0,6.0,2.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,,,,,,90.0,64.0,6.3,13.0,0.0,0.0,"{'original': 6.3, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,3,5,0,5,78.94736842105263,50.0,,,,1.0,,,,,,,,
14147297,home,7581,FK Bokelj Kotor,909420,Marko Čavor,marko-cavor,D,29,False,30.0,19.0,5.0,1.0,0.0,8.0,11.0,11.0,19.0,1.0,0.0,0.0,2.0,5.0,4.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,90.0,42.0,6.4,11.0,0.0,0.0,"{'original': 6.4, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,2,7,2,5,63.33333333333333,20.0,0.0,66.66666666666666,,,1.0,1.0,,,,,,
14147297,home,7581,FK Bokelj Kotor,1381377,Kristijan Radunović,kristijan-radunovic,M,14,False,37.0,22.0,6.0,2.0,0.0,14.0,18.0,8.0,18.0,0.0,0.0,0.0,5.0,8.0,8.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,11.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,,,,,,90.0,52.0,7.5,20.0,0.24,0.0,"{'original': 7.5, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",16,5,11,3,8,59.45945945945946,33.33333333333333,,0.0,,2.0,,,1.0,1.0,1.0,1.0,,
14147297,home,7581,FK Bokelj Kotor,1486746,Alhassan Baba Musah,alhassan-baba-musah,M,19,False,23.0,16.0,2.0,0.0,0.0,5.0,6.0,11.0,17.0,3.0,1.0,1.0,2.0,9.0,5.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,,,,,,90.0,36.0,6.4,10.0,0.03,0.0,"{'original': 6.4, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,3,11,3,8,69.56521739130434,0.0,33.33333333333333,66.66666666666666,,1.0,1.0,,,,,,,
14147297,home,7581,FK Bokelj Kotor,807177,Žarko Vilotijević,zarko-vilotijevic,M,80,False,17.0,12.0,5.0,2.0,0.0,7.0,7.0,5.0,10.0,0.0,0.0,1.0,1.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,46.0,20.0,6.6,5.0,0.0,0.03,"{'original': 6.6, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,2,6,2,4,70.58823529411765,40.0,,,,1.0,,1.0,,,,,,
14147297,home,7581,FK Bokelj Kotor,572018,Velizar Janketić,velizar-janketic,M,7,False,20.0,7.0,4.0,1.0,0.0,4.0,7.0,3.0,13.0,1.0,0.0,2.0,3.0,12.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,,,,,,90.0,32.0,6.6,17.0,0.11,0.24,"{'original': 6.6, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",18,5,13,3,10,35.0,25.0,0.0,,,,,1.0,1.0,1.0,,,,
14147297,home,7581,FK Bokelj Kotor,813112,Luka Maraš,luka-maras,M,11,False,5.0,4.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,2.0,2.0,3.0,1.0,12.0,5.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,3.0,3.0,0.0,,,,,,71.0,19.0,7.4,6.0,0.33,0.0,"{'original': 7.4, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",17,4,13,4,9,80.0,,100.0,100.0,,,,,1.0,,,,,
