player,isHome,shotType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,blockCoordinates,id,time,addedTime,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,goalType
"{'name': 'Uroš Nikolić', 'slug': 'uros-nikolic', 'shortName': 'U. Nikolić', 'position': 'M', 'jerseyNumber': '10', 'userCount': 34, 'gender': 'M', 'id': 194450, 'fieldTranslations': {'nameTranslation': {'ar': 'أوروش نيكوليتش'}, 'shortNameTranslation': {'ar': 'أ. نيكوليتش'}}}",True,save,assisted,"{'x': 10.8, 'y': 42.3, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 51.3, 'z': 18.4}","{'x': 6.7, 'y': 44.4, 'z': 0}",5639576,90,4.0,5635,"{'start': {'x': 42.3, 'y': 10.8}, 'block': {'x': 44.4, 'y': 6.7}, 'end': {'x': 48.7, 'y': 0}, 'goal': {'x': 48.7, 'y': 81.6}}",1,665,235,shot,
"{'name': 'John Mary', 'slug': 'john-mary', 'shortName': 'J. Mary', 'position': 'F', 'jerseyNumber': '28', 'userCount': 155, 'gender': 'M', 'id': 795913, 'fieldTranslations': {'nameTranslation': {'ar': 'جون ماري', 'bn': 'জন মেরি', 'hi': 'जॉन मैरी'}, 'shortNameTranslation': {'ar': 'ج. ماري', 'bn': 'জে. মেরি', 'hi': 'जे. मैरी'}}}",True,save,fast-break,"{'x': 19.6, 'y': 56, 'z': 0}",right-foot,low-left,"{'x': 0, 'y': 51.9, 'z': 1.9}","{'x': 1.6, 'y': 51.4, 'z': 0}",5639524,90,3.0,5529,"{'start': {'x': 56, 'y': 19.6}, 'block': {'x': 51.4, 'y': 1.6}, 'end': {'x': 48.1, 'y': 0}, 'goal': {'x': 48.1, 'y': 98.1}}",1,771,129,shot,
"{'name': 'John Mary', 'slug': 'john-mary', 'shortName': 'J. Mary', 'position': 'F', 'jerseyNumber': '28', 'userCount': 155, 'gender': 'M', 'id': 795913, 'fieldTranslations': {'nameTranslation': {'ar': 'جون ماري', 'bn': 'জন মেরি', 'hi': 'जॉन मैरी'}, 'shortNameTranslation': {'ar': 'ج. ماري', 'bn': 'জে. মেরি', 'hi': 'जे. मैरी'}}}",True,goal,regular,"{'x': 9.1, 'y': 32.9, 'z': 0}",right-foot,low-right,"{'x': 0, 'y': 46.8, 'z': 19}",,5639482,86,,5101,"{'start': {'x': 32.9, 'y': 9.1}, 'end': {'x': 53.2, 'y': 0}, 'goal': {'x': 53.2, 'y': 81}}",5,299,2401,shot,regular
"{'name': 'Milan Pavkov', 'slug': 'milan-pavkov', 'shortName': 'M. Pavkov', 'position': 'F', 'jerseyNumber': '50', 'userCount': 375, 'gender': 'M', 'id': 804183, 'fieldTranslations': {'nameTranslation': {'ar': 'ميلان بافكوف', 'bn': 'মিলান পাভকভ', 'hi': 'मिलन पावकोव'}, 'shortNameTranslation': {'ar': 'م. بافكوف', 'bn': 'এম. পাভকোভ', 'hi': 'एम. पावकोव'}}}",False,block,assisted,"{'x': 20, 'y': 53, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 48.9, 'z': 19}","{'x': 17.9, 'y': 52.8, 'z': 0}",5639437,83,,4944,"{'start': {'x': 53, 'y': 20}, 'block': {'x': 52.8, 'y': 17.9}, 'end': {'x': 51.1, 'y': 0}, 'goal': {'x': 51.1, 'y': 81}}",8,456,2244,shot,
"{'name': 'Andreja Stojanović', 'firstName': '', 'lastName': '', 'slug': 'andreja-stojanovic', 'shortName': 'A. Stojanović', 'position': 'D', 'jerseyNumber': '3', 'userCount': 21, 'gender': 'M', 'id': 976131, 'fieldTranslations': {'nameTranslation': {'ar': 'أندريجا ستويانوفيتش'}, 'shortNameTranslation': {'ar': 'أ. ستويانوفيتش'}}}",False,block,assisted,"{'x': 21.2, 'y': 39.4, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 49.5, 'z': 19}","{'x': 19, 'y': 40.6, 'z': 0}",5639434,82,,4884,"{'start': {'x': 39.4, 'y': 21.2}, 'block': {'x': 40.6, 'y': 19}, 'end': {'x': 50.5, 'y': 0}, 'goal': {'x': 50.5, 'y': 81}}",9,516,2184,shot,
"{'name': 'Uroš Nikolić', 'slug': 'uros-nikolic', 'shortName': 'U. Nikolić', 'position': 'M', 'jerseyNumber': '10', 'userCount': 34, 'gender': 'M', 'id': 194450, 'fieldTranslations': {'nameTranslation': {'ar': 'أوروش نيكوليتش'}, 'shortNameTranslation': {'ar': 'أ. نيكوليتش'}}}",True,block,regular,"{'x': 19.1, 'y': 51.8, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 49.8, 'z': 19}","{'x': 14.9, 'y': 51.4, 'z': 0}",5639396,76,,4545,"{'start': {'x': 51.8, 'y': 19.1}, 'block': {'x': 51.4, 'y': 14.9}, 'end': {'x': 50.2, 'y': 0}, 'goal': {'x': 50.2, 'y': 81}}",15,855,1845,shot,
"{'name': 'Lazar Ranđelović', 'slug': 'lazar-randelovic', 'shortName': 'L. Ranđelović', 'position': 'M', 'jerseyNumber': '77', 'userCount': 316, 'gender': 'M', 'id': 938000, 'fieldTranslations': {'nameTranslation': {'ar': 'لازار راندجيلوفيتش', 'bn': 'লাজার রানডেলোভিচ', 'hi': 'लाज़र रांडेलोविच'}, 'shortNameTranslation': {'ar': 'ل. راندجيلوفيتش', 'bn': 'এল. রানডেলোভিচ', 'hi': 'एल. रांडेलोविच'}}}",True,goal,regular,"{'x': 12.5, 'y': 37.2, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 51.7, 'z': 19.6}",,5639295,71,,4251,"{'start': {'x': 37.2, 'y': 12.5}, 'end': {'x': 48.3, 'y': 0}, 'goal': {'x': 48.3, 'y': 80.4}}",20,1149,1551,shot,regular
"{'name': 'Dušan Jovančić', 'firstName': '', 'lastName': '', 'slug': 'dusan-jovancic', 'shortName': 'D.\xa0Jovančić', 'position': 'D', 'jerseyNumber': '77', 'userCount': 61, 'gender': 'M', 'id': 267523, 'fieldTranslations': {'nameTranslation': {'ar': 'دوشان جوفانشيتش', 'bn': 'দুসান জোভানসিক', 'hi': 'दुसान जोवान्चीक'}, 'shortNameTranslation': {'ar': 'د. جوفانشيتش', 'bn': 'ডি. জোভানসিক', 'hi': 'डी. जोवान्चीक'}}}",False,block,regular,"{'x': 6.7, 'y': 65.2, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 49.4, 'z': 19}","{'x': 6.1, 'y': 63.9, 'z': 0}",5639593,71,,4229,"{'start': {'x': 65.2, 'y': 6.7}, 'block': {'x': 63.9, 'y': 6.1}, 'end': {'x': 50.6, 'y': 0}, 'goal': {'x': 50.6, 'y': 81}}",20,1171,1529,shot,
"{'name': 'Nenad Tomović', 'slug': 'nenad-tomovic', 'shortName': 'N. Tomović', 'position': 'D', 'jerseyNumber': '4', 'userCount': 82, 'gender': 'M', 'id': 38574, 'fieldTranslations': {'nameTranslation': {'ar': 'نيناد توموفيتش', 'bn': 'নেনাদ তোমোভিচ', 'hi': 'नेनाद तोमोविक'}, 'shortNameTranslation': {'ar': 'ن. توموفيتش', 'bn': 'এন. তোমোভিচ', 'hi': 'एन. तोमोविक'}}}",True,goal,corner,"{'x': 1.8, 'y': 49.4, 'z': 0}",other,low-left,"{'x': 0, 'y': 53.1, 'z': 13.3}",,5639294,70,,4151,"{'start': {'x': 49.4, 'y': 1.8}, 'end': {'x': 46.9, 'y': 0}, 'goal': {'x': 46.9, 'y': 86.7}}",21,1249,1451,shot,own
"{'name': 'John Mary', 'slug': 'john-mary', 'shortName': 'J. Mary', 'position': 'F', 'jerseyNumber': '28', 'userCount': 155, 'gender': 'M', 'id': 795913, 'fieldTranslations': {'nameTranslation': {'ar': 'جون ماري', 'bn': 'জন মেরি', 'hi': 'जॉन मैरी'}, 'shortNameTranslation': {'ar': 'ج. ماري', 'bn': 'জে. মেরি', 'hi': 'जे. मैरी'}}}",True,save,corner,"{'x': 3.3, 'y': 45.4, 'z': 0}",right-foot,low-left,"{'x': 0, 'y': 53.2, 'z': 12}","{'x': 0.90000000000001, 'y': 48, 'z': 0}",5639587,70,,4149,"{'start': {'x': 45.4, 'y': 3.3}, 'block': {'x': 48, 'y': 0.90000000000001}, 'end': {'x': 46.8, 'y': 0}, 'goal': {'x': 46.8, 'y': 88}}",21,1251,1449,shot,
