minute,value
1.0,6
2.0,34
3.0,26
4.0,19
5.0,7
6.0,-33
7.0,-40
8.0,-24
9.0,-21
10.0,15
11.0,9
12.0,51
13.0,44
14.0,27
15.0,27
16.0,12
17.0,-7
18.0,-9
19.0,-31
20.0,-25
21.0,-4
22.0,-14
23.0,-3
24.0,6
25.0,6
26.0,5
27.0,7
28.0,6
29.0,6
30.0,6
31.0,6
32.0,21
33.0,12
34.0,11
35.0,11
36.0,10
37.0,9
38.0,10
39.0,10
40.0,10
41.0,10
42.0,10
43.0,35
44.0,6
45.0,8
45.5,60
46.0,3
47.0,4
48.0,5
49.0,-15
50.0,-6
51.0,-13
52.0,-11
53.0,14
54.0,8
55.0,-32
56.0,-14
57.0,-5
58.0,-30
59.0,-11
60.0,-3
61.0,49
62.0,34
63.0,24
64.0,100
65.0,100
66.0,39
67.0,44
68.0,24
69.0,-14
70.0,9
71.0,30
72.0,24
73.0,9
74.0,-21
75.0,56
76.0,39
77.0,28
78.0,57
79.0,38
80.0,16
81.0,6
82.0,-25
83.0,-22
84.0,-41
85.0,-35
86.0,33
87.0,15
88.0,-21
89.0,-1
90.0,42
90.5,14
