match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,penaltyFaced,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,interceptionWon,totalTackle,wonTackle,fouls,keyPass,aerialLost,bigChanceCreated,onTargetScoringAttempt,wasFouled,shotValueNormalized,shotOffTarget,outfielderBlock,errorLeadToAShot,unsuccessfulTouch,penaltyConceded,totalOffside,dispossessed,bigChanceMissed,blockedScoringAttempt,goals,savedShotsFromInsideTheBox,saves,keeperSaveValue,goalkeeperValueNormalized,clearanceOffLine,ownGoals,errorLeadToAGoal,penaltyWon
14015455,home,5150,FK Vojvodina,844128,Dragan Rosić,dragan-rosic,G,12,False,22.0,10.0,16.0,4.0,0.0,7.0,13.0,3.0,9.0,1.0,7.0,1.0,1.0,1.0,90.0,27.0,6.4,12.0,"{'original': 6.4, 'alternative': 6.4}",0,0.02,0.02,-0.08,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,45.45454545454545,25.0,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015455,home,5150,FK Vojvodina,862782,Lazar Nikolić,lazar-nikolic,D,22,False,45.0,36.0,8.0,5.0,0.0,13.0,15.0,23.0,30.0,2.0,4.0,,,,90.0,76.0,7.2,14.0,"{'original': 7.2, 'alternative': 7.2}",0,0.45,0.16,-0.16,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,1,7,3,4,80.0,62.5,50.0,33.33333333333333,,4.0,2.0,1.0,4.0,4.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
14015455,home,47,FK Vojvodina,1198768,Collins Sichenje,collins-sichenje,D,29,False,46.0,36.0,8.0,2.0,0.0,24.0,27.0,12.0,19.0,7.0,8.0,,,,90.0,66.0,7.7,11.0,"{'original': 7.7, 'alternative': 7.5}",1,0.66,0.28,-0.07,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,6,7,6,1,78.26086956521739,25.0,,,,,,4.0,3.0,10.0,,1.0,,3.0,5.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,-0.13,,,,,,,,,,,,,,,,,,
14015455,home,5150,FK Vojvodina,1892868,Kufre Eta,kufre-eta,D,2,False,48.0,38.0,6.0,3.0,0.0,30.0,33.0,8.0,15.0,6.0,8.0,,,,90.0,71.0,6.2,14.0,"{'original': 6.2, 'alternative': 6.6}",1,0.01,0.15,-0.39,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,5,9,4,5,79.16666666666666,50.0,,60.0,,1.0,,2.0,8.0,6.0,2.0,5.0,3.0,2.0,,,1.0,,3.0,,,1.0,-0.12,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
14015455,home,2445,FK Vojvodina,1152947,Stefan Bukinac,stefan-bukinac,D,30,False,50.0,43.0,7.0,4.0,0.0,20.0,23.0,23.0,27.0,,3.0,,,,90.0,67.0,6.9,10.0,"{'original': 6.9, 'alternative': 6.9}",0,0.21,0.19,-0.25,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,1,5,3,2,86.0,57.14285714285714,,100.0,,,,1.0,2.0,4.0,1.0,2.0,2.0,,1.0,1.0,1.0,2.0,,,,,,,,,2.0,,,,,,,,,,,,,,
14015455,home,5150,FK Vojvodina,844179,Njegoš Petrović,njegos-petrovic,M,18,False,48.0,38.0,6.0,2.0,0.0,15.0,18.0,23.0,30.0,1.0,3.0,,,,76.0,58.0,6.5,15.0,"{'original': 6.5, 'alternative': 6.7}",1,0.0,0.02,-0.06,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,1,1,0,1,79.16666666666666,33.33333333333333,,,,3.0,,1.0,1.0,1.0,,,,,,,1.0,1.0,,,1.0,,0.07,,,,2.0,,1.0,,,,,,,,,,,,
14015455,home,5150,FK Vojvodina,50306,Slobodan Medojević,slobodan-medojevic,M,34,False,33.0,29.0,1.0,,0.0,12.0,13.0,17.0,20.0,,4.0,,,,58.0,38.0,6.7,6.0,"{'original': 6.7, 'alternative': 6.8}",0,0.17,0.07,-0.05,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,1,0,87.87878787878788,,100.0,,,1.0,1.0,,,1.0,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,
14015455,home,5150,FK Vojvodina,938000,Lazar Ranđelović,lazar-randelovic,M,77,False,18.0,16.0,1.0,,0.0,6.0,6.0,10.0,12.0,,3.0,,,,89.0,45.0,7.5,14.0,"{'original': 7.5, 'alternative': 7.7}",5,-0.06,0.08,-0.06,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,2,7,3,4,88.88888888888889,,22.22222222222222,66.66666666666666,,9.0,2.0,1.0,5.0,4.0,,3.0,2.0,,,,1.0,1.0,1.0,,2.0,1.0,0.45,1.0,,,2.0,,,2.0,1.0,2.0,1.0,,,,,,,,
14015455,home,5150,FK Vojvodina,1121635,Marko Veličković,marko-velickovic,M,24,False,4.0,2.0,1.0,,0.0,1.0,1.0,1.0,3.0,,,,,,19.0,8.0,6.7,4.0,"{'original': 6.7, 'alternative': 6.6}",0,-0.02,0.07,0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,2,0,50.0,,,,,,,,,2.0,,,,,1.0,,,,,,,1.0,,,,,2.0,,1.0,,,,,,,,,,,,
14015455,home,25737,FK Vojvodina,1085212,Ibrahim Mustapha,ibrahim-mustapha,M,17,False,22.0,20.0,,,0.0,5.0,5.0,15.0,17.0,1.0,2.0,,,,58.0,33.0,6.4,7.0,"{'original': 6.4, 'alternative': 6.6}",1,-0.05,-0.25,-0.06,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,2,2,1,1,90.9090909090909,,,,,,,1.0,2.0,2.0,,,,,1.0,,1.0,,1.0,,,,-0.13,,,,4.0,,,,,1.0,,,,,,,,,
