match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,savedShotsFromInsideTheBox,penaltyFaced,saves,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,bestBallCarryProgression,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,aerialLost,duelLost,duelWon,challengeLost,dispossessed,totalContest,wonContest,shotOffTarget,totalClearance,outfielderBlock,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,fouls,keyPass,shotValueNormalized,onTargetScoringAttempt,goals,errorLeadToAShot,aerialWon,totalCross,accurateCross,penaltyConceded,bigChanceCreated,blockedScoringAttempt,totalKeeperSweeper,accurateKeeperSweeper,bigChanceMissed,totalOffside,penaltyWon
14015525,home,36967,FK Spartak Subotica,905454,Lincoln,lincoln,F,9,False,20.0,13.0,3.0,2.0,0.0,2.0,3.0,11.0,17.0,,,,,71.0,34.0,6.4,13.0,98.129290217268,11.0,45.99,11.34,,"{'original': 6.4, 'alternative': 6.6}",1,-0.2,0.3,-0.02,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,1,6,3,3,65.0,66.66666666666666,,50.0,,1.0,4.0,3.0,,,4.0,2.0,,,,,1.0,,4.0,,1.0,,-0.18,1.0,,,,,,,,,,,,,
14015525,home,36967,FK Spartak Subotica,1649511,Francis Ebuka Nwokeabia,francis-ebuka-nwokeabia,M,6,True,4.0,1.0,,,0.0,,1.0,1.0,3.0,1.0,,,,19.0,6.0,6.4,3.0,12.422142146401,2.0,-4.2,3.465,,"{'original': 6.4, 'alternative': 6.5}",0,-0.05,0.02,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,1,0,0,0,25.0,,,,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
14015525,home,36967,FK Spartak Subotica,997194,Ilija Babić,ilija-babic,F,21,True,6.0,5.0,,,0.0,,,5.0,6.0,,,,,19.0,8.0,6.4,1.0,57.124918889579,5.0,30.66,16.485,,"{'original': 6.4, 'alternative': 7}",1,-0.12,0.15,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,1,1,83.33333333333334,,,100.0,,,1.0,1.0,,,1.0,1.0,,,,,,,,,1.0,,-0.03,1.0,,,,,,,,,,,,,
14015525,home,36967,FK Spartak Subotica,1186164,Dario Pavković,dario-pavkovic,F,90,True,2.0,2.0,,,0.0,1.0,1.0,1.0,1.0,,,,,12.0,4.0,6.5,1.0,,,,,,"{'original': 6.5, 'alternative': 6.5}",0,0.01,,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,100.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
14015525,home,36967,FK Spartak Subotica,1093730,Nemanja Krsmanović,nemanja-krsmanovic,D,49,True,3.0,2.0,,,0.0,1.0,1.0,1.0,2.0,,,,,12.0,4.0,7.4,1.0,18.533055343645,2.0,18.48,11.55,,"{'original': 7.4, 'alternative': 7.2}",1,0.03,0.01,-0.18,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,66.66666666666666,,,,,,,,,,,,,,,,,,,,,,0.55,1.0,1.0,,,,,,,,,,,,
14015525,home,36967,FK Spartak Subotica,2189184,Kudu Shama Abdul,kudu-shama-abdul,D,25,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015525,home,36967,FK Spartak Subotica,1515520,Nikola Grujić,nikola-grujic,G,45,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015525,home,36967,FK Spartak Subotica,1981794,Aleksa Trajković,aleksa-trajkovic,M,17,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015525,home,301263,FK Spartak Subotica,1424448,Veljko Jocić,veljko-jocic,M,14,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015525,home,201203,FK Spartak Subotica,1147543,Stefan Stojanović,stefan-stojanovic,F,7,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015525,home,37064,FK Spartak Subotica,1094065,Eldar Mehmedović,eldar-mehmedovic,M,44,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015525,home,36967,FK Spartak Subotica,949370,Yohan Bilingi,bilingi-yohan,D,28,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015525,away,5153,OFK Beograd,1126067,Balša Popović,balsa-popovic,G,1,False,25.0,15.0,18.0,8.0,0.0,11.0,14.0,4.0,11.0,3.0,1.0,,6.0,90.0,34.0,7.5,10.0,31.652588021024,5.0,-2.31,3.57,0.5664,"{'original': 7.5, 'alternative': 7.5}",0,0.15,-0.03,-0.19,0.31,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,60.0,44.44444444444444,,,100.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,2.0,2.0,,,
14015525,away,5153,OFK Beograd,191640,Marko Gobeljić,marko-gobeljic,D,77,False,42.0,29.0,9.0,2.0,0.0,18.0,20.0,11.0,22.0,1.0,,,,89.0,74.0,6.9,22.0,83.474019993712,12.0,-24.045,10.92,,"{'original': 6.9, 'alternative': 6.5}",0,0.61,0.02,-0.39,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,0,9,5,4,69.04761904761905,22.22222222222222,40.0,66.66666666666666,,,4.0,5.0,2.0,,3.0,2.0,,2.0,,1.0,1.0,,2.0,2.0,1.0,2.0,,,,,,5.0,2.0,,1.0,,,,,,
14015525,away,5153,OFK Beograd,1146082,Aleksej Vukičević,aleksej-vukicevic,D,45,False,37.0,29.0,5.0,2.0,0.0,21.0,23.0,8.0,14.0,4.0,,,,90.0,53.0,6.9,9.0,79.880752302706,12.0,-34.125,5.775,,"{'original': 6.9, 'alternative': 7.2}",2,0.18,0.01,-0.19,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,0,6,5,1,78.37837837837837,40.0,,,,,1.0,5.0,,1.0,,,1.0,2.0,1.0,2.0,2.0,2.0,,3.0,,,0.02,,,,,,,,,1.0,,,,,
14015525,away,334956,OFK Beograd,1147556,Aleksandar Đermanović,aleksandar-dermanovic,D,15,False,37.0,32.0,5.0,2.0,0.0,22.0,22.0,10.0,15.0,5.0,,,,90.0,43.0,6.3,5.0,67.441309537657,9.0,-30.24,5.565,,"{'original': 6.3, 'alternative': 6.5}",1,0.17,0.06,-0.26,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,1,0,0,0,86.48648648648648,40.0,,,,,,1.0,,,,,1.0,4.0,,,,,,,,,-0.25,,,,1.0,,,,,,,,,,
14015525,away,5153,OFK Beograd,881211,Uroš Stojanović,uros-stojanovic,D,24,False,36.0,29.0,3.0,1.0,0.0,11.0,11.0,18.0,25.0,1.0,,,,90.0,63.0,7.4,13.0,111.09924981465,15.0,-52.92,3.57,,"{'original': 7.4, 'alternative': 7.7}",2,-0.14,0.06,-0.4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,4,8,4,4,80.55555555555556,33.33333333333333,,,,,4.0,8.0,1.0,,1.0,,1.0,,,2.0,3.0,1.0,1.0,1.0,2.0,,0.5,1.0,1.0,,4.0,2.0,,,,,,,,,
14015525,away,5153,OFK Beograd,955061,Edmund Addo,edmund-addo,M,3,False,58.0,47.0,1.0,1.0,0.0,26.0,29.0,21.0,29.0,9.0,,,,90.0,78.0,7.4,15.0,180.01640925409,23.0,-45.15,10.605,,"{'original': 7.4, 'alternative': 7.2}",0,0.34,0.36,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,1,8,5,3,81.03448275862068,100.0,,100.0,,,3.0,6.0,,1.0,1.0,1.0,,,,5.0,2.0,2.0,3.0,2.0,2.0,,,,,,1.0,,,,,,,,,,
