match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,aerialLost,duelLost,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,progressiveBallCarriesCount,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,aerialWon,duelWon,dispossessed,totalContest,wonContest,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,bestBallCarryProgression,totalProgressiveBallCarriesDistance,keyPass,fouls,shotOffTarget,outfielderBlock,shotValueNormalized,challengeLost,onTargetScoringAttempt,blockedScoringAttempt,totalOffside
14015591,home,5144,FK Javor Ivanjica,972802,Bayere Loue,bayere-loue,F,27,False,14.0,10.0,1.0,,0.0,3.0,4.0,7.0,10.0,1.0,6.0,,4.0,,,,77.0,26.0,6.4,9.0,115.02562091478,10.0,-7.3108335817633,1.0,,"{'original': 6.4, 'alternative': 7}",1,0.04,-0.63,-0.06,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,4,7,2,5,71.42857142857143,,,50.0,,2.0,,3.0,5.0,,2.0,1.0,,,,2.0,1.0,13.83971992539,34.01852920101,1.0,3.0,,1.0,-0.34,1.0,,1.0,1.0
14015591,home,5144,FK Javor Ivanjica,98458,Dušan Pantelić,dusan-pantelic,M,10,True,8.0,6.0,2.0,2.0,0.0,,1.0,6.0,7.0,2.0,3.0,1.0,,,,,14.0,12.0,6.8,3.0,34.737476746537,4.0,2.5735768691872,0.0,,"{'original': 6.8, 'alternative': 6.7}",0,0.08,-0.37,0.16,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,3,2,1,1,75.0,100.0,,100.0,,,,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
14015591,home,5144,FK Javor Ivanjica,895905,Ibrahim Tanko,ibrahim-tanko,F,9,True,8.0,7.0,,,0.0,2.0,2.0,5.0,6.0,2.0,2.0,,1.0,,,,13.0,11.0,6.3,2.0,25.342970647062,5.0,13.801561955314,1.0,,"{'original': 6.3, 'alternative': 6.9}",1,0.34,0.12,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,3,0,0,0,87.5,,100.0,,,1.0,1.0,1.0,1.0,,,,,,,1.0,,6.4374397512744,6.5609417007012,1.0,,1.0,,-0.35,,,,
14015591,home,5144,FK Javor Ivanjica,1150815,Andreja Ristic,andreja-ristic,F,8,True,2.0,2.0,,,0.0,,,2.0,2.0,,1.0,,,,,,9.0,3.0,6.5,1.0,3.1297618120234,1.0,-0.47750075679828,0.0,,"{'original': 6.5, 'alternative': 6.5}",0,0.01,0.0,-0.05,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,0,1,100.0,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,
14015591,home,5144,FK Javor Ivanjica,1473508,Mass Sise,mass-sise,M,24,True,1.0,1.0,,,0.0,1.0,1.0,,,,1.0,,,,,,1.0,5.0,,1.0,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,0,4,3,1,100.0,,,100.0,,,,,3.0,1.0,1.0,1.0,,1.0,,,1.0,,,,,,,,,,,
14015591,home,5144,FK Javor Ivanjica,1910871,Petar Đoković,dokovic-petar,M,25,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015591,home,5144,FK Javor Ivanjica,1047458,Mateja Zuvić,mateja-zuvic,F,32,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015591,home,5144,FK Javor Ivanjica,834186,Nikola Vasiljević,nikola-vasiljevic,G,1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015591,home,5144,FK Javor Ivanjica,2456095,Andrej Mandić,andrej-mandic,M,7,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015591,home,5144,FK Javor Ivanjica,943573,Stefan Vilotic,stefan-vilotic,D,3,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
