player,isHome,shotType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,goalkeeper,id,time,addedTime,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,blockCoordinates
"{'name': 'Đorđe Skoko', 'slug': 'dorde-skoko', 'shortName': 'Đ. Skoko', 'position': 'D', 'jerseyNumber': '26', 'userCount': 52, 'gender': 'M', 'id': 1468253, 'fieldTranslations': {'nameTranslation': {'ar': 'دورجي سكوكو'}, 'shortNameTranslation': {'ar': 'د. سكوكو'}}}",True,miss,set-piece,"{'x': 13.8, 'y': 39.1, 'z': 0}",right-foot,left,"{'x': 0, 'y': 64.7, 'z': 12.5}","{'name': 'Saša Stamenković', 'firstName': '', 'lastName': '', 'slug': 'sasa-stamenkovic', 'shortName': 'S. Stamenković', 'position': 'G', 'jerseyNumber': '1', 'userCount': 63, 'gender': 'M', 'id': 38583, 'fieldTranslations': {'nameTranslation': {'ar': 'ساشا ستامنكوفيتش'}, 'shortNameTranslation': {'ar': 'س. ستامنكوفيتش'}}}",6766657,90,4.0,5615,"{'start': {'x': 39.1, 'y': 13.8}, 'end': {'x': 35.3, 'y': 0}, 'goal': {'x': 35.3, 'y': 87.5}}",1,685,215,shot,
"{'name': 'Ibrahim Tanko', 'firstName': '', 'lastName': '', 'slug': 'ibrahim-tanko', 'shortName': 'I. Tanko', 'position': 'F', 'jerseyNumber': '9', 'userCount': 53, 'gender': 'M', 'id': 895905, 'fieldTranslations': {'nameTranslation': {'ar': 'إبراهيم تانكو'}, 'shortNameTranslation': {'ar': 'إ. تانكو'}}}",True,miss,corner,"{'x': 6.9, 'y': 56.4, 'z': 0}",right-foot,high-right,"{'x': 0, 'y': 40.3, 'z': 43.1}","{'name': 'Saša Stamenković', 'firstName': '', 'lastName': '', 'slug': 'sasa-stamenkovic', 'shortName': 'S. Stamenković', 'position': 'G', 'jerseyNumber': '1', 'userCount': 63, 'gender': 'M', 'id': 38583, 'fieldTranslations': {'nameTranslation': {'ar': 'ساشا ستامنكوفيتش'}, 'shortNameTranslation': {'ar': 'س. ستامنكوفيتش'}}}",6766655,90,3.0,5520,"{'start': {'x': 56.4, 'y': 6.9}, 'end': {'x': 59.7, 'y': 0}, 'goal': {'x': 59.7, 'y': 56.9}}",1,780,120,shot,
"{'name': 'Mamane Amadou Sabo', 'slug': 'mamane-amadou-sabo', 'shortName': 'M. A. Sabo', 'position': 'M', 'jerseyNumber': '6', 'userCount': 199, 'gender': 'M', 'id': 1435246, 'fieldTranslations': {'nameTranslation': {'ar': 'ماماني أمدو سابو'}, 'shortNameTranslation': {'ar': 'م. سابو'}}}",True,save,regular,"{'x': 19.4, 'y': 54.6, 'z': 0}",right-foot,low-right,"{'x': 0, 'y': 47.1, 'z': 6.3}","{'name': 'Saša Stamenković', 'firstName': '', 'lastName': '', 'slug': 'sasa-stamenkovic', 'shortName': 'S. Stamenković', 'position': 'G', 'jerseyNumber': '1', 'userCount': 63, 'gender': 'M', 'id': 38583, 'fieldTranslations': {'nameTranslation': {'ar': 'ساشا ستامنكوفيتش'}, 'shortNameTranslation': {'ar': 'س. ستامنكوفيتش'}}}",6766659,90,2.0,5474,"{'start': {'x': 54.6, 'y': 19.4}, 'block': {'x': 50.5, 'y': 1.5}, 'end': {'x': 52.9, 'y': 0}, 'goal': {'x': 52.9, 'y': 93.7}}",1,826,74,shot,"{'x': 1.5, 'y': 50.5, 'z': 0}"
"{'name': 'Lazar Mićić', 'firstName': 'Lazar Micic', 'lastName': '', 'slug': 'lazar-micic', 'shortName': 'L. Mićić', 'position': 'M', 'jerseyNumber': '28', 'userCount': 43, 'gender': 'M', 'id': 1147526, 'fieldTranslations': {'nameTranslation': {'ar': 'لازار ميتشيتش'}, 'shortNameTranslation': {'ar': 'ل. ميتشيتش'}}}",True,miss,assisted,"{'x': 9.4, 'y': 58.5, 'z': 0}",head,right,"{'x': 0, 'y': 32.9, 'z': 16.7}","{'name': 'Saša Stamenković', 'firstName': '', 'lastName': '', 'slug': 'sasa-stamenkovic', 'shortName': 'S. Stamenković', 'position': 'G', 'jerseyNumber': '1', 'userCount': 63, 'gender': 'M', 'id': 38583, 'fieldTranslations': {'nameTranslation': {'ar': 'ساشا ستامنكوفيتش'}, 'shortNameTranslation': {'ar': 'س. ستامنكوفيتش'}}}",6766652,88,,5255,"{'start': {'x': 58.5, 'y': 9.4}, 'end': {'x': 67.1, 'y': 0}, 'goal': {'x': 67.1, 'y': 83.3}}",3,145,2555,shot,
"{'name': 'Žarko Udovičić', 'slug': 'zarko-udovicic', 'shortName': 'Ž. Udovičić', 'position': 'D', 'jerseyNumber': '33', 'userCount': 17, 'gender': 'M', 'id': 795938, 'fieldTranslations': {'nameTranslation': {'ar': 'زاركو أودوفيتشيتش', 'bn': 'জারকো উডোভিচ', 'hi': 'ज़ारको उदोविचिक'}, 'shortNameTranslation': {'ar': 'ز. أودوفيتشيتش', 'bn': 'জেড. উডোভিচ', 'hi': 'ज़ेड. उदोविचिक'}}}",False,miss,assisted,"{'x': 14.8, 'y': 37, 'z': 0}",left-foot,high,"{'x': 0, 'y': 51.9, 'z': 76.4}","{'name': 'Dimitrije Stevanović', 'firstName': '', 'lastName': '', 'slug': 'dimitrije-stevanovic', 'shortName': 'D. Stevanović', 'position': 'G', 'jerseyNumber': '12', 'userCount': 49, 'gender': 'M', 'id': 1065775, 'fieldTranslations': {'nameTranslation': {'ar': 'ديميتريجي ستيفانوفيتش'}, 'shortNameTranslation': {'ar': 'د. ستيفانوفيتش'}}}",6766651,86,,5158,"{'start': {'x': 37, 'y': 14.8}, 'end': {'x': 48.1, 'y': 0}, 'goal': {'x': 48.1, 'y': 23.6}}",5,242,2458,shot,
"{'name': 'Uroš Ljubomirac', 'firstName': '', 'lastName': '', 'slug': 'uros-ljubomirac', 'shortName': 'U. Ljubomirac', 'position': 'M', 'jerseyNumber': '77', 'userCount': 7, 'gender': 'M', 'id': 892174, 'fieldTranslations': {'nameTranslation': {'ar': 'أوروس ليوبوميراك', 'bn': 'উরোস লুবোমিরাক', 'hi': 'उरोस लुबोमिराक'}, 'shortNameTranslation': {'ar': 'أ. ليوبوميراك', 'bn': 'ইউ. জুবোমিরাক', 'hi': 'यू. लुजोमिराक'}}}",False,save,assisted,"{'x': 5.5, 'y': 30.3, 'z': 0}",right-foot,low-left,"{'x': 0, 'y': 52.7, 'z': 15.8}","{'name': 'Dimitrije Stevanović', 'firstName': '', 'lastName': '', 'slug': 'dimitrije-stevanovic', 'shortName': 'D. Stevanović', 'position': 'G', 'jerseyNumber': '12', 'userCount': 49, 'gender': 'M', 'id': 1065775, 'fieldTranslations': {'nameTranslation': {'ar': 'ديميتريجي ستيفانوفيتش'}, 'shortNameTranslation': {'ar': 'د. ستيفانوفيتش'}}}",6766648,81,,4850,"{'start': {'x': 30.3, 'y': 5.5}, 'block': {'x': 45.7, 'y': 1}, 'end': {'x': 47.3, 'y': 0}, 'goal': {'x': 47.3, 'y': 84.2}}",10,550,2150,shot,"{'x': 1, 'y': 45.7, 'z': 0}"
"{'name': 'Aleksa Radonjić', 'firstName': '', 'lastName': '', 'slug': 'aleksa-radonjic', 'shortName': 'A. Radonjić', 'position': 'M', 'jerseyNumber': '20', 'userCount': 14, 'gender': 'M', 'id': 1468252, 'fieldTranslations': {'nameTranslation': {'ar': 'أليكسه رادونيتش'}, 'shortNameTranslation': {'ar': 'أ. رادونيتش'}}}",True,block,assisted,"{'x': 7.6, 'y': 41.3, 'z': 0}",head,low-left,"{'x': 0, 'y': 54, 'z': 19}","{'name': 'Saša Stamenković', 'firstName': '', 'lastName': '', 'slug': 'sasa-stamenkovic', 'shortName': 'S. Stamenković', 'position': 'G', 'jerseyNumber': '1', 'userCount': 63, 'gender': 'M', 'id': 38583, 'fieldTranslations': {'nameTranslation': {'ar': 'ساشا ستامنكوفيتش'}, 'shortNameTranslation': {'ar': 'س. ستامنكوفيتش'}}}",6766646,80,,4753,"{'start': {'x': 41.3, 'y': 7.6}, 'block': {'x': 42.4, 'y': 5.8}, 'end': {'x': 46, 'y': 0}, 'goal': {'x': 46, 'y': 81}}",11,647,2053,shot,"{'x': 5.8, 'y': 42.4, 'z': 0}"
"{'name': 'Mihailo Todosijevic', 'firstName': 'Mihailo Todosijevic', 'slug': 'mihailo-todosijevic', 'shortName': 'M. Todosijevic', 'position': 'F', 'jerseyNumber': '22', 'userCount': 19, 'gender': 'M', 'id': 1981982, 'fieldTranslations': {'nameTranslation': {'ar': 'ميهايلو تودوسيفيتش'}, 'shortNameTranslation': {'ar': 'م. تودوسيفيتش'}}}",False,miss,throw-in-set-piece,"{'x': 21.2, 'y': 77.5, 'z': 0}",left-foot,high,"{'x': 0, 'y': 51.9, 'z': 65.3}","{'name': 'Dimitrije Stevanović', 'firstName': '', 'lastName': '', 'slug': 'dimitrije-stevanovic', 'shortName': 'D. Stevanović', 'position': 'G', 'jerseyNumber': '12', 'userCount': 49, 'gender': 'M', 'id': 1065775, 'fieldTranslations': {'nameTranslation': {'ar': 'ديميتريجي ستيفانوفيتش'}, 'shortNameTranslation': {'ar': 'د. ستيفانوفيتش'}}}",6766644,77,,4608,"{'start': {'x': 77.5, 'y': 21.2}, 'end': {'x': 48.1, 'y': 0}, 'goal': {'x': 48.1, 'y': 34.7}}",14,792,1908,shot,
"{'name': 'Aleksa Radonjić', 'firstName': '', 'lastName': '', 'slug': 'aleksa-radonjic', 'shortName': 'A. Radonjić', 'position': 'M', 'jerseyNumber': '20', 'userCount': 14, 'gender': 'M', 'id': 1468252, 'fieldTranslations': {'nameTranslation': {'ar': 'أليكسه رادونيتش'}, 'shortNameTranslation': {'ar': 'أ. رادونيتش'}}}",True,block,assisted,"{'x': 5.4, 'y': 48.9, 'z': 0}",head,low-centre,"{'x': 0, 'y': 49.5, 'z': 19}","{'name': 'Saša Stamenković', 'firstName': '', 'lastName': '', 'slug': 'sasa-stamenkovic', 'shortName': 'S. Stamenković', 'position': 'G', 'jerseyNumber': '1', 'userCount': 63, 'gender': 'M', 'id': 38583, 'fieldTranslations': {'nameTranslation': {'ar': 'ساشا ستامنكوفيتش'}, 'shortNameTranslation': {'ar': 'س. ستامنكوفيتش'}}}",6766694,72,,4269,"{'start': {'x': 48.9, 'y': 5.4}, 'block': {'x': 49.3, 'y': 4.1}, 'end': {'x': 50.5, 'y': 0}, 'goal': {'x': 50.5, 'y': 81}}",19,1131,1569,shot,"{'x': 4.1, 'y': 49.3, 'z': 0}"
"{'name': 'Aleksa Radonjić', 'firstName': '', 'lastName': '', 'slug': 'aleksa-radonjic', 'shortName': 'A. Radonjić', 'position': 'M', 'jerseyNumber': '20', 'userCount': 14, 'gender': 'M', 'id': 1468252, 'fieldTranslations': {'nameTranslation': {'ar': 'أليكسه رادونيتش'}, 'shortNameTranslation': {'ar': 'أ. رادونيتش'}}}",True,miss,fast-break,"{'x': 12.8, 'y': 23.6, 'z': 0}",left-foot,left,"{'x': 0, 'y': 59.5, 'z': 38.9}","{'name': 'Saša Stamenković', 'firstName': '', 'lastName': '', 'slug': 'sasa-stamenkovic', 'shortName': 'S. Stamenković', 'position': 'G', 'jerseyNumber': '1', 'userCount': 63, 'gender': 'M', 'id': 38583, 'fieldTranslations': {'nameTranslation': {'ar': 'ساشا ستامنكوفيتش'}, 'shortNameTranslation': {'ar': 'س. ستامنكوفيتش'}}}",6766638,67,,4002,"{'start': {'x': 23.6, 'y': 12.8}, 'end': {'x': 40.5, 'y': 0}, 'goal': {'x': 40.5, 'y': 61.1}}",24,1398,1302,shot,
