match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,interceptionWon,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,keyPass,dispossessed,bigChanceMissed,shotOffTarget,blockedScoringAttempt,penaltyConceded
14147391,away,327162,Mladost DG,871881,Rodrigo Faust,rodrigo-faust,F,9,False,15.0,9.0,1.0,1.0,0.0,4.0,6.0,4.0,7.0,1.0,0.0,2.0,3.0,8.0,6.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,,,,,,79.0,27.0,6.8,12.0,0.15,0.0,"{'original': 6.8, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,5,9,3,6,60.0,100.0,0.0,100.0,,,1.0,,1.0,,
14147391,away,327162,Mladost DG,1149286,Nikola Radusinović,nikola-radusinovic,M,16,True,26.0,20.0,5.0,3.0,0.0,12.0,15.0,6.0,8.0,0.0,0.0,1.0,2.0,10.0,5.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,64.0,33.0,6.4,11.0,0.0,0.0,"{'original': 6.4, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",15,3,12,3,9,76.92307692307693,60.0,,,,1.0,2.0,,,,
14147391,away,481825,Mladost DG,1800480,Nikola  Ukšanović,nikola-uksanovic,D,66,True,6.0,4.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,0.0,0.0,0.0,2.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,36.0,10.0,6.7,4.0,0.0,0.15,"{'original': 6.7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,2,5,0,5,66.66666666666666,100.0,,,,1.0,,,,,
14147391,away,327162,Mladost DG,880655,Zvonko Ceklić,zvonko-ceklic,D,6,True,3.0,2.0,1.0,0.0,0.0,2.0,3.0,,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,11.0,4.0,5.5,2.0,0.0,0.0,"{'original': 5.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,1,0,0,0,66.66666666666666,0.0,,,,,,,,,1.0
14147391,away,327162,Mladost DG,1426667,Matija Vukčević,matija-vukcevic,M,44,True,3.0,1.0,1.0,0.0,0.0,,,1.0,3.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,11.0,5.0,6.3,3.0,0.0,0.0,"{'original': 6.3, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,4,0,0,0,33.33333333333333,0.0,,,,,,,,,
14147391,away,327162,Mladost DG,1620437,Jagoš Roganović,jagos-roganovic,F,29,True,3.0,2.0,0.0,0.0,0.0,2.0,2.0,,1.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,11.0,6.0,7.0,5.0,0.15,0.0,"{'original': 7, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,2,2,0,2,66.66666666666666,,,,,,2.0,,,,
14147391,away,327162,Mladost DG,1094114,Rajko Boljević,rajko-boljevic,G,1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,
14147391,away,37958,Mladost DG,1005618,Nikola Vukotić,nikola-vukotic,D,35,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,
14147391,away,35223,Mladost DG,1648560,Nikola Pavličević,nikola-pavlicevic,M,11,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,
14147391,away,327162,Mladost DG,2444828,Gustavo Fabián López,gustavo-fabian-lopez,F,34,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,
