match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,totalOppositionHalfPasses,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,progressiveBallCarriesCount,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,accurateOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,totalContest,wonContest,totalClearance,outfielderBlock,interceptionWon,unsuccessfulTouch,wasFouled,bestBallCarryProgression,totalProgressiveBallCarriesDistance,keyPass,challengeLost,dispossessed,totalTackle,wonTackle,fouls,shotOffTarget,onTargetScoringAttempt,shotValueNormalized,blockedScoringAttempt,totalOffside,goals,bigChanceCreated,errorLeadToAShot,bigChanceMissed
14015599,home,25737,FK Radnički Niš,1000276,Aleksandr Shestyuk,aleksandr-shestyuk,F,9,False,5.0,2.0,,,0.0,,,5.0,,,,,45.0,9.0,6.5,4.0,32.040406643392,4.0,-0.058310976274498,1.0,,"{'original': 6.5, 'alternative': 6.8}",2,0.04,0.0,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,40.0,,100.0,,,2.0,1.0,1.0,,,,,,,,,,1.0,,7.8979787625693,8.4561273050966,1.0,,,,,1.0,,1.0,0.06,1.0,,,,,
14015599,home,25737,FK Radnički Niš,1085212,Ibrahim Mustapha,ibrahim-mustapha,F,23,True,8.0,8.0,,,0.0,2.0,2.0,6.0,,,,,45.0,14.0,6.7,3.0,31.403237960104,5.0,5.3585498361539,1.0,,"{'original': 6.7, 'alternative': 6.4}",0,0.29,-0.18,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,0,4,1,3,100.0,,,,,6.0,,,,,3.0,1.0,1.0,,,,,,1.0,6.1462089384987,6.3969774894086,,,2.0,,,,,,,,,,,,
14015599,home,25737,FK Radnički Niš,1894089,Stefan Nikolić,stefan-nikolic,M,70,True,8.0,7.0,1.0,,0.0,4.0,4.0,4.0,1.0,,,,15.0,12.0,6.5,2.0,82.295584397565,7.0,20.523425292333,2.0,,"{'original': 6.5, 'alternative': 6.5}",0,-0.1,0.15,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,2,2,1,1,87.5,,,,,3.0,,,2.0,,3.0,1.0,,,,,,,,18.864439998926,35.164740857305,1.0,,1.0,1.0,,,,,,,,,,,
14015599,home,25737,FK Radnički Niš,873419,Issah Abass,abass-issah,F,8,True,8.0,6.0,1.0,,0.0,1.0,1.0,7.0,1.0,,,,15.0,14.0,6.5,5.0,49.750354442159,6.0,25.768862517746,2.0,,"{'original': 6.5, 'alternative': 6.7}",1,-0.07,0.17,0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,1,0,75.0,,,100.0,,5.0,,,,,,1.0,1.0,1.0,,,1.0,2.0,,18.081952176947,26.630518020645,,,,,,,,1.0,-0.07,,,,,,
14015599,home,25737,FK Radnički Niš,137702,Uroš Vitas,uros-vitas,D,4,True,,,,,0.0,,,,,,,,1.0,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015599,home,25737,FK Radnički Niš,1566364,Babacar Mboup,babacar-mboup,F,12,True,,,,,0.0,,,,,,,,1.0,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,1,1,0,1,,,,,,,,,1.0,,2.0,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,
14015599,home,25737,FK Radnički Niš,1153961,Mateja Radonjić,mateja-radonjic,M,30,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015599,home,25737,FK Radnički Niš,2198962,Djordje Petrović,djordje-petrovic,D,71,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015599,home,25737,FK Radnički Niš,987906,Oleg Nikiforenko,oleg-nikiforenko,M,7,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015599,home,25737,FK Radnički Niš,605446,Bubacar Djaló,bubacar-djalo,M,5,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015599,home,25737,FK Radnički Niš,810663,Nikola Srećković,nikola-sreckovic,M,20,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015599,home,25737,FK Radnički Niš,804837,Dejan Stanivuković,dejan-stanivukovic,G,94,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015599,away,5144,FK Javor Ivanjica,834186,Nikola Vasiljević,nikola-vasiljevic,G,1,False,22.0,11.0,15.0,4.0,0.0,8.0,9.0,13.0,3.0,,3.0,4.0,90.0,28.0,7.1,11.0,32.206724966399,6.0,17.048711502423,0.0,0.5949,"{'original': 7.1, 'alternative': 6.9}",0,0.04,0.01,-0.1,0.48,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,50.0,26.666666666666668,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015599,away,5144,FK Javor Ivanjica,981518,Marko Bjeković,marko-bjekovic,D,13,False,29.0,25.0,3.0,1.0,0.0,14.0,14.0,15.0,2.0,,,,89.0,62.0,7.2,13.0,249.45128185271,20.0,64.185962710819,3.0,,"{'original': 7.2, 'alternative': 7.3}",0,-0.1,0.04,-0.11,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,1,9,7,2,86.20689655172413,33.33333333333333,,,,11.0,3.0,,,1.0,2.0,8.0,,,2.0,,1.0,3.0,3.0,23.316220128288,76.112078908363,,1.0,1.0,4.0,2.0,,,,,,,,,,
14015599,away,5144,FK Javor Ivanjica,1500275,Petar Petrović,petar-petrovic,D,21,False,65.0,54.0,14.0,9.0,0.0,43.0,43.0,22.0,1.0,,,,90.0,73.0,7.6,12.0,272.08198471726,37.0,133.0379011869,1.0,,"{'original': 7.6, 'alternative': 7.3}",0,0.03,0.41,0.28,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,0,3,3,0,83.07692307692308,64.28571428571429,,100.0,,11.0,,,,,,3.0,2.0,2.0,3.0,1.0,,,,19.219299748167,21.062797629945,,,,1.0,,,,,,,,,,,
14015599,away,5144,FK Javor Ivanjica,1468253,Đorđe Skoko,dorde-skoko,D,26,False,50.0,43.0,6.0,,0.0,37.0,37.0,13.0,3.0,,,,90.0,57.0,6.5,9.0,145.800610195,25.0,51.617312138504,0.0,,"{'original': 6.5, 'alternative': 6.6}",0,0.04,0.08,-0.11,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,2,0,86.0,,,100.0,,6.0,,,,,,2.0,1.0,1.0,2.0,,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,,,
