match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,punches,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,progressiveBallCarriesCount,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,aerialLost,duelLost,duelWon,dispossessed,bigChanceCreated,interceptionWon,totalTackle,unsuccessfulTouch,fouls,bestBallCarryProgression,totalProgressiveBallCarriesDistance,keyPass,aerialWon,blockedScoringAttempt,outfielderBlock,wonTackle,shotValueNormalized,totalContest,wonContest,shotOffTarget,wasFouled,challengeLost,bigChanceMissed,totalOffside,onTargetScoringAttempt,goodHighClaim,hitWoodwork
14015594,home,263738,OFK Beograd,1894096,Vasilije Grbović,vasilije-grbovic,F,19,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015594,home,5153,OFK Beograd,1087489,Uroš Kabić,uros-kabic,F,17,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015594,home,5153,OFK Beograd,939791,Nedeljko Stojišić,nedeljko-stojisic,G,97,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015594,away,282203,FK Železničar Pančevo,267437,Zoran Popović,zoran-popovic,G,1,False,33.0,11.0,25.0,4.0,0.0,9.0,13.0,2.0,20.0,,7.0,1.0,1.0,,,,90.0,38.0,6.4,23.0,56.620278451466,8.0,2.6462921358715,0.0,0.0644,"{'original': 6.4, 'alternative': 6.7}",0,0.07,0.0,-0.01,0.08,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,33.33333333333333,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
14015594,away,282203,FK Železničar Pančevo,1429959,Uroš Tegeltija,uros-tegeltija,D,19,False,32.0,27.0,4.0,2.0,0.0,20.0,21.0,7.0,11.0,2.0,8.0,,,,,,90.0,63.0,7.4,12.0,93.256063022691,10.0,-14.414108196063,0.0,,"{'original': 7.4, 'alternative': 7.4}",0,0.2,-0.42,0.17,,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,2,12,8,4,84.375,50.0,50.0,60.0,,2.0,1.0,1.0,5.0,9.0,,,2.0,3.0,,1.0,,,,1.0,,,3.0,,5.0,3.0,,2.0,1.0,,,,,
14015594,away,282203,FK Železničar Pančevo,1001880,Mirko Milikić,mirko-milikic,D,6,False,59.0,42.0,12.0,4.0,0.0,31.0,33.0,11.0,26.0,5.0,3.0,,,,,,90.0,72.0,7.1,17.0,69.732407395413,13.0,-30.784612017303,0.0,,"{'original': 7.1, 'alternative': 7.3}",0,0.28,0.0,0.26,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,6,2,2,0,71.1864406779661,33.33333333333333,,,,,,3.0,3.0,5.0,,,2.0,2.0,,,,,1.0,3.0,,,1.0,,,,,,,,,,,
14015594,away,282203,FK Železničar Pančevo,1146281,Nemanja Vidojević,nemanja-vidojevic,D,5,False,59.0,47.0,10.0,3.0,0.0,33.0,36.0,14.0,23.0,4.0,7.0,,,,,,90.0,70.0,7.1,12.0,125.4860437628,20.0,14.11449627557,0.0,,"{'original': 7.1, 'alternative': 7.3}",0,0.13,0.04,0.19,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,4,4,4,0,79.66101694915254,30.0,,,,,,1.0,1.0,7.0,,,1.0,4.0,,,,,,3.0,,,1.0,,,,,,,,,,,
14015594,away,282203,FK Železničar Pančevo,1017661,Marko Konatar,marko-konatar,D,3,False,40.0,29.0,3.0,,0.0,20.0,24.0,9.0,16.0,4.0,4.0,,,,,,90.0,64.0,7.6,13.0,117.97898272833,10.0,48.957474292341,1.0,,"{'original': 7.6, 'alternative': 7.8}",0,0.08,0.07,0.24,,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,4,8,7,1,72.5,,,100.0,,1.0,,,1.0,11.0,,,1.0,4.0,,,49.982946993863,52.389460781726,2.0,4.0,,,3.0,,3.0,3.0,,,1.0,,,,,
14015594,away,282203,FK Železničar Pančevo,1146227,Stefan Pirgić,stefan-pirgic,M,18,False,49.0,33.0,8.0,2.0,0.0,22.0,25.0,11.0,24.0,2.0,5.0,,,,,,90.0,58.0,7.0,18.0,90.345981199128,10.0,32.902132231391,1.0,,"{'original': 7, 'alternative': 7}",1,-0.05,0.25,0.19,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,1,3,3,0,67.3469387755102,25.0,,100.0,,1.0,,,,4.0,,,1.0,1.0,1.0,,18.808176912802,20.274239048605,,1.0,,,,0.12,1.0,1.0,,1.0,,,,1.0,,
14015594,away,282203,FK Železničar Pančevo,2239937,Simão Pedro,simao-pedro,M,10,False,12.0,8.0,1.0,1.0,0.0,2.0,2.0,6.0,10.0,,3.0,,,,,,90.0,37.0,6.9,15.0,175.70409986415,14.0,82.819104153398,3.0,,"{'original': 6.9, 'alternative': 6.8}",4,-0.11,0.43,-0.05,,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,5,7,3,4,66.66666666666666,100.0,,,,2.0,,4.0,8.0,4.0,1.0,,1.0,,5.0,,24.615491218483,48.402938630321,,1.0,,,,-0.6,2.0,,1.0,3.0,1.0,1.0,,3.0,,
14015594,away,282203,FK Železničar Pančevo,1513253,Clement Lhernault,clement-lhernault,M,88,False,28.0,23.0,3.0,2.0,0.0,12.0,13.0,11.0,15.0,1.0,4.0,,,,,,67.0,38.0,6.7,8.0,140.76628706296,16.0,53.413685102086,2.0,,"{'original': 6.7, 'alternative': 6.7}",1,-0.01,0.32,0.21,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,1,4,1,3,82.14285714285714,66.66666666666666,,,,,,1.0,4.0,1.0,1.0,,,1.0,,,24.736310012023,46.746051975328,2.0,,1.0,,,0.01,2.0,,,,,,,,,
14015594,away,282203,FK Železničar Pančevo,1007254,Branislav Knežević,branislav-knezevic,M,21,False,17.0,12.0,2.0,,0.0,7.0,7.0,5.0,10.0,2.0,4.0,,,,,,90.0,30.0,6.4,11.0,54.495422768578,7.0,12.366264445743,1.0,,"{'original': 6.4, 'alternative': 6.8}",0,0.02,-0.09,-0.02,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,0,9,2,7,70.58823529411765,,,,,1.0,,,7.0,2.0,1.0,1.0,1.0,2.0,4.0,5.0,20.97327756024,24.56589198462,1.0,,,,1.0,,,,,,1.0,,,,,
