match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,aerialWon,duelWon,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,punches,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,bestBallCarryProgression,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,aerialLost,duelLost,challengeLost,interceptionWon,totalTackle,wonTackle,fouls,totalContest,wonContest,unsuccessfulTouch,wasFouled,outfielderBlock,shotOffTarget,keyPass,shotValueNormalized,dispossessed,onTargetScoringAttempt,accurateCross,bigChanceMissed,blockedScoringAttempt,totalOffside,hitWoodwork,goodHighClaim,bigChanceCreated
14015556,home,263360,FK TSC Bačka Topola,589100,Saša Jovanović,sasa-jovanovic,F,8,False,4.0,3.0,,,0.0,,,3.0,4.0,,,,,,,,,,67.0,7.0,6.5,2.0,12.764735270858,2.0,0.20999999999999,2.1,,"{'original': 6.5, 'alternative': 7}",1,0.18,0.05,0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,1,1,0,1,75.0,,,,,1.0,1.0,2.0,,,,,1.0,,,,,,,,0.01,,,,,1.0,2.0,,,
14015556,home,263360,FK TSC Bačka Topola,1586205,Bogdan Petrović,bogdan-petrovic,F,9,True,8.0,8.0,,,0.0,3.0,3.0,5.0,5.0,,,1.0,2.0,,,,,,30.0,22.0,6.0,9.0,92.933904880821,5.0,71.61,30.555,,"{'original': 6, 'alternative': 6.3}",1,-0.29,0.17,0.19,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,2,4,0,4,100.0,,,,,,2.0,6.0,,,,,,1.0,,5.0,,,,,-0.24,3.0,,,,1.0,,,,
14015556,home,263360,FK TSC Bačka Topola,947036,Szabolcs Mezei,szabolcs-mezei,M,26,True,12.0,8.0,1.0,,0.0,2.0,3.0,6.0,9.0,,,,5.0,,,,,,29.0,20.0,6.7,9.0,74.839961800919,4.0,59.115,29.4,,"{'original': 6.7, 'alternative': 6.7}",1,0.27,0.15,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,0,3,0,3,66.66666666666666,,50.0,,,2.0,,3.0,,,,,1.0,,,1.0,,,1.0,2.0,0.0,2.0,,1.0,,,,1.0,,
14015556,home,7568,FK TSC Bačka Topola,822743,Sarpreet Singh,sarpreet-singh,M,11,True,9.0,8.0,,,0.0,4.0,4.0,4.0,5.0,,,2.0,1.0,,,,,,23.0,16.0,6.6,5.0,33.472684884349,5.0,6.93,5.145,,"{'original': 6.6, 'alternative': 6.6}",0,-0.04,0.05,0.26,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,2,3,0,3,88.88888888888889,,,,,2.0,2.0,5.0,,,,,1.0,,,,,,,1.0,,2.0,,,,,1.0,,,
14015556,home,263360,FK TSC Bačka Topola,220231,Branko Jovičić,branko-jovicic,M,18,True,21.0,19.0,1.0,1.0,0.0,12.0,14.0,7.0,7.0,1.0,2.0,1.0,6.0,,,,,,22.0,26.0,6.6,3.0,10.219847797301,1.0,7.245,7.245,,"{'original': 6.6, 'alternative': 6.6}",1,0.07,0.05,0.24,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,1,4,1,3,90.47619047619048,100.0,,,,,,3.0,,,1.0,,2.0,,,,,,,,-0.27,1.0,1.0,,,,,,,
14015556,home,263360,FK TSC Bačka Topola,1102967,Vukašin Krstić,vukasin-krstic,D,4,True,,,,,0.0,,,,,,,,,,,,,,1.0,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,1,0,0,0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
14015556,home,263360,FK TSC Bačka Topola,1893370,Ilja Pantelin,ilja-pantelin,G,19,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015556,home,382024,FK TSC Bačka Topola,851599,Tyrone Conraad,tyrone-conraad,F,77,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015556,home,263360,FK TSC Bačka Topola,1146245,Mihajlo Milosavić,mihajlo-milosavic,M,17,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015556,home,263360,FK TSC Bačka Topola,2035083,Stefan Tomović,stefan-tomovic,M,42,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
