minute,value
1.0,-6
2.0,-10
3.0,-12
4.0,-26
5.0,-21
6.0,-31
7.0,-27
8.0,-25
9.0,-45
10.0,-19
11.0,-15
12.0,-28
13.0,-22
14.0,-38
15.0,-38
16.0,-54
17.0,-47
18.0,-63
19.0,-86
20.0,-44
21.0,-2
22.0,-2
23.0,36
24.0,8
25.0,3
26.0,-6
27.0,-16
28.0,-29
29.0,-14
30.0,-6
31.0,-10
32.0,-2
33.0,-18
34.0,-4
35.0,-11
36.0,-8
37.0,-29
38.0,-71
39.0,-45
40.0,-54
41.0,-60
42.0,-40
43.0,-22
44.0,-10
45.0,23
45.5,-22
46.0,-2
47.0,-32
48.0,-30
49.0,-20
50.0,19
51.0,14
52.0,18
53.0,5
54.0,-19
55.0,-3
56.0,-70
57.0,-79
58.0,-69
59.0,-41
60.0,-37
61.0,-22
62.0,-12
63.0,9
64.0,5
65.0,-6
66.0,-1
67.0,-9
68.0,-30
69.0,-24
70.0,-41
71.0,-19
72.0,-4
73.0,-4
74.0,-28
75.0,-25
76.0,-31
77.0,-43
78.0,-31
79.0,-72
80.0,-71
81.0,-47
82.0,-78
83.0,-61
84.0,-49
85.0,-32
86.0,-21
87.0,42
88.0,35
89.0,24
90.0,-25
90.5,4
