minute,value
0.0,0
1.0,-2
2.0,-44
3.0,-27
4.0,-14
5.0,62
6.0,61
7.0,77
8.0,58
9.0,36
10.0,47
11.0,27
12.0,19
13.0,41
14.0,85
15.0,100
16.0,86
17.0,100
18.0,57
19.0,-75
20.0,-33
21.0,-19
22.0,-15
23.0,-3
24.0,11
25.0,3
26.0,8
27.0,12
28.0,8
29.0,56
30.0,46
31.0,34
32.0,66
33.0,66
34.0,38
35.0,63
36.0,34
37.0,54
38.0,52
39.0,100
40.0,100
41.0,89
42.0,62
43.0,37
44.0,24
45.0,12
45.5,10
46.0,2
47.0,73
48.0,16
49.0,16
50.0,-49
51.0,-22
52.0,57
53.0,78
54.0,48
55.0,34
56.0,57
57.0,72
58.0,100
59.0,100
60.0,43
61.0,-34
62.0,-14
63.0,-18
64.0,-7
65.0,-1
66.0,-4
67.0,-49
68.0,-3
69.0,7
70.0,10
71.0,98
72.0,69
73.0,-49
74.0,-5
75.0,27
76.0,14
77.0,-9
78.0,9
79.0,7
80.0,34
81.0,96
82.0,5
83.0,-49
84.0,-27
85.0,-22
86.0,-23
87.0,-8
88.0,42
89.0,27
