match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,interceptionWon,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,keyPass,bigChanceMissed,dispossessed,shotOffTarget,blockedScoringAttempt,hitWoodwork,penaltyWon,savedShotsFromInsideTheBox,bigChanceCreated
14147375,home,6224,FK Sutjeska Nikšić,57363,Vladan Giljen,vladan-giljen,G,1,False,12.0,8.0,11.0,7.0,0.0,1.0,1.0,6.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,90.0,14.0,6.5,3.0,0.0,0.0,"{'original': 6.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,1,0,66.66666666666666,63.63636363636363,,,,,,,,,,,,
14147375,home,6224,FK Sutjeska Nikšić,1030493,Aleksa Golubović,aleksa-golubovic,D,2,False,36.0,29.0,7.0,4.0,0.0,5.0,6.0,24.0,30.0,4.0,3.0,0.0,3.0,7.0,5.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,90.0,46.0,8.2,9.0,0.17,0.3,"{'original': 8.2, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,3,9,2,7,80.55555555555556,57.14285714285714,75.0,100.0,,2.0,,,,,,,,
14147375,home,6224,FK Sutjeska Nikšić,138937,Boris Kopitović,boris-kopitovic,D,15,False,41.0,35.0,6.0,1.0,0.0,23.0,23.0,10.0,16.0,0.0,0.0,1.0,1.0,4.0,3.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,,,,,,86.0,47.0,7.1,9.0,1.28,0.0,"{'original': 7.1, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,2,5,2,3,85.36585365853658,16.666666666666664,,,,,1.0,,,,,,,
14147375,home,6224,FK Sutjeska Nikšić,1423507,Bojan Damjanović,bojan-damjanovic,D,91,False,34.0,34.0,4.0,4.0,0.0,21.0,21.0,13.0,13.0,0.0,0.0,1.0,3.0,8.0,6.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,12.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,90.0,44.0,6.8,2.0,0.0,0.0,"{'original': 6.8, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,4,10,3,7,100.0,100.0,,,,,,1.0,,,,,,
14147375,home,6224,FK Sutjeska Nikšić,1000770,Andrija Ražnatović,andrija-raznatovic,D,22,False,49.0,31.0,14.0,6.0,0.0,8.0,11.0,22.0,37.0,5.0,1.0,0.0,0.0,5.0,6.0,0.0,4.0,4.0,2.0,0.0,2.0,0.0,1.0,12.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,,,90.0,66.0,7.4,15.0,0.61,0.35,"{'original': 7.4, 'alternative': None}",4.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,0,11,6,5,63.26530612244898,42.857142857142854,20.0,100.0,,1.0,1.0,,1.0,1.0,,,,
14147375,home,6224,FK Sutjeska Nikšić,1479109,Marko Simun,marko-simun,M,19,False,53.0,35.0,14.0,4.0,0.0,10.0,11.0,23.0,39.0,1.0,0.0,4.0,2.0,17.0,13.0,0.0,4.0,4.0,0.0,0.0,1.0,0.0,3.0,13.0,1.0,0.0,0.0,0.0,2.0,2.0,3.0,0.0,,,,,,87.0,81.0,7.6,26.0,0.37,0.99,"{'original': 7.6, 'alternative': None}",3.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",30,6,24,11,13,66.0377358490566,28.57142857142857,0.0,100.0,,3.0,1.0,,2.0,1.0,1.0,,,
14147375,home,6224,FK Sutjeska Nikšić,836566,Aleksandar Šćekić,aleksandar-scekic,M,55,False,52.0,43.0,6.0,2.0,0.0,14.0,15.0,28.0,36.0,1.0,1.0,3.0,1.0,7.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,23.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,,,,,,90.0,67.0,6.9,14.0,0.53,0.0,"{'original': 6.9, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,4,5,1,4,82.6923076923077,33.33333333333333,100.0,,,1.0,1.0,1.0,2.0,,,,,
14147375,home,6224,FK Sutjeska Nikšić,1896811,Medo Juković,medo-jukovic,M,88,False,34.0,22.0,6.0,1.0,0.0,3.0,4.0,18.0,29.0,4.0,2.0,1.0,0.0,12.0,15.0,1.0,7.0,6.0,1.0,1.0,0.0,0.0,1.0,10.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,90.0,63.0,8.3,18.0,0.54,0.19,"{'original': 8.3, 'alternative': None}",4.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",27,1,26,15,11,64.70588235294117,16.666666666666664,50.0,85.71428571428571,,2.0,,,1.0,2.0,,,,
14147375,home,5160,FK Sutjeska Nikšić,795912,Aleksandar Desančić,aleksandar-desancic,M,3,False,36.0,29.0,1.0,0.0,0.0,9.0,9.0,20.0,27.0,2.0,0.0,2.0,0.0,5.0,5.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,,,,,,63.0,54.0,7.0,9.0,0.68,0.12,"{'original': 7, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,2,8,5,3,80.55555555555556,0.0,0.0,100.0,,2.0,1.0,1.0,,1.0,,,,
14147375,home,6224,FK Sutjeska Nikšić,172957,Vasko Kalezić,vasko-kalezic,M,70,False,20.0,12.0,3.0,1.0,1.0,1.0,3.0,11.0,17.0,5.0,3.0,1.0,0.0,7.0,5.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,,,,,,63.0,34.0,7.3,10.0,0.25,0.51,"{'original': 7.3, 'alternative': None}",3.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,1,11,5,6,60.0,33.33333333333333,60.0,100.0,,4.0,,1.0,1.0,2.0,,,,
