player,isHome,shotType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,id,time,addedTime,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,goalType,blockCoordinates
"{'name': 'Evgen Pavlov', 'firstName': '', 'lastName': '', 'slug': 'evgen-pavlov', 'shortName': 'E. Pavlov', 'position': 'F', 'jerseyNumber': '17', 'userCount': 27, 'gender': 'M', 'id': 72116, 'fieldTranslations': {'nameTranslation': {'ar': 'يفغين بافلوف'}, 'shortNameTranslation': {'ar': 'ي. بافلوف'}}}",True,miss,assisted,"{'x': 8.6, 'y': 61, 'z': 0}",head,close-right,"{'x': 0, 'y': 42.5, 'z': 34.7}",5388651,90,2.0,5515,"{'start': {'x': 61, 'y': 8.6}, 'end': {'x': 57.5, 'y': 0}, 'goal': {'x': 57.5, 'y': 65.3}}",1,785,115,shot,,
"{'name': 'Slobodan Tedić', 'slug': 'slobodan-tedic', 'shortName': 'S. Tedić', 'position': 'F', 'jerseyNumber': '9', 'userCount': 284, 'gender': 'M', 'id': 905103, 'fieldTranslations': {'nameTranslation': {'ar': 'سلوبودان تيديتش', 'bn': 'স্লোবোডান টেডিক', 'hi': 'स्लोबोदान टेडिच'}, 'shortNameTranslation': {'ar': 'س. تيديتش', 'bn': 'এস. টেডিক', 'hi': 'एस. टेडिच'}}}",False,goal,assisted,"{'x': 11.1, 'y': 57.3, 'z': 0}",head,high-right,"{'x': 0, 'y': 46.8, 'z': 21.5}",5388644,90,2.0,5462,"{'start': {'x': 57.3, 'y': 11.1}, 'end': {'x': 53.2, 'y': 0}, 'goal': {'x': 53.2, 'y': 78.5}}",1,838,62,shot,regular,
"{'name': 'Evgen Pavlov', 'firstName': '', 'lastName': '', 'slug': 'evgen-pavlov', 'shortName': 'E. Pavlov', 'position': 'F', 'jerseyNumber': '17', 'userCount': 27, 'gender': 'M', 'id': 72116, 'fieldTranslations': {'nameTranslation': {'ar': 'يفغين بافلوف'}, 'shortNameTranslation': {'ar': 'ي. بافلوف'}}}",True,goal,set-piece,"{'x': 6.3, 'y': 49.4, 'z': 0}",right-foot,low-left,"{'x': 0, 'y': 53.9, 'z': 16.5}",5388622,88,,5274,"{'start': {'x': 49.4, 'y': 6.3}, 'end': {'x': 46.1, 'y': 0}, 'goal': {'x': 46.1, 'y': 83.5}}",3,126,2574,shot,regular,
"{'name': 'Douglas Owusu', 'firstName': 'Owusu', 'lastName': 'Douglas', 'slug': 'owusu-douglas', 'shortName': 'O. Douglas', 'position': 'M', 'jerseyNumber': '35', 'userCount': 634, 'gender': 'M', 'id': 1916326, 'fieldTranslations': {'nameTranslation': {'ar': 'أووسو دوغلاس'}, 'shortNameTranslation': {'ar': 'أ. دوغلاس'}}}",True,block,set-piece,"{'x': 16, 'y': 55.8, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 49, 'z': 19}",5388637,88,,5265,"{'start': {'x': 55.8, 'y': 16}, 'block': {'x': 53.6, 'y': 8.8}, 'end': {'x': 51, 'y': 0}, 'goal': {'x': 51, 'y': 81}}",3,135,2565,shot,,"{'x': 8.8, 'y': 53.6, 'z': 0}"
"{'name': 'Paul Mbong', 'firstName': '', 'lastName': '', 'slug': 'paul-mbong', 'shortName': 'P. Mbong', 'position': 'F', 'jerseyNumber': '88', 'userCount': 119, 'gender': 'M', 'id': 947437, 'fieldTranslations': {'nameTranslation': {'ar': 'بول مبونج', 'bn': 'পল এমবং', 'hi': 'पॉल मबोंग'}, 'shortNameTranslation': {'ar': 'ب. مبونج', 'bn': 'পি. এমবং', 'hi': 'पी. मबोंग'}}}",False,block,assisted,"{'x': 18.9, 'y': 37, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 49.5, 'z': 19}",5388618,87,,5167,"{'start': {'x': 37, 'y': 18.9}, 'block': {'x': 44.2, 'y': 8.8}, 'end': {'x': 50.5, 'y': 0}, 'goal': {'x': 50.5, 'y': 81}}",4,233,2467,shot,,"{'x': 8.8, 'y': 44.2, 'z': 0}"
"{'name': 'Luka Puzovic', 'firstName': 'Luka Puzovic', 'lastName': '', 'slug': 'luka-puzovic', 'shortName': 'L. Puzovic', 'position': 'M', 'jerseyNumber': '8', 'userCount': 11, 'gender': 'M', 'id': 1166090, 'fieldTranslations': {'nameTranslation': {'ar': 'لوكا بوزوفيتش'}, 'shortNameTranslation': {'ar': 'ل. بوزوفيتش'}}}",True,save,assisted,"{'x': 7.7, 'y': 29.5, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 49.4, 'z': 14.6}",5388617,83,,4939,"{'start': {'x': 29.5, 'y': 7.7}, 'block': {'x': 47.7, 'y': 0.59999999999999}, 'end': {'x': 50.6, 'y': 0}, 'goal': {'x': 50.6, 'y': 85.4}}",8,461,2239,shot,,"{'x': 0.59999999999999, 'y': 47.7, 'z': 0}"
"{'name': 'Uroš Miladinović', 'firstName': 'Uros Miladinovic', 'lastName': '', 'slug': 'uros-miladinovic', 'shortName': 'U. Miladinović', 'position': 'M', 'jerseyNumber': '90', 'userCount': 84, 'gender': 'M', 'id': 1165971, 'fieldTranslations': {'nameTranslation': {'ar': 'أوروش ميلادينوفيتش'}, 'shortNameTranslation': {'ar': 'أ. ميلادينوفيتش'}}}",False,block,regular,"{'x': 5.2, 'y': 41.3, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 51.3, 'z': 19}",5388563,79,,4692,"{'start': {'x': 41.3, 'y': 5.2}, 'block': {'x': 44.4, 'y': 4.1}, 'end': {'x': 48.7, 'y': 0}, 'goal': {'x': 48.7, 'y': 81}}",12,708,1992,shot,,"{'x': 4.1, 'y': 44.4, 'z': 0}"
"{'name': 'Mlađan Stevanović', 'slug': 'mladjan-stevanovic', 'shortName': 'M. Stevanović', 'position': 'M', 'jerseyNumber': '24', 'userCount': 7, 'gender': 'M', 'id': 938002, 'fieldTranslations': {'nameTranslation': {'ar': 'ملادجان ستيفانوفيتش'}, 'shortNameTranslation': {'ar': 'م. ستيفانوفيتش'}}}",True,block,assisted,"{'x': 28.7, 'y': 48.5, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50.3, 'z': 19}",5388546,76,,4520,"{'start': {'x': 48.5, 'y': 28.7}, 'block': {'x': 48.9, 'y': 18.8}, 'end': {'x': 49.7, 'y': 0}, 'goal': {'x': 49.7, 'y': 81}}",15,880,1820,shot,,"{'x': 18.8, 'y': 48.9, 'z': 0}"
"{'name': 'Uroš Miladinović', 'firstName': 'Uros Miladinovic', 'lastName': '', 'slug': 'uros-miladinovic', 'shortName': 'U. Miladinović', 'position': 'M', 'jerseyNumber': '90', 'userCount': 84, 'gender': 'M', 'id': 1165971, 'fieldTranslations': {'nameTranslation': {'ar': 'أوروش ميلادينوفيتش'}, 'shortNameTranslation': {'ar': 'أ. ميلادينوفيتش'}}}",False,miss,set-piece,"{'x': 3.6, 'y': 40.1, 'z': 0}",left-foot,close-left,"{'x': 0, 'y': 58, 'z': 19.4}",5388525,74,,4382,"{'start': {'x': 40.1, 'y': 3.6}, 'end': {'x': 42, 'y': 0}, 'goal': {'x': 42, 'y': 80.6}}",17,1018,1682,shot,,
"{'name': 'Sambou Sissoko', 'slug': 'sambou-sissoko', 'shortName': 'S. Sissoko', 'position': 'M', 'jerseyNumber': '14', 'userCount': 145, 'gender': 'M', 'id': 1008225, 'fieldTranslations': {'nameTranslation': {'ar': 'سامبو سيسوكو', 'bn': 'সাম্বু সিসোকো', 'hi': 'संबोउ सिसोको'}, 'shortNameTranslation': {'ar': 'س. سيسوكو', 'bn': 'এস. সিসোকো', 'hi': 'एस. सिसोको'}}}",False,miss,regular,"{'x': 18.4, 'y': 48.5, 'z': 0}",left-foot,high-left,"{'x': 0, 'y': 62.4, 'z': 58.3}",5388492,72,,4296,"{'start': {'x': 48.5, 'y': 18.4}, 'end': {'x': 37.6, 'y': 0}, 'goal': {'x': 37.6, 'y': 41.7}}",19,1104,1596,shot,,
