match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,savedShotsFromInsideTheBox,penaltyFaced,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,bigChanceCreated,onTargetScoringAttempt,goals,outfielderBlock,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,penaltyConceded,wasFouled,fouls,keyPass,shotValueNormalized,dribbleValueNormalized,errorLeadToAShot,shotOffTarget,totalContest,wonContest,dispossessed,accurateCross,blockedScoringAttempt,goodHighClaim,totalKeeperSweeper,accurateKeeperSweeper,bigChanceMissed,penaltyWon,hitWoodwork,totalOffside
14015411,home,5144,FK Javor Ivanjica,834186,Nikola Vasiljević,nikola-vasiljevic,G,1,False,28.0,10.0,22.0,4.0,0.0,6.0,8.0,4.0,20.0,1.0,8.0,4.0,1.0,6.0,1.0,90.0,38.0,7.2,18.0,0.6821,"{'original': 7.2, 'alternative': 7.6}",0,0.05,-0.12,0.53,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,35.714285714285715,18.181818181818183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015411,home,5144,FK Javor Ivanjica,981518,Marko Bjeković,marko-bjekovic,D,13,False,21.0,14.0,5.0,,1.0,4.0,6.0,10.0,15.0,5.0,6.0,,,,,90.0,47.0,8.4,11.0,,"{'original': 8.4, 'alternative': 8.2}",1,0.38,-0.55,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,2,6,4,2,66.66666666666666,,,,,1.0,1.0,1.0,3.0,5.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,0.52,0.3,,,,,,,,,,,,,,
14015411,home,5144,FK Javor Ivanjica,1500275,Petar Petrović,petar-petrovic,D,21,False,16.0,7.0,6.0,1.0,0.0,5.0,7.0,2.0,9.0,8.0,2.0,,,,,90.0,33.0,6.6,9.0,,"{'original': 6.6, 'alternative': 6.9}",0,0.05,-0.25,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,2,7,5,2,43.75,16.666666666666664,,,,,1.0,1.0,3.0,6.0,1.0,,,,1.0,2.0,4.0,3.0,,,1.0,1.0,,,0.1,1.0,,,,,,,,,,,,,
14015411,home,5144,FK Javor Ivanjica,1392891,Nemanja Đokić,nemanja-dokic,D,5,False,18.0,13.0,10.0,5.0,0.0,7.0,8.0,6.0,10.0,4.0,,,,,,82.0,28.0,6.9,6.0,,"{'original': 6.9, 'alternative': 6.9}",0,0.12,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,0,3,2,1,72.22222222222221,50.0,,,,1.0,,,1.0,2.0,,,,,2.0,1.0,2.0,1.0,,,,1.0,1.0,,-0.08,,,,,,,,,,,,,,
14015411,home,5144,FK Javor Ivanjica,1468253,Đorđe Skoko,dorde-skoko,D,26,False,7.0,7.0,2.0,2.0,0.0,4.0,4.0,3.0,3.0,10.0,4.0,,,,,90.0,24.0,6.9,1.0,,"{'original': 6.9, 'alternative': 6.9}",0,0.06,0.22,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,1,5,3,2,100.0,100.0,,,,,1.0,,3.0,3.0,1.0,,,,2.0,,3.0,2.0,1.0,,,1.0,,,0.02,,,,,,,,,,,,,,
14015411,home,5144,FK Javor Ivanjica,943573,Stefan Vilotic,stefan-vilotic,D,3,False,16.0,6.0,4.0,,0.0,4.0,8.0,2.0,8.0,5.0,1.0,,,,,90.0,36.0,6.1,16.0,,"{'original': 6.1, 'alternative': 6.9}",1,-0.05,-0.2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,4,6,2,4,37.5,,,,,1.0,1.0,3.0,5.0,5.0,1.0,,,,2.0,3.0,1.0,1.0,1.0,,1.0,3.0,,-0.48,0.13,,1.0,,,,,,,,,,,,
14015411,home,5144,FK Javor Ivanjica,1047458,Mateja Zuvić,mateja-zuvic,M,32,False,11.0,5.0,3.0,,0.0,5.0,6.0,,5.0,2.0,3.0,,,,,55.0,22.0,6.9,8.0,,"{'original': 6.9, 'alternative': 6.9}",0,-0.19,0.18,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,1,8,7,1,45.45454545454545,,,75.0,,,1.0,,2.0,7.0,,,,,,,2.0,2.0,1.0,,2.0,,,,0.11,,,4.0,3.0,,,,,,,,,,
14015411,home,5144,FK Javor Ivanjica,986764,Boubacari Doucoure,boubacari-doucoure,M,19,False,14.0,10.0,2.0,,0.0,8.0,8.0,2.0,6.0,1.0,7.0,,,,,82.0,24.0,6.3,7.0,,"{'original': 6.3, 'alternative': 6.5}",0,-0.08,-0.06,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,1,7,3,4,71.42857142857143,,,,,,1.0,,5.0,3.0,2.0,,,,,,3.0,2.0,2.0,,,1.0,,,0.15,,,,,1.0,,,,,,,,,
14015411,home,5144,FK Javor Ivanjica,1435246,Mamane Amadou Sabo,mamane-amadou-sabo,M,6,False,19.0,15.0,3.0,2.0,1.0,10.0,10.0,5.0,9.0,1.0,3.0,,,,,90.0,31.0,6.5,5.0,,"{'original': 6.5, 'alternative': 6.5}",0,0.61,-0.06,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,3,4,1,3,78.94736842105263,66.66666666666666,100.0,,,1.0,2.0,1.0,5.0,2.0,1.0,,,,,3.0,1.0,1.0,,,,1.0,1.0,,-0.06,,,1.0,,,1.0,,,,,,,,
14015411,home,5144,FK Javor Ivanjica,1398997,Ognjen Krsmanović,ognjen-krsmanovic,F,22,False,5.0,3.0,,,0.0,2.0,2.0,1.0,3.0,,1.0,,,,,72.0,12.0,6.0,5.0,,"{'original': 6, 'alternative': 6.3}",0,-0.07,-0.05,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,6,4,1,3,60.0,,,,,,6.0,,9.0,1.0,,,,,,,,,2.0,,1.0,2.0,,,0.07,,,,,1.0,,,,,,,,,
