match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,interceptionWon,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,shotOffTarget,keyPass,dispossessed,blockedScoringAttempt,bigChanceCreated,bigChanceMissed
14147338,home,5143,FK Budućnost Podgorica,287757,Milan Vušurović,milan-vusurovic,M,17,True,17.0,13.0,0.0,0.0,0.0,5.0,5.0,8.0,11.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,19.0,22.0,6.8,6.0,0.07,0.0,"{'original': 6.8, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,1,3,1,2,76.47058823529412,,100.0,100.0,,,,,,,
14147338,home,5143,FK Budućnost Podgorica,808561,Ljubomir Đurović,ljubomir-djurovic,G,31,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,
14147338,home,5143,FK Budućnost Podgorica,1085082,Damjan Dakić,damjan-dakic,D,35,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,
14147338,home,241802,FK Budućnost Podgorica,57537,Vladan Adžić,vladan-adzic,D,33,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,
14147338,home,241802,FK Budućnost Podgorica,843228,Leonel Strumia,leonel-strumia,M,92,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,
14147338,home,7727,FK Budućnost Podgorica,57729,Luka Mirković,luka-mirkovic,M,8,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,
14147338,away,6216,OFK Petrovac,188987,Marko Kordić,marko-kordic,G,25,False,38.0,33.0,17.0,12.0,0.0,23.0,25.0,7.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,90.0,42.0,7.8,8.0,0.0,0.0,"{'original': 7.8, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,86.8421052631579,70.58823529411765,,,,,,,,,
14147338,away,36019,OFK Petrovac,1214474,Nikola Vuković,nikola-vukovic,D,11,False,33.0,22.0,5.0,3.0,0.0,14.0,17.0,7.0,13.0,1.0,0.0,0.0,0.0,11.0,3.0,4.0,3.0,1.0,0.0,0.0,6.0,0.0,3.0,9.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,,,,,,,90.0,52.0,6.5,13.0,0.0,0.0,"{'original': 6.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,0,14,3,11,66.66666666666666,60.0,0.0,33.33333333333333,,,,,,,
14147338,away,6216,OFK Petrovac,1484679,Marko Franeta,marko-franeta,D,13,False,41.0,32.0,5.0,1.0,0.0,23.0,26.0,9.0,14.0,0.0,0.0,1.0,3.0,4.0,5.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,15.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,,,,,,,90.0,48.0,6.6,12.0,0.0,0.0,"{'original': 6.6, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,4,5,2,3,78.04878048780488,20.0,,,,,,,,,
14147338,away,6216,OFK Petrovac,986362,Marko Merdović,merdovic-marko,D,44,False,48.0,39.0,7.0,1.0,0.0,29.0,32.0,7.0,13.0,0.0,0.0,0.0,1.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,4.0,12.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,,,,,,,90.0,57.0,6.4,12.0,0.0,0.0,"{'original': 6.4, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,1,4,1,3,81.25,14.285714285714285,,,,,,,,,
14147338,away,6216,OFK Petrovac,57339,Dejan Boljević,dejan-boljevic,D,33,False,22.0,16.0,1.0,1.0,0.0,10.0,12.0,4.0,8.0,1.0,0.0,1.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,90.0,25.0,6.7,8.0,0.0,0.0,"{'original': 6.7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,3,3,0,3,72.72727272727273,100.0,0.0,,,,,,,,
