player,isHome,shotType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,id,time,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,blockCoordinates,goalType,addedTime
"{'name': 'Miloš Tošeski', 'firstName': '', 'lastName': '', 'slug': 'milos-toseski', 'shortName': 'M. Tošeski', 'position': 'M', 'jerseyNumber': '22', 'userCount': 29, 'gender': 'M', 'id': 943362, 'fieldTranslations': {'nameTranslation': {'ar': 'ميلوش توشيسكي'}, 'shortNameTranslation': {'ar': 'م. توشيسكي'}}}",False,miss,assisted,"{'x': 18.9, 'y': 37.4, 'z': 0}",right-foot,high-right,"{'x': 0, 'y': 38.8, 'z': 51.4}",5959221,88,5269,"{'start': {'x': 37.4, 'y': 18.9}, 'end': {'x': 61.2, 'y': 0}, 'goal': {'x': 61.2, 'y': 48.6}}",3,131,2569,shot,,,
"{'name': 'Saša Marković', 'firstName': '', 'lastName': '', 'slug': 'sasa-markovic', 'shortName': 'S. Marković', 'position': 'M', 'jerseyNumber': '10', 'userCount': 36, 'gender': 'M', 'id': 94538, 'fieldTranslations': {'nameTranslation': {'ar': 'ساشا ماركوفيتش', 'bn': 'সাসা মার্কোভিচ', 'hi': 'सासा मार्कोविच'}, 'shortNameTranslation': {'ar': 'س. ماركوفيتش', 'bn': 'এস. মার্কোভিচ', 'hi': 'एस. मार्कोविच'}}}",True,miss,corner,"{'x': 4.1, 'y': 49.8, 'z': 0}",head,left,"{'x': 0, 'y': 60.5, 'z': 5.6}",5959208,86,5125,"{'start': {'x': 49.8, 'y': 4.1}, 'end': {'x': 39.5, 'y': 0}, 'goal': {'x': 39.5, 'y': 94.4}}",5,275,2425,shot,,,
"{'name': 'Uroš Kabić', 'firstName': '', 'lastName': '', 'slug': 'uros-kabic', 'shortName': 'U. Kabić', 'position': 'M', 'jerseyNumber': '17', 'userCount': 254, 'gender': 'M', 'id': 1087489, 'fieldTranslations': {'nameTranslation': {'ar': 'أوروس كابيتش', 'bn': 'উরোস কাবিচ', 'hi': 'उरोस काबिक'}, 'shortNameTranslation': {'ar': 'أ. كابيتش', 'bn': 'ইউ. কাবিচ', 'hi': 'यू. काबिक'}}}",True,block,corner,"{'x': 9.4, 'y': 74.5, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 51.1, 'z': 15.3}",5959124,86,5124,"{'start': {'x': 74.5, 'y': 9.4}, 'block': {'x': 54.7, 'y': 2.8}, 'end': {'x': 48.9, 'y': 0}, 'goal': {'x': 48.9, 'y': 84.7}}",5,276,2424,shot,"{'x': 2.8, 'y': 54.7, 'z': 0}",,
"{'name': 'Đorđe Kotlajić', 'firstName': '', 'lastName': '', 'slug': 'dorde-kotlajic', 'shortName': 'Đ. Kotlajić', 'position': 'F', 'jerseyNumber': '3', 'userCount': 5, 'gender': 'M', 'id': 1130255, 'fieldTranslations': {'nameTranslation': {'ar': 'جورجي كوتلاييتش'}, 'shortNameTranslation': {'ar': 'ج. كوتلاييتش'}}}",False,miss,assisted,"{'x': 19.7, 'y': 66, 'z': 0}",right-foot,close-right,"{'x': 0, 'y': 42.9, 'z': 34.7}",5959109,84,5024,"{'start': {'x': 66, 'y': 19.7}, 'end': {'x': 57.1, 'y': 0}, 'goal': {'x': 57.1, 'y': 65.3}}",7,376,2324,shot,,,
"{'name': 'Nebojša Bastajić', 'firstName': '', 'lastName': '', 'slug': 'nebojsa-bastajic', 'shortName': 'N. Bastajić', 'position': 'M', 'jerseyNumber': '12', 'userCount': 31, 'gender': 'M', 'id': 267473, 'fieldTranslations': {'nameTranslation': {'ar': 'نيبويشا باستاجيتش'}, 'shortNameTranslation': {'ar': 'ن. باستاجيتش'}}}",False,miss,assisted,"{'x': 15.3, 'y': 29.4, 'z': 0}",right-foot,close-high-right,"{'x': 0, 'y': 42, 'z': 58.3}",5992214,76,4532,"{'start': {'x': 29.4, 'y': 15.3}, 'end': {'x': 58, 'y': 0}, 'goal': {'x': 58, 'y': 41.7}}",15,868,1832,shot,,,
"{'name': 'Hugo Alba', 'firstName': 'Hugo Alba', 'slug': 'hugo-alba', 'shortName': 'H. Alba', 'position': 'F', 'jerseyNumber': '24', 'userCount': 820, 'gender': 'M', 'id': 1544616, 'fieldTranslations': {'nameTranslation': {'ar': 'هوغو ألبا'}, 'shortNameTranslation': {'ar': 'ه. ألبا'}}}",True,goal,fast-break,"{'x': 8.5, 'y': 46.4, 'z': 0}",right-foot,high-right,"{'x': 0, 'y': 47.3, 'z': 20.3}",5958869,71,4232,"{'start': {'x': 46.4, 'y': 8.5}, 'end': {'x': 52.7, 'y': 0}, 'goal': {'x': 52.7, 'y': 79.7}}",20,1168,1532,shot,,regular,
"{'name': 'Jay Enem', 'slug': 'tyron-enem-jay-ifeanyi-junior', 'shortName': 'J. Enem', 'position': 'F', 'jerseyNumber': '42', 'userCount': 583, 'gender': 'M', 'id': 1937553, 'fieldTranslations': {'nameTranslation': {'ar': 'جاي إينيم'}, 'shortNameTranslation': {'ar': 'ج. إينيم'}}}",True,post,assisted,"{'x': 4.1, 'y': 55.3, 'z': 0}",right-foot,right,"{'x': 0, 'y': 44.5, 'z': 3.2}",5959264,71,4200,"{'start': {'x': 55.3, 'y': 4.1}, 'end': {'x': 55.5, 'y': 0}, 'goal': {'x': 55.5, 'y': 96.8}}",20,1200,1500,shot,,,
"{'name': 'Diogo Bezerra', 'firstName': 'Diogo Bezerra', 'lastName': '', 'slug': 'diogo-bezerra', 'shortName': 'D. Bezerra', 'position': 'M', 'jerseyNumber': '7', 'userCount': 184, 'gender': 'M', 'id': 1176881, 'fieldTranslations': {'nameTranslation': {'ar': 'دييغو بيزيرا'}, 'shortNameTranslation': {'ar': 'د. بيزيرا'}}}",True,miss,fast-break,"{'x': 8.4, 'y': 38, 'z': 0}",right-foot,right,"{'x': 0, 'y': 21.3, 'z': 19}",5959263,71,4200,"{'start': {'x': 38, 'y': 8.4}, 'block': {'x': 56, 'y': 2.4}, 'end': {'x': 78.7, 'y': 0}, 'goal': {'x': 78.7, 'y': 81}}",20,1200,1500,shot,"{'x': 2.4, 'y': 56, 'z': 0}",,
"{'name': 'Egor Prutsev', 'firstName': 'Egor Prutsev', 'lastName': '', 'slug': 'egor-prutsev', 'shortName': 'E. Prutsev', 'position': 'M', 'jerseyNumber': '11', 'userCount': 687, 'gender': 'M', 'id': 1068813, 'fieldTranslations': {'nameTranslation': {'ar': 'ييجور برتسيف'}, 'shortNameTranslation': {'ar': 'ي. برتسيف'}}}",True,save,assisted,"{'x': 8.6, 'y': 34.2, 'z': 0}",left-foot,high-centre,"{'x': 0, 'y': 51.6, 'z': 31}",5958758,67,3972,"{'start': {'x': 34.2, 'y': 8.6}, 'block': {'x': 47.7, 'y': 0.90000000000001}, 'end': {'x': 48.4, 'y': 0}, 'goal': {'x': 48.4, 'y': 69}}",24,1428,1272,shot,"{'x': 0.90000000000001, 'y': 47.7, 'z': 0}",,
"{'name': 'Miloš Tošeski', 'firstName': '', 'lastName': '', 'slug': 'milos-toseski', 'shortName': 'M. Tošeski', 'position': 'M', 'jerseyNumber': '22', 'userCount': 29, 'gender': 'M', 'id': 943362, 'fieldTranslations': {'nameTranslation': {'ar': 'ميلوش توشيسكي'}, 'shortNameTranslation': {'ar': 'م. توشيسكي'}}}",False,miss,regular,"{'x': 21.5, 'y': 50.1, 'z': 0}",left-foot,high,"{'x': 0, 'y': 47.6, 'z': 73.6}",5958744,65,3890,"{'start': {'x': 50.1, 'y': 21.5}, 'end': {'x': 52.4, 'y': 0}, 'goal': {'x': 52.4, 'y': 26.4}}",26,1510,1190,shot,,,
