match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,bigChanceCreated,ballRecovery,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,keyPass,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,aerialLost,aerialWon,duelLost,duelWon,shotOffTarget,totalClearance,interceptionWon,unsuccessfulTouch,wasFouled,fouls,shotValueNormalized,challengeLost,outfielderBlock,totalTackle,wonTackle,totalCross,totalContest,wonContest,onTargetScoringAttempt,goals,accurateCross,bigChanceMissed,totalOffside,blockedScoringAttempt,hitWoodwork,dispossessed
14015489,home,5153,OFK Beograd,1104741,Stefan Despotovski,stefan-despotovski,D,2,True,9.0,7.0,2.0,1.0,0.0,6.0,6.0,1.0,3.0,,1.0,,,16.0,9.0,6.6,2.0,,,"{'original': 6.6, 'alternative': 6.5}",0,-0.02,0.02,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,77.77777777777779,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015489,home,5153,OFK Beograd,1087489,Uroš Kabić,uros-kabic,F,17,True,2.0,,,,0.0,,,,2.0,1.0,,,,9.0,3.0,6.4,2.0,,1.0,"{'original': 6.4, 'alternative': 6.7}",1,-0.06,0.04,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,0,1,,,,,,,,1.0,,,,,,,1.0,-0.03,,,,,,,,,,,,,1.0,,
14015489,home,5153,OFK Beograd,94538,Saša Marković,sasa-markovic,M,10,True,5.0,5.0,,,0.0,1.0,1.0,4.0,4.0,,,,,9.0,7.0,6.6,,,,"{'original': 6.6, 'alternative': 6.6}",1,0.11,0.0,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,0,1,100.0,,,,,,,1.0,,1.0,,,,,1.0,-0.09,,,,,,,,,,,1.0,,,,
14015489,home,5153,OFK Beograd,939791,Nedeljko Stojišić,nedeljko-stojisic,G,97,True,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015489,home,5153,OFK Beograd,1939189,Mamadou Fall,moustapha-fall,D,26,True,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015489,home,5153,OFK Beograd,1146082,Aleksej Vukičević,aleksej-vukicevic,D,45,True,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015489,home,324661,OFK Beograd,77512,Stefan Šćepović,stefan-scepovic,F,12,True,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015489,home,5153,OFK Beograd,1982018,Issiaka Dembele,issiaka-dembele,M,25,True,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015489,home,5153,OFK Beograd,1104742,Uroš Lazić,uros-lazic,D,21,True,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015489,away,7674,FK Napredak Kruševac,1147879,Vladimir Savić,vladimir-savic,G,1,False,16.0,13.0,6.0,3.0,0.0,13.0,15.0,,1.0,,6.0,2.0,2.0,90.0,26.0,6.1,3.0,0.4762,,"{'original': 6.1, 'alternative': 6.4}",0,-0.01,-0.01,-0.4,0.33,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,81.25,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
