match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,duelWon,totalClearance,ballRecovery,totalTackle,wasFouled,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,aerialLost,duelLost,challengeLost,totalContest,wonContest,interceptionWon,unsuccessfulTouch,keyPass,aerialWon,outfielderBlock,wonTackle,fouls,bestBallCarryProgression,totalProgressiveBallCarriesDistance,progressiveBallCarriesCount,totalCross,dispossessed,blockedScoringAttempt,totalOffside,shotValueNormalized,accurateCross,bigChanceCreated,shotOffTarget,onTargetScoringAttempt,goals,totalKeeperSweeper,accurateKeeperSweeper,errorLeadToAGoal
14015567,home,43981,FK Radnički 1923,862199,Ester Sokler,sokler-ester,F,19,False,11.0,7.0,2.0,1.0,0.0,4.0,6.0,3.0,5.0,5.0,1.0,,1.0,2.0,,,87.0,22.0,7.6,7.0,36.738428016835,3.0,8.6627242376461,,"{'original': 7.6, 'alternative': 7.2}",2,0.09,0.04,0.17,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,3,6,3,3,63.63636363636363,50.0,,,,1.0,4.0,,,,,1.0,,2.0,,1.0,1.0,21.300219699036,22.959599844074,1.0,,2.0,1.0,,0.49,,,,1.0,1.0,,,
14015567,home,263765,FK Radnički 1923,1853855,Ibrahim Yusuf Omosanya,ibrahim-yusuf-omosanya,M,22,True,15.0,13.0,2.0,1.0,0.0,11.0,12.0,2.0,3.0,2.0,1.0,5.0,,,,,21.0,20.0,6.5,3.0,105.55001933314,8.0,11.814094571608,,"{'original': 6.5, 'alternative': 6.7}",0,-0.08,0.08,-0.03,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,1,4,2,2,86.66666666666667,50.0,,100.0,,1.0,3.0,1.0,2.0,2.0,1.0,1.0,,,,,1.0,20.762116057176,24.681773052194,1.0,,,,,,,,,,,,,
14015567,home,200776,FK Radnički 1923,1063157,Luka Stankovski,stankovski-luka,M,80,True,9.0,7.0,2.0,1.0,0.0,5.0,5.0,2.0,4.0,3.0,,2.0,1.0,,,,9.0,13.0,6.8,4.0,18.961074859027,2.0,18.435404076387,,"{'original': 6.8, 'alternative': 6.7}",0,0.01,0.16,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,1,4,2,2,77.77777777777779,50.0,,100.0,,,2.0,,1.0,1.0,,,,1.0,,1.0,,13.673970985559,13.916947977197,1.0,,2.0,,,,,,,,,,,
14015567,home,43981,FK Radnički 1923,1022058,Milan Vidakov,vidakov-milan,F,90,True,3.0,2.0,,,0.0,1.0,1.0,1.0,2.0,,,1.0,,,,,4.0,3.0,,1.0,17.362410921219,2.0,16.139003041531,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,0,2,66.66666666666666,,,,,,2.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,
14015567,home,43981,FK Radnički 1923,1158017,Alfa Baldé,alfa-balde,F,17,True,,,,,0.0,,,,0.0,,,,,,,,3.0,1.0,,1.0,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,0,1,,,,,,,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,
14015567,home,43981,FK Radnički 1923,1595656,Nikola Bukumira,nikola-bukumira,M,32,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015567,home,43981,FK Radnički 1923,1468038,Miloš Mladenović,milos-mladenovic,G,45,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015567,home,43981,FK Radnički 1923,1518953,Nikola Marjanovic,nikola-marjanovic,D,5,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015567,home,43981,FK Radnički 1923,1865381,Vanja Tomic,vanja-tomic,M,16,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015567,home,43981,FK Radnički 1923,1802942,Stefan Petkoski Cimbaljević,stefan-petkoski-cimbaljevic,D,33,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
