match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,savedShotsFromInsideTheBox,penaltyFaced,saves,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,bestBallCarryProgression,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,aerialWon,duelLost,duelWon,challengeLost,shotOffTarget,totalClearance,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,keyPass,shotValueNormalized,totalContest,wasFouled,fouls,outfielderBlock,penaltyConceded,aerialLost,dispossessed,onTargetScoringAttempt,accurateCross,wonContest,bigChanceMissed,blockedScoringAttempt,goals,bigChanceCreated,errorLeadToAGoal,totalOffside,penaltyWon
14015548,home,32870,FK Radnički 1923,990630,Yankuba Jarju,yankuba-jarju,F,66,False,10.0,7.0,,,0.0,3.0,4.0,4.0,6.0,2.0,,,,67.0,20.0,6.8,7.0,13.75655033034,3.0,-0.21000000000002,3.99,,"{'original': 6.8, 'alternative': 6.8}",1,0.16,0.11,0.16,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,6,2,0,2,70.0,,,,,,5.0,3.0,5.0,,,2.0,1.0,,,3.0,1.0,-0.19,1.0,,1.0,,,1.0,,,,,,1.0,,1.0,,1.0,
14015548,home,43981,FK Radnički 1923,862199,Ester Sokler,sokler-ester,F,19,True,5.0,5.0,,,0.0,1.0,1.0,4.0,4.0,,,,,23.0,9.0,7.7,,10.795846855441,2.0,0.52500000000002,3.675,,"{'original': 7.7, 'alternative': 7.3}",1,0.09,0.37,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,2,2,1,1,100.0,,,100.0,,,,3.0,1.0,,,,,,,,,0.51,1.0,,1.0,,,2.0,,1.0,,1.0,,,1.0,,,,
14015548,home,43981,FK Radnički 1923,879829,Miloš Ristić,milos-ristic,D,27,True,15.0,14.0,1.0,1.0,0.0,7.0,8.0,7.0,7.0,2.0,,,,23.0,18.0,6.4,1.0,51.08380485065,6.0,35.175,14.7,,"{'original': 6.4, 'alternative': 6.7}",1,-0.01,0.04,-0.16,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,1,0,93.33333333333333,100.0,,,,,,,1.0,,,,,1.0,1.0,,,0.01,,,,,,,,1.0,,,,,,,,,
14015548,home,200776,FK Radnički 1923,1063157,Luka Stankovski,stankovski-luka,M,80,True,9.0,8.0,2.0,1.0,0.0,3.0,3.0,5.0,6.0,1.0,,,,23.0,15.0,6.7,2.0,51.290908942312,6.0,14.7,15.12,,"{'original': 6.7, 'alternative': 6.8}",0,0.04,0.05,0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,0,5,3,2,88.88888888888889,50.0,,50.0,,,,2.0,3.0,,,,2.0,1.0,1.0,,,,2.0,1.0,1.0,,,,,,,1.0,,,,,,,
14015548,home,43981,FK Radnički 1923,876751,Mehmed Ćosić,mehmed-cosic,M,8,True,15.0,13.0,,,0.0,8.0,8.0,5.0,7.0,2.0,,,,18.0,25.0,6.6,5.0,96.141802583521,8.0,54.915,28.035,,"{'original': 6.6, 'alternative': 6.5}",0,-0.05,0.05,0.2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,0,3,1,2,86.66666666666667,,,,,1.0,,2.0,1.0,,,2.0,,1.0,1.0,,,,2.0,,,,,,,,,,,,,,,,
14015548,home,43981,FK Radnički 1923,1158017,Alfa Baldé,alfa-balde,F,17,True,3.0,3.0,,,0.0,3.0,3.0,,0.0,1.0,,,,8.0,8.0,6.3,5.0,32.356573351384,4.0,11.025,10.08,,"{'original': 6.3, 'alternative': 6.3}",0,-0.06,0.02,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,0,2,100.0,,,,,2.0,,2.0,,,,,,,,1.0,,,1.0,,,,,,1.0,,,,,,,,,,
14015548,home,241802,FK Radnički 1923,987618,Danilo Mitrović,danilo-mitrovic,D,25,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015548,home,43981,FK Radnički 1923,1802942,Stefan Petkoski Cimbaljević,stefan-petkoski-cimbaljevic,D,33,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015548,home,43981,FK Radnički 1923,1595656,Nikola Bukumira,nikola-bukumira,M,32,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015548,home,5148,FK Radnički 1923,13691,Vladimir Stojković,vladimir-stojkovic,G,88,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
