player,isHome,shotType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,goalkeeper,id,time,addedTime,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,blockCoordinates,goalType
"{'name': 'Oriyomi Lebi', 'firstName': 'Oriyomi Lebi', 'slug': 'oriyomi-lebi', 'shortName': 'O. Lebi', 'position': 'F', 'jerseyNumber': '19', 'userCount': 51, 'gender': 'M', 'id': 1917883, 'fieldTranslations': {'nameTranslation': {'ar': 'أوريومي ليبي'}, 'shortNameTranslation': {'ar': 'أ. ليبي'}}}",True,miss,assisted,"{'x': 6.9, 'y': 42.5, 'z': 0}",head,close-left,"{'x': 0, 'y': 58.8, 'z': 16.7}","{'name': 'Željko Samčović', 'slug': 'zeljko-samcovic', 'shortName': 'Ž. Samčović', 'position': 'G', 'jerseyNumber': '1', 'userCount': 49, 'gender': 'M', 'id': 1047325, 'fieldTranslations': {'nameTranslation': {'ar': 'زيلجكو سامتشوفيتش'}, 'shortNameTranslation': {'ar': 'ز. سامتشوفيتش'}}}",6312232,90,2.0,5513,"{'start': {'x': 42.5, 'y': 6.9}, 'end': {'x': 41.2, 'y': 0}, 'goal': {'x': 41.2, 'y': 83.3}}",1,787,113,shot,,
"{'name': 'Sankara Karamoko', 'firstName': 'Sankara Karamoko', 'lastName': '', 'slug': 'sankara-karamoko', 'shortName': 'S. Karamoko', 'position': 'F', 'jerseyNumber': '50', 'userCount': 259, 'gender': 'M', 'id': 1444568, 'fieldTranslations': {'nameTranslation': {'ar': 'سانكارا كاراموكو'}, 'shortNameTranslation': {'ar': 'س. كاراموكو'}}}",True,save,assisted,"{'x': 23.4, 'y': 41.5, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 51.6, 'z': 3.2}","{'name': 'Željko Samčović', 'slug': 'zeljko-samcovic', 'shortName': 'Ž. Samčović', 'position': 'G', 'jerseyNumber': '1', 'userCount': 49, 'gender': 'M', 'id': 1047325, 'fieldTranslations': {'nameTranslation': {'ar': 'زيلجكو سامتشوفيتش'}, 'shortNameTranslation': {'ar': 'ز. سامتشوفيتش'}}}",6312204,88,,5233,"{'start': {'x': 41.5, 'y': 23.4}, 'block': {'x': 49.6, 'y': 1.4}, 'end': {'x': 48.4, 'y': 0}, 'goal': {'x': 48.4, 'y': 96.8}}",3,167,2533,shot,"{'x': 1.4, 'y': 49.6, 'z': 0}",
"{'name': 'Kenroy Campbell', 'slug': 'kenroy-campbell', 'shortName': 'K. Campbell', 'position': 'M', 'jerseyNumber': '66', 'userCount': 37, 'gender': 'M', 'id': 1217033, 'fieldTranslations': {'nameTranslation': {'ar': 'كينروي كامبل', 'bn': 'কেনরয় ক্যাম্পবেল', 'hi': 'केनरॉय कैम्पबेल'}, 'shortNameTranslation': {'ar': 'ك. كامبل', 'bn': 'কে. ক্যাম্পবেল', 'hi': 'के. कैम्पबेल'}}}",True,miss,assisted,"{'x': 21.2, 'y': 66.9, 'z': 0}",left-foot,high-left,"{'x': 0, 'y': 61.3, 'z': 43.1}","{'name': 'Željko Samčović', 'slug': 'zeljko-samcovic', 'shortName': 'Ž. Samčović', 'position': 'G', 'jerseyNumber': '1', 'userCount': 49, 'gender': 'M', 'id': 1047325, 'fieldTranslations': {'nameTranslation': {'ar': 'زيلجكو سامتشوفيتش'}, 'shortNameTranslation': {'ar': 'ز. سامتشوفيتش'}}}",6312167,85,,5048,"{'start': {'x': 66.9, 'y': 21.2}, 'end': {'x': 38.7, 'y': 0}, 'goal': {'x': 38.7, 'y': 56.9}}",6,352,2348,shot,,
"{'name': 'Ivan Davidović', 'firstName': 'Ivan Davidovic', 'slug': 'ivan-davidovic', 'shortName': 'I. Davidović', 'position': 'M', 'jerseyNumber': '24', 'userCount': 55, 'gender': 'M', 'id': 1147753, 'fieldTranslations': {'nameTranslation': {'ar': 'إيفان دافيدوفيتش'}, 'shortNameTranslation': {'ar': 'إ. دافيدوفيتش'}}}",False,miss,assisted,"{'x': 25.7, 'y': 32.5, 'z': 0}",right-foot,right,"{'x': 0, 'y': 36.5, 'z': 11.1}","{'name': 'Bojan Brać', 'slug': 'bojan-brac', 'shortName': 'B. Brać', 'position': 'G', 'jerseyNumber': '90', 'userCount': 14, 'gender': 'M', 'id': 112020, 'fieldTranslations': {'nameTranslation': {'ar': 'بويان براش'}, 'shortNameTranslation': {'ar': 'ب. براش'}}}",6312373,73,,4364,"{'start': {'x': 32.5, 'y': 25.7}, 'block': {'x': 55.8, 'y': 3.6}, 'end': {'x': 63.5, 'y': 0}, 'goal': {'x': 63.5, 'y': 88.9}}",18,1036,1664,shot,"{'x': 3.6, 'y': 55.8, 'z': 0}",
"{'name': 'Sankara Karamoko', 'firstName': 'Sankara Karamoko', 'lastName': '', 'slug': 'sankara-karamoko', 'shortName': 'S. Karamoko', 'position': 'F', 'jerseyNumber': '50', 'userCount': 259, 'gender': 'M', 'id': 1444568, 'fieldTranslations': {'nameTranslation': {'ar': 'سانكارا كاراموكو'}, 'shortNameTranslation': {'ar': 'س. كاراموكو'}}}",True,miss,assisted,"{'x': 9.8, 'y': 51, 'z': 0}",head,left,"{'x': 0, 'y': 78.5, 'z': 6.9}","{'name': 'Željko Samčović', 'slug': 'zeljko-samcovic', 'shortName': 'Ž. Samčović', 'position': 'G', 'jerseyNumber': '1', 'userCount': 49, 'gender': 'M', 'id': 1047325, 'fieldTranslations': {'nameTranslation': {'ar': 'زيلجكو سامتشوفيتش'}, 'shortNameTranslation': {'ar': 'ز. سامتشوفيتش'}}}",6319032,66,,3958,"{'start': {'x': 51, 'y': 9.8}, 'block': {'x': 22, 'y': 5}, 'end': {'x': 21.5, 'y': 0}, 'goal': {'x': 21.5, 'y': 93.1}}",25,1442,1258,shot,"{'x': 5, 'y': 22, 'z': 0}",
"{'name': 'Oriyomi Lebi', 'firstName': 'Oriyomi Lebi', 'slug': 'oriyomi-lebi', 'shortName': 'O. Lebi', 'position': 'F', 'jerseyNumber': '19', 'userCount': 51, 'gender': 'M', 'id': 1917883, 'fieldTranslations': {'nameTranslation': {'ar': 'أوريومي ليبي'}, 'shortNameTranslation': {'ar': 'أ. ليبي'}}}",True,goal,corner,"{'x': 4, 'y': 52.1, 'z': 0}",head,low-left,"{'x': 0, 'y': 53.2, 'z': 15.2}","{'name': 'Željko Samčović', 'slug': 'zeljko-samcovic', 'shortName': 'Ž. Samčović', 'position': 'G', 'jerseyNumber': '1', 'userCount': 49, 'gender': 'M', 'id': 1047325, 'fieldTranslations': {'nameTranslation': {'ar': 'زيلجكو سامتشوفيتش'}, 'shortNameTranslation': {'ar': 'ز. سامتشوفيتش'}}}",6311967,62,,3714,"{'start': {'x': 52.1, 'y': 4}, 'end': {'x': 46.8, 'y': 0}, 'goal': {'x': 46.8, 'y': 84.8}}",29,1686,1014,shot,,regular
"{'name': 'Dominic Sadi', 'firstName': 'Dominic Sadi', 'slug': 'sadi-dominic', 'shortName': 'D. Sadi', 'position': 'F', 'jerseyNumber': '30', 'userCount': 184, 'gender': 'M', 'id': 1398550, 'fieldTranslations': {'nameTranslation': {'ar': 'سادي، دومينيك', 'bn': 'সাদি, ডমিনিক', 'hi': 'सादी, डोमिनिक'}, 'shortNameTranslation': {'ar': 'د. سادي', 'bn': 'ডি. সাদি', 'hi': 'डी. डोमिनिक'}}}",False,miss,set-piece,"{'x': 18.1, 'y': 35.1, 'z': 0}",left-foot,right,"{'x': 0, 'y': 35.1, 'z': 11.1}","{'name': 'Bojan Brać', 'slug': 'bojan-brac', 'shortName': 'B. Brać', 'position': 'G', 'jerseyNumber': '90', 'userCount': 14, 'gender': 'M', 'id': 112020, 'fieldTranslations': {'nameTranslation': {'ar': 'بويان براش'}, 'shortNameTranslation': {'ar': 'ب. براش'}}}",6319031,55,,3252,"{'start': {'x': 35.1, 'y': 18.1}, 'block': {'x': 48.7, 'y': 8.8}, 'end': {'x': 64.9, 'y': 0}, 'goal': {'x': 64.9, 'y': 88.9}}",36,2148,552,shot,"{'x': 8.8, 'y': 48.7, 'z': 0}",
"{'name': 'Ivan Davidović', 'firstName': 'Ivan Davidovic', 'slug': 'ivan-davidovic', 'shortName': 'I. Davidović', 'position': 'M', 'jerseyNumber': '24', 'userCount': 55, 'gender': 'M', 'id': 1147753, 'fieldTranslations': {'nameTranslation': {'ar': 'إيفان دافيدوفيتش'}, 'shortNameTranslation': {'ar': 'إ. دافيدوفيتش'}}}",False,goal,assisted,"{'x': 13, 'y': 53.4, 'z': 0}",right-foot,high-right,"{'x': 0, 'y': 46.1, 'z': 20.9}","{'name': 'Bojan Brać', 'slug': 'bojan-brac', 'shortName': 'B. Brać', 'position': 'G', 'jerseyNumber': '90', 'userCount': 14, 'gender': 'M', 'id': 112020, 'fieldTranslations': {'nameTranslation': {'ar': 'بويان براش'}, 'shortNameTranslation': {'ar': 'ب. براش'}}}",6311829,51,,3035,"{'start': {'x': 53.4, 'y': 13}, 'end': {'x': 53.9, 'y': 0}, 'goal': {'x': 53.9, 'y': 79.1}}",40,2365,335,shot,,regular
"{'name': 'Stefan Stanisavljević', 'slug': 'stefan-stanisavljevic', 'shortName': 'S. Stanisavljević', 'position': 'F', 'jerseyNumber': '18', 'userCount': 77, 'gender': 'M', 'id': 1032770, 'fieldTranslations': {'nameTranslation': {'ar': 'ستيفان ستانيسافليفيتش'}, 'shortNameTranslation': {'ar': 'س. ستانيسافليفيتش'}}}",False,miss,assisted,"{'x': 10.4, 'y': 56, 'z': 0}",head,left,"{'x': 0, 'y': 69.9, 'z': 6.9}","{'name': 'Bojan Brać', 'slug': 'bojan-brac', 'shortName': 'B. Brać', 'position': 'G', 'jerseyNumber': '90', 'userCount': 14, 'gender': 'M', 'id': 112020, 'fieldTranslations': {'nameTranslation': {'ar': 'بويان براش'}, 'shortNameTranslation': {'ar': 'ب. براش'}}}",6311841,51,,3030,"{'start': {'x': 56, 'y': 10.4}, 'block': {'x': 34.5, 'y': 8.5}, 'end': {'x': 30.1, 'y': 0}, 'goal': {'x': 30.1, 'y': 93.1}}",40,2370,330,shot,"{'x': 8.5, 'y': 34.5, 'z': 0}",
"{'name': 'Kenroy Campbell', 'slug': 'kenroy-campbell', 'shortName': 'K. Campbell', 'position': 'M', 'jerseyNumber': '66', 'userCount': 37, 'gender': 'M', 'id': 1217033, 'fieldTranslations': {'nameTranslation': {'ar': 'كينروي كامبل', 'bn': 'কেনরয় ক্যাম্পবেল', 'hi': 'केनरॉय कैम्पबेल'}, 'shortNameTranslation': {'ar': 'ك. كامبل', 'bn': 'কে. ক্যাম্পবেল', 'hi': 'के. कैम्पबेल'}}}",True,goal,assisted,"{'x': 15.7, 'y': 63, 'z': 0}",left-foot,high-left,"{'x': 0, 'y': 54, 'z': 23.4}","{'name': 'Željko Samčović', 'slug': 'zeljko-samcovic', 'shortName': 'Ž. Samčović', 'position': 'G', 'jerseyNumber': '1', 'userCount': 49, 'gender': 'M', 'id': 1047325, 'fieldTranslations': {'nameTranslation': {'ar': 'زيلجكو سامتشوفيتش'}, 'shortNameTranslation': {'ar': 'ز. سامتشوفيتش'}}}",6311814,49,,2901,"{'start': {'x': 63, 'y': 15.7}, 'end': {'x': 46, 'y': 0}, 'goal': {'x': 46, 'y': 76.6}}",42,2499,201,shot,,regular
