match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,bestBallCarryProgression,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,aerialLost,duelLost,duelWon,totalClearance,interceptionWon,totalTackle,wonTackle,wasFouled,fouls,keyPass,aerialWon,outfielderBlock,unsuccessfulTouch,shotOffTarget,shotValueNormalized,challengeLost,totalContest,wonContest,blockedScoringAttempt,dispossessed,bigChanceCreated,bigChanceMissed,onTargetScoringAttempt,totalOffside,goals,punches,hitWoodwork
14015529,away,7771,FK Mladost Lučani,126558,Petar Bojić,petar-bojic,F,10,False,30.0,21.0,,,1.0,6.0,8.0,15.0,22.0,2.0,,,82.0,38.0,8.8,12.0,144.29717822556,15.0,-49.56,13.44,,"{'original': 8.8, 'alternative': 9.2}",3,0.1,0.21,-0.03,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,5,4,1,3,70.0,,,,,,,5.0,8.0,1.0,,,,,1.0,2.0,3.0,,,2.0,,0.93,,1.0,,,,1.0,,3.0,2.0,2.0,,
14015529,away,7771,FK Mladost Lučani,150667,Nikola Boranijašević,nikola-boranijasevic,D,28,True,4.0,3.0,1.0,,0.0,,1.0,3.0,3.0,1.0,,,12.0,12.0,6.3,3.0,24.49396029197,4.0,2.31,5.67,,"{'original': 6.3, 'alternative': 6.3}",0,0.03,0.01,-0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,2,2,1,1,75.0,,,,,,,2.0,3.0,1.0,1.0,,1.0,,,,,,,,,,1.0,,,,,,,,,,,
14015529,away,7674,FK Mladost Lučani,1166063,Uroš Sremčević,uros-sremcevic,F,19,True,2.0,2.0,,,0.0,1.0,1.0,1.0,1.0,1.0,,,11.0,9.0,6.8,4.0,29.034732262089,4.0,-9.03,1.89,,"{'original': 6.8, 'alternative': 6.7}",0,-0.02,0.02,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,0,5,3,2,100.0,,,,,,,,2.0,3.0,,,,,3.0,,,,,2.0,,,,2.0,,,,,,,,,,
14015529,away,7771,FK Mladost Lučani,837894,Nemanja Milojević,nemanja-milojevic,M,38,True,4.0,2.0,,,0.0,,,2.0,4.0,,,,8.0,6.0,6.4,2.0,28.566098541235,3.0,-14.91,3.57,,"{'original': 6.4, 'alternative': 6.5}",0,-0.02,0.02,-0.02,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,3,2,1,1,50.0,,,,,,,2.0,3.0,2.0,1.0,,1.0,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,
14015529,away,7771,FK Mladost Lučani,173957,Irfan Hadžić,irfan-hadzic,F,9,True,6.0,6.0,1.0,1.0,0.0,2.0,2.0,4.0,4.0,2.0,,,8.0,14.0,6.7,4.0,23.632488532613,3.0,-8.085,2.73,,"{'original': 6.7, 'alternative': 6.6}",0,0.0,0.05,0.16,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,1,8,4,4,100.0,100.0,,50.0,,,,,4.0,5.0,,,2.0,1.0,1.0,1.0,,1.0,,1.0,,,,2.0,1.0,,2.0,,,,,,,
14015529,away,229348,FK Mladost Lučani,341339,Nemanja Ahčin,nemanja-ahcin,M,6,True,,,,,0.0,,,,,,,,1.0,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015529,away,7771,FK Mladost Lučani,795855,Aleksandar Varjačić,aleksandar-varjacic,M,17,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015529,away,7771,FK Mladost Lučani,111313,Milan Joksimović,milan-joksimovic,D,12,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015529,away,7771,FK Mladost Lučani,80250,Nikola Leković,nikola-lekovic,D,35,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015529,away,7771,FK Mladost Lučani,1859502,Ognjen Alempijević,ognjen-alempijevic,F,31,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015529,away,7771,FK Mladost Lučani,1166128,Bogdan Matijasevic,bogdan-matijasevic,G,23,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015529,away,241802,FK Mladost Lučani,280827,Danilo Pantić,danilo-pantic,M,5,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
