player,isHome,shotType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,blockCoordinates,id,time,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,goalType,addedTime
"{'name': 'Borko Duronjić', 'firstName': '', 'lastName': '', 'slug': 'borko-duronjic', 'shortName': 'B. Duronjić', 'position': 'M', 'jerseyNumber': '11', 'userCount': 19, 'gender': 'M', 'id': 356190, 'fieldTranslations': {'nameTranslation': {'ar': 'بوركو دورونجيش', 'bn': 'বোরকো দুরঞ্জিক', 'hi': 'बोर्को दुरोनजीक'}, 'shortNameTranslation': {'ar': 'ب. دورونجيش', 'bn': 'বি. দুরনজিচ', 'hi': 'बी. दुरोनजीक'}}}",False,save,assisted,"{'x': 18.8, 'y': 33.8, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50.4, 'z': 10.8}","{'x': 1.5, 'y': 47.5, 'z': 0}",5830230,77,4574,"{'start': {'x': 33.8, 'y': 18.8}, 'block': {'x': 47.5, 'y': 1.5}, 'end': {'x': 49.6, 'y': 0}, 'goal': {'x': 49.6, 'y': 89.2}}",14,826,1874,shot,,
"{'name': 'Jovan Nišić', 'slug': 'jovan-nisic', 'shortName': 'J. Nišić', 'position': 'M', 'jerseyNumber': '45', 'userCount': 54, 'gender': 'M', 'id': 844332, 'fieldTranslations': {'nameTranslation': {'ar': 'جوفان نيشيتش', 'bn': 'জোভান নিসিচ', 'hi': 'जोवन निसिच'}, 'shortNameTranslation': {'ar': 'جز نيشيتش', 'bn': 'জে. নিশিচ', 'hi': 'जे. निसिच'}}}",True,block,assisted,"{'x': 24.1, 'y': 44.8, 'z': 0}",right-foot,low-left,"{'x': 0, 'y': 54.5, 'z': 19}","{'x': 19.4, 'y': 44.9, 'z': 0}",5830125,74,4415,"{'start': {'x': 44.8, 'y': 24.1}, 'block': {'x': 44.9, 'y': 19.4}, 'end': {'x': 45.5, 'y': 0}, 'goal': {'x': 45.5, 'y': 81}}",17,985,1715,shot,,
"{'name': 'Radomir Milosavljević', 'slug': 'radomir-milosavljevic', 'shortName': 'R. Milosavljević', 'position': 'M', 'jerseyNumber': '22', 'userCount': 30, 'gender': 'M', 'id': 112321, 'fieldTranslations': {'nameTranslation': {'ar': 'رادومير ميلوسافليفيتش'}, 'shortNameTranslation': {'ar': 'ر. ميلوسافليفيتش'}}}",True,save,assisted,"{'x': 25, 'y': 48.5, 'z': 0}",right-foot,high-left,"{'x': 0, 'y': 53.9, 'z': 27.8}","{'x': 3.5, 'y': 51.3, 'z': 0}",5830104,71,4201,"{'start': {'x': 48.5, 'y': 25}, 'block': {'x': 51.3, 'y': 3.5}, 'end': {'x': 46.1, 'y': 0}, 'goal': {'x': 46.1, 'y': 72.2}}",20,1199,1501,shot,,
"{'name': 'Vukašin Bogdanović', 'firstName': '', 'lastName': '', 'slug': 'vukasin-bogdanovic', 'shortName': 'V. Bogdanović', 'position': 'F', 'jerseyNumber': '9', 'userCount': 100, 'gender': 'M', 'id': 1031603, 'fieldTranslations': {'nameTranslation': {'ar': 'فوكاشين بوغدانوفيتش'}, 'shortNameTranslation': {'ar': 'ف. بوغدانوفيتش'}}}",False,goal,penalty,"{'x': 11.5, 'y': 50, 'z': 0}",right-foot,low-left,"{'x': 0, 'y': 52.6, 'z': 1.9}",,5830100,69,4128,"{'start': {'x': 50, 'y': 11.5}, 'end': {'x': 47.4, 'y': 0}, 'goal': {'x': 47.4, 'y': 98.1}}",22,1272,1428,shot,penalty,
"{'name': 'Nemanja Mićević', 'firstName': '', 'lastName': '', 'slug': 'nemanja-micevic', 'shortName': 'N. Mićević', 'position': 'D', 'userCount': 22, 'gender': 'M', 'id': 942147, 'fieldTranslations': {'nameTranslation': {'ar': 'نيمانجا ميتشيفيتش', 'bn': 'নেমাঞ্জা মিচেভিচ', 'hi': 'नेमांजा मिचेविक'}, 'shortNameTranslation': {'ar': 'ن. ميتشيفيتش', 'bn': 'এন. মিচেভিচ', 'hi': 'एन. मिचेविक'}}}",True,miss,corner,"{'x': 5.1, 'y': 46.8, 'z': 0}",head,close-right,"{'x': 0, 'y': 41.3, 'z': 15.3}",,5830052,62,3683,"{'start': {'x': 46.8, 'y': 5.1}, 'end': {'x': 58.7, 'y': 0}, 'goal': {'x': 58.7, 'y': 84.7}}",29,1717,983,shot,,
"{'name': 'Radivoj Bosić', 'firstName': '', 'lastName': '', 'slug': 'radivoj-bosic', 'shortName': 'R. Bosić', 'position': 'M', 'jerseyNumber': '12', 'userCount': 67, 'gender': 'M', 'id': 965889, 'fieldTranslations': {'nameTranslation': {'ar': 'راديفوي بوسيتش', 'bn': 'রেডিভোজ বসিক', 'hi': 'रेडिवो बोसिक'}, 'shortNameTranslation': {'ar': 'ر. بوسيتش', 'bn': 'আর. বোসিচ', 'hi': 'आर. बोसिक'}}}",True,save,assisted,"{'x': 9.4, 'y': 36, 'z': 0}",left-foot,high-centre,"{'x': 0, 'y': 51.4, 'z': 28.5}","{'x': 0.90000000000001, 'y': 49.1, 'z': 0}",5830051,61,3639,"{'start': {'x': 36, 'y': 9.4}, 'block': {'x': 49.1, 'y': 0.90000000000001}, 'end': {'x': 48.6, 'y': 0}, 'goal': {'x': 48.6, 'y': 71.5}}",30,1761,939,shot,,
"{'name': 'Jovan Nišić', 'slug': 'jovan-nisic', 'shortName': 'J. Nišić', 'position': 'M', 'jerseyNumber': '45', 'userCount': 54, 'gender': 'M', 'id': 844332, 'fieldTranslations': {'nameTranslation': {'ar': 'جوفان نيشيتش', 'bn': 'জোভান নিসিচ', 'hi': 'जोवन निसिच'}, 'shortNameTranslation': {'ar': 'جز نيشيتش', 'bn': 'জে. নিশিচ', 'hi': 'जे. निसिच'}}}",True,block,assisted,"{'x': 21.8, 'y': 60.3, 'z': 0}",left-foot,low-right,"{'x': 0, 'y': 48.1, 'z': 19}","{'x': 17.1, 'y': 58.5, 'z': 0}",5830023,54,3190,"{'start': {'x': 60.3, 'y': 21.8}, 'block': {'x': 58.5, 'y': 17.1}, 'end': {'x': 51.9, 'y': 0}, 'goal': {'x': 51.9, 'y': 81}}",37,2210,490,shot,,
"{'name': 'Miloš Spasić', 'firstName': '', 'lastName': '', 'slug': 'milos-spasic', 'shortName': 'M. Spasić', 'position': 'F', 'jerseyNumber': '97', 'userCount': 83, 'gender': 'M', 'id': 1022054, 'fieldTranslations': {'nameTranslation': {'ar': 'ميلوش سباسيتش'}, 'shortNameTranslation': {'ar': 'م. سباسيتش'}}}",True,goal,regular,"{'x': 12.9, 'y': 40.9, 'z': 0}",right-foot,low-right,"{'x': 0, 'y': 46.7, 'z': 3.2}",,5829962,48,2875,"{'start': {'x': 40.9, 'y': 12.9}, 'end': {'x': 53.3, 'y': 0}, 'goal': {'x': 53.3, 'y': 96.8}}",43,2525,175,shot,regular,
"{'name': 'Radivoj Bosić', 'firstName': '', 'lastName': '', 'slug': 'radivoj-bosic', 'shortName': 'R. Bosić', 'position': 'M', 'jerseyNumber': '12', 'userCount': 67, 'gender': 'M', 'id': 965889, 'fieldTranslations': {'nameTranslation': {'ar': 'راديفوي بوسيتش', 'bn': 'রেডিভোজ বসিক', 'hi': 'रेडिवो बोसिक'}, 'shortNameTranslation': {'ar': 'ر. بوسيتش', 'bn': 'আর. বোসিচ', 'hi': 'आर. बोसिक'}}}",True,save,assisted,"{'x': 19.4, 'y': 40.3, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 49.3, 'z': 8.9}","{'x': 2.8, 'y': 50.5, 'z': 0}",5829853,45,2812,"{'start': {'x': 40.3, 'y': 19.4}, 'block': {'x': 50.5, 'y': 2.8}, 'end': {'x': 50.7, 'y': 0}, 'goal': {'x': 50.7, 'y': 91.1}}",1,2588,112,shot,,2.0
"{'name': 'Vanja Ilić', 'slug': 'vanja-ilic', 'shortName': 'V. Ilić', 'position': 'M', 'jerseyNumber': '23', 'userCount': 66, 'gender': 'M', 'id': 889059, 'fieldTranslations': {'nameTranslation': {'ar': 'فانيا إيلتش'}, 'shortNameTranslation': {'ar': 'ف. إيلتش'}}}",True,miss,assisted,"{'x': 7, 'y': 66.7, 'z': 0}",right-foot,close-right,"{'x': 0, 'y': 42, 'z': 19.4}",,5829848,45,2745,"{'start': {'x': 66.7, 'y': 7}, 'end': {'x': 58, 'y': 0}, 'goal': {'x': 58, 'y': 80.6}}",1,2655,45,shot,,1.0
