minute,value
1.0,7
2.0,61
3.0,92
4.0,56
5.0,39
6.0,25
7.0,14
8.0,7
9.0,-9
10.0,-33
11.0,-24
12.0,-14
13.0,-39
14.0,-27
15.0,-8
16.0,7
17.0,9
18.0,4
19.0,4
20.0,-5
21.0,-7
22.0,-4
23.0,-7
24.0,40
25.0,72
26.0,43
27.0,21
28.0,13
29.0,5
30.0,-7
31.0,-10
32.0,-17
33.0,-21
34.0,-14
35.0,-3
36.0,5
37.0,-46
38.0,-36
39.0,-23
40.0,-45
41.0,74
42.0,26
43.0,15
44.0,8
45.0,11
45.5,10
46.0,-7
47.0,-10
48.0,-7
49.0,-11
50.0,-2
51.0,-32
52.0,-15
53.0,-5
54.0,4
55.0,-1
56.0,7
57.0,13
58.0,22
59.0,-26
60.0,-9
61.0,-1
62.0,5
63.0,21
64.0,74
65.0,69
66.0,41
67.0,29
68.0,26
69.0,12
70.0,10
71.0,11
72.0,12
73.0,7
74.0,10
75.0,6
76.0,4
77.0,-5
78.0,6
79.0,2
80.0,-30
81.0,-27
82.0,16
83.0,1
84.0,6
85.0,7
86.0,61
87.0,36
88.0,27
89.0,16
90.0,10
90.5,-30
