match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,interceptionWon,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,shotOffTarget,keyPass,dispossessed,blockedScoringAttempt,savedShotsFromInsideTheBox
15280994,home,6226,FK Dečić Tuzi,838300,Stefan Golubović,stefan-golubovic,F,27,False,16.0,9.0,0.0,0.0,0.0,2.0,3.0,7.0,13.0,0.0,0.0,7.0,3.0,14.0,7.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,2.0,4.0,1.0,0.0,1.0,0.0,0.0,2.0,3.0,1.0,,,,,,90.0,31.0,6.7,16.0,0.05,0.0,"{'original': 6.7, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",21,10,11,4,7,56.25,,,100.0,,1.0,,,1.0,
15280994,home,6226,FK Dečić Tuzi,1466922,Nikola Braunović,nikola-braunovic,D,29,True,19.0,15.0,3.0,2.0,0.0,10.0,11.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,24.0,25.0,6.8,3.0,0.0,0.0,"{'original': 6.8, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,1,0,78.94736842105263,66.66666666666666,,,,,,,,
15280994,home,6226,FK Dečić Tuzi,1005595,Dejan Perovic,dejan-perovic,M,44,True,7.0,4.0,1.0,1.0,0.0,2.0,4.0,2.0,3.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,24.0,12.0,6.4,2.0,0.0,0.0,"{'original': 6.4, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,0,3,1,2,57.14285714285714,100.0,50.0,50.0,,,,,,
15280994,home,6226,FK Dečić Tuzi,929112,Petar Pavlićević,petar-pavlicevic,F,74,True,12.0,7.0,2.0,0.0,0.0,1.0,2.0,6.0,10.0,2.0,1.0,3.0,1.0,4.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,,,,,24.0,18.0,6.8,7.0,0.0,0.05,"{'original': 6.8, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,4,5,4,1,58.333333333333336,0.0,50.0,100.0,,,1.0,,,
15280994,home,6226,FK Dečić Tuzi,869335,Ilir Camaj,ilir-camaj,F,9,True,5.0,3.0,0.0,0.0,0.0,1.0,1.0,2.0,4.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,6.0,7.0,6.6,2.0,0.0,0.0,"{'original': 6.6, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,1,1,60.0,,0.0,100.0,,,,,,
15280994,home,6226,FK Dečić Tuzi,2073399,Mark Djokaj,mark-djokaj,M,11,True,3.0,0.0,0.0,0.0,0.0,,1.0,,2.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,6.0,5.0,6.5,3.0,0.0,0.0,"{'original': 6.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,1,0,0.0,,0.0,100.0,,,,,,
15280994,home,6226,FK Dečić Tuzi,1396431,Danilo Radosevic,danilo-radosevic,G,25,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,
15280994,home,6226,FK Dečić Tuzi,76273,Asmir Kajević,asmir-kajevic,M,10,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,
15280994,home,6226,FK Dečić Tuzi,1005614,Andrej Bajović,andrej-bajovic,M,14,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,
15280994,away,6216,OFK Petrovac,188987,Marko Kordić,marko-kordic,G,25,False,35.0,29.0,16.0,11.0,0.0,21.0,24.0,8.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,90.0,40.0,7.5,8.0,0.0,0.0,"{'original': 7.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,82.85714285714286,68.75,,,0.0,,,,,2.0
15280994,away,6216,OFK Petrovac,882142,Danilo Pešukić,danilo-pesukic,D,29,False,21.0,14.0,6.0,1.0,0.0,8.0,9.0,5.0,10.0,2.0,0.0,1.0,0.0,9.0,4.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,,,,,,90.0,29.0,7.4,9.0,0.06,0.0,"{'original': 7.4, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,1,12,4,8,66.66666666666666,16.666666666666664,0.0,,,,,,,
15280994,away,6216,OFK Petrovac,101141,Marko Roganović,marko-roganovic,D,99,False,37.0,32.0,6.0,4.0,0.0,23.0,25.0,9.0,11.0,1.0,1.0,5.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,65.0,40.0,6.5,7.0,0.0,0.0,"{'original': 6.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,6,1,0,1,86.48648648648648,66.66666666666666,100.0,,,,,,,
15280994,away,6216,OFK Petrovac,986362,Marko Merdović,merdovic-marko,D,44,False,52.0,48.0,14.0,11.0,0.0,36.0,37.0,11.0,14.0,0.0,0.0,0.0,4.0,4.0,6.0,1.0,0.0,0.0,0.0,0.0,9.0,1.0,3.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,90.0,59.0,8.2,10.0,0.0,0.0,"{'original': 8.2, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,4,6,2,4,92.3076923076923,78.57142857142857,,,,,,,,
15280994,away,6216,OFK Petrovac,57339,Dejan Boljević,dejan-boljevic,D,33,False,54.0,39.0,8.0,4.0,0.0,21.0,28.0,13.0,20.0,3.0,2.0,2.0,3.0,11.0,5.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,4.0,10.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,90.0,61.0,7.3,17.0,0.0,0.01,"{'original': 7.3, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",16,5,11,2,9,72.22222222222221,50.0,66.66666666666666,100.0,,,1.0,,,
