match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,penaltyFaced,saves,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,duelLost,duelWon,totalContest,wonContest,shotOffTarget,hitWoodwork,totalClearance,outfielderBlock,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,fouls,totalOffside,shotValueNormalized,aerialWon,challengeLost,wasFouled,aerialLost,bigChanceCreated,keyPass,blockedScoringAttempt,dispossessed,penaltyWon,bigChanceMissed,onTargetScoringAttempt,penaltyMiss,goals,penaltyConceded,penaltySave,punches,totalKeeperSweeper,accurateKeeperSweeper
14015460,home,282203,FK Železničar Pančevo,267437,Zoran Popović,zoran-popovic,G,1,False,22.0,19.0,8.0,5.0,0.0,16.0,16.0,3.0,6.0,7.0,3.0,3.0,1.0,3.0,90.0,32.0,6.3,3.0,0.5338,"{'original': 6.3, 'alternative': 6.7}",0,0.05,0.03,-0.16,0.3,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,86.36363636363636,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015460,home,282203,FK Železničar Pančevo,905167,Abdul Yusif,abdul-yusif,D,12,False,52.0,41.0,5.0,1.0,0.0,21.0,21.0,20.0,31.0,5.0,,,,,90.0,79.0,6.1,19.0,,"{'original': 6.1, 'alternative': 6.6}",1,0.0,0.16,-0.26,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,0,5,3,2,78.84615384615384,20.0,50.0,100.0,,2.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,2.0,1.0,-0.43,,,,,,,,,,,,,,,,,,
14015460,home,282203,FK Železničar Pančevo,1001880,Mirko Milikić,mirko-milikic,D,6,False,60.0,54.0,8.0,3.0,0.0,36.0,36.0,18.0,24.0,2.0,,,,,90.0,68.0,6.2,6.0,,"{'original': 6.2, 'alternative': 6.4}",1,0.07,0.15,-0.55,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,3,4,2,2,90.0,37.5,,,,,,2.0,5.0,,,1.0,,4.0,,1.0,1.0,1.0,,,,-0.19,3.0,2.0,1.0,,,,,,,,,,,,,,,
14015460,home,282203,FK Železničar Pančevo,111456,Miloš Kosanović,milos-kosanovic,D,15,False,71.0,60.0,10.0,5.0,0.0,40.0,42.0,20.0,29.0,,,,,,90.0,81.0,6.7,14.0,,"{'original': 6.7, 'alternative': 6.5}",0,0.41,0.07,-0.38,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,5,5,2,3,84.50704225352112,50.0,50.0,,,2.0,1.0,5.0,5.0,,,,,1.0,,2.0,2.0,2.0,,2.0,,,3.0,1.0,,2.0,1.0,2.0,,,,,,,,,,,,
14015460,home,282203,FK Železničar Pančevo,1466631,Nikola Đuričić,nikola-duricic,D,33,False,64.0,59.0,3.0,2.0,0.0,31.0,33.0,28.0,31.0,4.0,,,,,90.0,80.0,6.7,10.0,,"{'original': 6.7, 'alternative': 7}",1,0.3,0.2,-0.47,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,7,4,1,3,92.1875,66.66666666666666,,,,1.0,,3.0,8.0,,,,,5.0,,,1.0,1.0,4.0,3.0,,-0.06,7.0,,,,,2.0,1.0,,,,,,,,,,,
14015460,home,5136,FK Železničar Pančevo,988828,Hristo Ivanov,hristo-ivanov,M,16,False,17.0,16.0,1.0,1.0,0.0,8.0,9.0,8.0,8.0,2.0,,,,,73.0,21.0,6.5,1.0,,"{'original': 6.5, 'alternative': 6.4}",0,0.18,0.05,-0.16,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,0,5,1,4,94.11764705882352,100.0,,,,,,4.0,1.0,,,,,1.0,,,1.0,,,3.0,,,,1.0,,,,,,,,,,,,,,,,
14015460,home,282203,FK Železničar Pančevo,1417509,Aleksa Kuljanin,aleksa-kuljanin,M,13,False,18.0,11.0,1.0,1.0,1.0,2.0,3.0,9.0,15.0,6.0,,,,,90.0,55.0,7.9,23.0,,"{'original': 7.9, 'alternative': 7.9}",4,0.5,0.64,-0.22,,"{'sportSlug': 'football', 'statisticsType': 'player'}",25,2,23,13,10,61.111111111111114,100.0,,42.857142857142854,,2.0,,12.0,13.0,7.0,3.0,2.0,,1.0,,,5.0,2.0,6.0,,,-0.26,,2.0,5.0,2.0,1.0,1.0,2.0,4.0,1.0,,,,,,,,,
14015460,home,282203,FK Železničar Pančevo,1146227,Stefan Pirgić,stefan-pirgic,M,18,False,20.0,20.0,1.0,1.0,0.0,13.0,13.0,7.0,7.0,3.0,,,,,59.0,28.0,6.2,4.0,,"{'original': 6.2, 'alternative': 6.4}",1,-0.03,0.0,-0.12,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,0,4,1,3,100.0,100.0,,,,,,3.0,1.0,,,1.0,,,,1.0,1.0,,3.0,2.0,,-0.19,,,,,,,,1.0,,,,,,,,,,
14015460,home,1892,FK Železničar Pančevo,1885765,Jovan Milosavljević,jovan-milosavljevic,M,22,False,27.0,25.0,2.0,2.0,0.0,12.0,12.0,13.0,15.0,4.0,,,,,72.0,39.0,6.5,5.0,,"{'original': 6.5, 'alternative': 6.6}",2,0.11,0.18,-0.16,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,0,5,1,4,92.5925925925926,100.0,,,,2.0,,4.0,1.0,,,2.0,,1.0,,3.0,,,1.0,1.0,,-0.15,,3.0,1.0,,,,,,,,,,,,,,,
14015460,home,282203,FK Železničar Pančevo,1013994,Sylvester Jasper,jasper-sylvester,M,27,False,31.0,27.0,2.0,2.0,0.0,8.0,10.0,19.0,21.0,3.0,,,,,90.0,52.0,6.1,13.0,,"{'original': 6.1, 'alternative': 6}",4,0.29,0.61,-0.43,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,0,10,4,6,87.09677419354838,100.0,,50.0,,5.0,,6.0,4.0,2.0,1.0,1.0,,,,,1.0,1.0,2.0,2.0,,-1.0,,3.0,2.0,,1.0,1.0,,,,2.0,3.0,1.0,,,,,,
