match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,duelWon,ballRecovery,wasFouled,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,progressiveBallCarriesCount,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,aerialWon,duelLost,challengeLost,totalClearance,totalTackle,wonTackle,fouls,bigChanceCreated,outfielderBlock,keyPass,aerialLost,bigChanceMissed,onTargetScoringAttempt,interceptionWon,errorLeadToAShot,unsuccessfulTouch,shotValueNormalized,accurateCross,dispossessed,shotOffTarget,bestBallCarryProgression,totalProgressiveBallCarriesDistance,totalContest,wonContest,blockedScoringAttempt,totalOffside,goals,punches,errorLeadToAGoal
14015588,home,25736,FK Novi Pazar,1032770,Stefan Stanisavljević,stefan-stanisavljevic,F,18,False,8.0,7.0,,,0.0,3.0,3.0,4.0,5.0,4.0,2.0,1.0,,,,,,77.0,20.0,7.6,8.0,87.447627710499,9.0,30.843641838211,2.0,,"{'original': 7.6, 'alternative': 6.9}",3,0.02,0.29,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,5,5,1,4,87.5,,,,,1.0,3.0,6.0,,,,,3.0,,,,2.0,1.0,1.0,,,4.0,0.51,,,2.0,20.9027722201,41.875803484266,1.0,,,,1.0,,
14015588,home,25736,FK Novi Pazar,1100966,Mihajlo Petković,mihajlo-petkovic,M,21,True,3.0,1.0,1.0,,0.0,,1.0,1.0,2.0,1.0,,,,,,,,16.0,5.0,6.7,2.0,,,,,,"{'original': 6.7, 'alternative': 6.6}",0,0.0,,0.19,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,1,0,0,0,33.33333333333333,,,,,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
14015588,home,25736,FK Novi Pazar,1133676,Vieiri Kotzebue,vieri-kotzebue,F,9,True,2.0,1.0,,,0.0,,,1.0,2.0,2.0,,,,,,,,13.0,7.0,6.7,3.0,37.772633084055,4.0,34.341376722491,1.0,,"{'original': 6.7, 'alternative': 6.8}",1,-0.02,0.33,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,1,1,1,0,50.0,,,,,,1.0,,,,1.0,1.0,,,,,,,,,,2.0,-0.46,,,1.0,16.787773447227,18.591626179547,,,,1.0,,,
14015588,home,25736,FK Novi Pazar,944503,Luka Bijelović,luka-bijelovic,F,28,True,5.0,3.0,1.0,1.0,0.0,,,3.0,5.0,1.0,1.0,,,,,,,15.0,5.0,6.6,2.0,12.938460843547,1.0,-10.839123509966,0.0,,"{'original': 6.6, 'alternative': 6.7}",0,0.04,0.01,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,2,0,0,0,60.0,100.0,,,,,1.0,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,
14015588,home,25736,FK Novi Pazar,796184,Anes Rušević,anes-rusevic,F,11,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015588,home,25736,FK Novi Pazar,1153954,Veljko Mirosavic,veljko-mirosavic,D,20,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015588,home,25736,FK Novi Pazar,795839,Miloje Preković,miloje-prekovic,G,12,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015588,home,418770,FK Novi Pazar,1981820,Ersan Mavric,ersan-mavric,M,19,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015588,home,39404,FK Novi Pazar,2468591,Haris Alic,haris-alic,G,25,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015588,home,25736,FK Novi Pazar,1111781,Jovan Manev,jovan-manev,D,29,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
