match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,aerialWon,duelLost,duelWon,challengeLost,ballRecovery,wasFouled,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,progressiveBallCarriesCount,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,aerialLost,dispossessed,totalContest,totalClearance,interceptionWon,totalTackle,wonTackle,keyPass,shotOffTarget,outfielderBlock,unsuccessfulTouch,fouls,bestBallCarryProgression,totalProgressiveBallCarriesDistance,shotValueNormalized,clearanceOffLine,wonContest,bigChanceMissed,onTargetScoringAttempt,bigChanceCreated,blockedScoringAttempt,hitWoodwork,goals,goodHighClaim,punches
14015615,home,111127,FK Radnik Surdulica,1000660,Savo Rašković,savo-raskovic,M,80,True,34.0,31.0,1.0,1.0,0.0,8.0,8.0,23.0,26.0,1.0,,4.0,,2.0,1.0,,,34.0,40.0,7.6,4.0,161.10600940211,19.0,73.17921831951,1.0,,"{'original': 7.6, 'alternative': 7.3}",1,0.29,0.25,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,1,3,3,0,91.17647058823529,100.0,100.0,100.0,,1.0,1.0,,,1.0,,,1.0,,2.0,,,1.0,,10.659305733362,10.723104774271,-0.16,,1.0,,,,1.0,,,,
14015615,home,111127,FK Radnik Surdulica,938002,Mlađan Stevanović,mladjan-stevanovic,F,24,True,32.0,28.0,1.0,1.0,0.0,9.0,10.0,19.0,22.0,,2.0,,,3.0,,,,34.0,36.0,6.6,5.0,93.423086149809,15.0,23.944344678711,1.0,,"{'original': 6.6, 'alternative': 6.6}",3,0.1,0.12,-0.03,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,1,1,0,1,87.5,100.0,,,,,,1.0,,1.0,,,,,,1.0,,,,15.248244470611,15.254744868401,-0.06,,,,,,2.0,,,,
14015615,home,111127,FK Radnik Surdulica,356190,Borko Duronjić,borko-duronjic,M,11,True,14.0,12.0,,,0.0,1.0,1.0,11.0,13.0,1.0,1.0,2.0,,2.0,1.0,,,18.0,21.0,6.7,6.0,128.66784674324,11.0,69.23358406605,3.0,,"{'original': 6.7, 'alternative': 6.5}",0,0.15,0.26,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,1,2,1,1,85.71428571428571,,,,,3.0,,,,1.0,,,,,,,,,,14.058723689246,47.255858552092,,,,,,,,,,,
14015615,home,111127,FK Radnik Surdulica,1130262,Đorđe Jovanović,dorde-jovanovic,F,88,True,8.0,5.0,2.0,1.0,0.0,4.0,4.0,1.0,4.0,,,1.0,,1.0,1.0,,,18.0,13.0,6.6,4.0,37.441414075885,7.0,-11.039599568375,0.0,,"{'original': 6.6, 'alternative': 6.7}",0,-0.05,-0.37,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,1,0,62.5,50.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
14015615,home,111127,FK Radnik Surdulica,1544668,Darije Markočević,darije-markocevic,F,49,True,,,,,0.0,,,,,,,,,,,,,8.0,1.0,6.4,,,,,,,"{'original': 6.4, 'alternative': 6.5}",1,,,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,-0.26,,,,,,1.0,,,,
14015615,home,111127,FK Radnik Surdulica,931313,Christ Kouadio,christ-kouadio,D,33,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015615,home,111127,FK Radnik Surdulica,2208696,Emmanuel Quarshie,emmanuel-quarshie,F,47,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015615,home,111127,FK Radnik Surdulica,1907123,Teo Lakić,teo-lakic,F,25,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015615,home,111127,FK Radnik Surdulica,1166090,Luka Puzovic,luka-puzovic,M,8,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015615,home,111127,FK Radnik Surdulica,1406169,Uroš Ilić,uros-ilic,D,14,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015615,home,111127,FK Radnik Surdulica,1047505,Filip Samurović,filip-samurovic,G,1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015615,away,5144,FK Javor Ivanjica,834186,Nikola Vasiljević,nikola-vasiljevic,G,1,False,25.0,17.0,22.0,14.0,0.0,5.0,6.0,12.0,19.0,1.0,,1.0,,8.0,,2.0,3.0,90.0,33.0,8.0,8.0,10.065126700947,2.0,3.1600158086668,0.0,0.2446,"{'original': 8, 'alternative': 7.7}",0,0.19,0.0,-0.04,0.27,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,1,0,0,0,68.0,63.63636363636363,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,1.0
14015615,away,5144,FK Javor Ivanjica,981518,Marko Bjeković,marko-bjekovic,D,13,False,23.0,19.0,3.0,1.0,0.0,11.0,13.0,8.0,10.0,,8.0,4.0,2.0,6.0,1.0,,,90.0,52.0,6.3,11.0,217.21298648933,17.0,146.02856240869,4.0,,"{'original': 6.3, 'alternative': 6.3}",0,0.31,0.16,-0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,1,11,4,7,82.6086956521739,33.33333333333333,50.0,33.33333333333333,,2.0,1.0,1.0,1.0,3.0,2.0,3.0,2.0,1.0,1.0,,,3.0,2.0,46.340070411166,121.22074106623,,,1.0,,,,,,,,
14015615,away,5144,FK Javor Ivanjica,1500275,Petar Petrović,petar-petrovic,D,21,False,32.0,23.0,9.0,3.0,0.0,12.0,14.0,11.0,18.0,,3.0,1.0,,3.0,1.0,,,90.0,49.0,7.0,12.0,103.91408846947,12.0,45.693105640616,2.0,,"{'original': 7, 'alternative': 7.2}",0,0.17,0.22,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,1,3,1,2,71.875,33.33333333333333,,,,,,1.0,1.0,,7.0,3.0,,,1.0,,1.0,,1.0,23.652106400739,37.081670488399,,,,,,,,,,,
14015615,away,5144,FK Javor Ivanjica,1468253,Đorđe Skoko,dorde-skoko,D,26,False,25.0,14.0,13.0,3.0,0.0,10.0,14.0,4.0,11.0,2.0,2.0,4.0,,4.0,,,,90.0,36.0,6.6,12.0,126.99997884197,17.0,42.556228879032,0.0,,"{'original': 6.6, 'alternative': 6.4}",0,0.28,0.13,-0.09,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,2,4,2,2,56.00000000000001,23.076923076923077,100.0,,,1.0,1.0,,,,4.0,,2.0,1.0,,,,,2.0,,,,,,,,,,,,,
14015615,away,5144,FK Javor Ivanjica,188127,Stefan Milošević,stefan-milosevic,D,11,False,23.0,16.0,4.0,1.0,0.0,10.0,13.0,6.0,10.0,,6.0,5.0,1.0,3.0,,,,90.0,47.0,6.8,13.0,125.74362474978,11.0,42.564833016364,1.0,,"{'original': 6.8, 'alternative': 6.9}",0,0.05,0.09,0.2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,1,10,5,5,69.56521739130434,25.0,,50.0,,2.0,,1.0,,2.0,3.0,2.0,4.0,4.0,,,,1.0,3.0,13.779871213302,26.89934571695,,,1.0,,,,,,,,
14015615,away,5144,FK Javor Ivanjica,986764,Boubacari Doucoure,boubacari-doucoure,M,19,False,43.0,33.0,3.0,,0.0,15.0,17.0,18.0,26.0,,8.0,7.0,,5.0,2.0,,,90.0,66.0,6.5,18.0,181.80357932879,22.0,82.54892481541,2.0,,"{'original': 6.5, 'alternative': 6.7}",1,0.26,0.3,0.17,,"{'sportSlug': 'football', 'statisticsType': 'player'}",15,1,14,7,7,76.74418604651163,,100.0,50.0,,1.0,1.0,1.0,4.0,2.0,2.0,2.0,4.0,3.0,1.0,,,3.0,2.0,25.471825291649,35.942572763207,-0.16,,1.0,,1.0,,,,,,
14015615,away,5144,FK Javor Ivanjica,1435246,Mamane Amadou Sabo,mamane-amadou-sabo,M,6,False,42.0,36.0,3.0,,1.0,21.0,22.0,15.0,20.0,,4.0,3.0,2.0,2.0,1.0,,,90.0,59.0,8.0,10.0,120.75750704638,18.0,8.5903844698249,0.0,,"{'original': 8, 'alternative': 7.2}",1,0.69,0.04,-0.11,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,0,7,3,4,85.71428571428571,,100.0,100.0,,1.0,1.0,,,1.0,2.0,,1.0,,2.0,,,4.0,2.0,,,-0.03,,1.0,,,2.0,1.0,,,,
14015615,away,378020,FK Javor Ivanjica,1468252,Aleksa Radonjić,aleksa-radonjic,M,20,False,16.0,10.0,2.0,1.0,0.0,2.0,4.0,8.0,12.0,2.0,6.0,4.0,2.0,2.0,,,,75.0,28.0,6.1,11.0,85.038349481731,10.0,21.54394576802,0.0,,"{'original': 6.1, 'alternative': 6.8}",2,-0.44,0.21,-0.12,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,4,6,2,4,62.5,50.0,,100.0,,1.0,,2.0,1.0,2.0,1.0,,,,,1.0,,3.0,1.0,,,-0.41,,2.0,,1.0,,,,,,
14015615,away,5144,FK Javor Ivanjica,98458,Dušan Pantelić,dusan-pantelic,M,10,False,17.0,11.0,1.0,,0.0,3.0,5.0,8.0,12.0,,4.0,2.0,,,2.0,,,45.0,23.0,6.3,7.0,44.007210428735,9.0,0.67392476514343,0.0,,"{'original': 6.3, 'alternative': 6.5}",1,-0.41,0.03,0.18,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,2,4,2,2,64.70588235294117,,,,,,,2.0,,1.0,,,,,,,,,2.0,,,-0.25,,,,1.0,,,,,,
14015615,away,5144,FK Javor Ivanjica,895905,Ibrahim Tanko,ibrahim-tanko,M,9,False,25.0,13.0,3.0,1.0,0.0,5.0,6.0,8.0,19.0,4.0,8.0,7.0,1.0,5.0,,,,75.0,38.0,6.8,17.0,89.84107581021,10.0,-5.0828263444824,0.0,,"{'original': 6.8, 'alternative': 7}",1,-0.25,0.02,-0.1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",15,6,9,3,6,52.0,33.33333333333333,,100.0,,,,2.0,3.0,1.0,,1.0,2.0,1.0,,,,2.0,3.0,,,0.45,,1.0,,1.0,,,,1.0,,
