minute,value
1.0,-6
2.0,54
3.0,58
4.0,18
5.0,-44
6.0,-24
7.0,26
8.0,2
9.0,11
10.0,21
11.0,-15
12.0,5
13.0,17
14.0,16
15.0,13
16.0,7
17.0,3
18.0,25
19.0,42
20.0,22
21.0,11
22.0,4
23.0,-3
24.0,-7
25.0,26
26.0,9
27.0,8
28.0,7
29.0,5
30.0,6
31.0,-23
32.0,-3
33.0,8
34.0,-6
35.0,19
36.0,25
37.0,41
38.0,12
39.0,10
40.0,30
41.0,50
42.0,64
43.0,21
44.0,14
45.0,46
45.5,-10
46.0,6
47.0,7
48.0,15
49.0,3
50.0,6
51.0,27
52.0,30
53.0,40
54.0,37
55.0,16
56.0,60
57.0,29
58.0,13
59.0,-16
60.0,-9
61.0,-7
62.0,-8
63.0,-43
64.0,-100
65.0,-91
66.0,-60
67.0,-39
68.0,-16
69.0,21
70.0,4
71.0,-10
72.0,-14
73.0,-16
74.0,-6
75.0,-14
76.0,-21
77.0,-26
78.0,-8
79.0,-10
80.0,10
81.0,-5
82.0,-40
83.0,-50
84.0,-29
85.0,-22
86.0,-14
87.0,-10
88.0,-15
89.0,-14
90.0,-29
90.5,-17
