match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,progressiveBallCarriesCount,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,dispossessed,totalContest,interceptionWon,totalTackle,wonTackle,wasFouled,fouls,shotOffTarget,outfielderBlock,bestBallCarryProgression,totalProgressiveBallCarriesDistance,shotValueNormalized,errorLeadToAGoal,wonContest,keyPass,accurateCross,bigChanceCreated,onTargetScoringAttempt,goals,blockedScoringAttempt,unsuccessfulTouch,totalOffside,punches
14015581,home,25737,FK Radnički Niš,1000276,Aleksandr Shestyuk,aleksandr-shestyuk,F,9,False,14.0,9.0,1.0,,0.0,7.0,8.0,2.0,6.0,1.0,1.0,,,,,,90.0,21.0,7.4,7.0,57.36754676125,7.0,22.575589655365,1.0,,"{'original': 7.4, 'alternative': 7}",1,-0.52,0.43,0.2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,5,4,0,4,64.28571428571429,,,,,,3.0,2.0,7.0,2.0,,1.0,1.0,,,,,2.0,,1.0,17.011381689733,24.370239965991,0.51,,,,,,1.0,1.0,,,,
14015581,home,25737,FK Radnički Niš,1894089,Stefan Nikolić,stefan-nikolic,M,70,True,12.0,7.0,7.0,3.0,0.0,3.0,4.0,4.0,8.0,,3.0,,,,,,46.0,17.0,7.9,5.0,34.872995558416,5.0,-4.5950187596737,0.0,,"{'original': 7.9, 'alternative': 7.1}",1,0.23,0.1,0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,0,6,4,2,58.333333333333336,42.857142857142854,,100.0,,,,,2.0,4.0,,,1.0,,3.0,1.0,,2.0,,,,,0.55,,1.0,,,,1.0,1.0,,,,
14015581,home,25737,FK Radnički Niš,1085212,Ibrahim Mustapha,ibrahim-mustapha,F,23,True,5.0,4.0,,,0.0,,,4.0,5.0,,,,,,,,17.0,14.0,6.6,2.0,38.743071462384,4.0,-17.004228263519,0.0,,"{'original': 6.6, 'alternative': 6.9}",1,-0.04,0.07,0.16,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,1,4,2,2,80.0,,,,,,1.0,,3.0,2.0,,,1.0,,1.0,1.0,1.0,1.0,,,,,-0.51,,,,,,,,1.0,,,
14015581,home,25737,FK Radnički Niš,2198962,Djordje Petrović,djordje-petrovic,D,71,True,,,,,0.0,,,,0.0,1.0,,,,,,,15.0,5.0,6.7,2.0,17.607839163282,1.0,-1.2591430998316,0.0,,"{'original': 6.7, 'alternative': 6.5}",0,-0.01,0.05,0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,1,0,0,0,,,,,,2.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
14015581,home,25737,FK Radnički Niš,873419,Issah Abass,abass-issah,F,8,True,6.0,3.0,,,0.0,,,3.0,6.0,,1.0,,,,,,15.0,13.0,6.5,8.0,14.754796904993,3.0,-6.7742366997267,0.0,,"{'original': 6.5, 'alternative': 6.6}",0,0.03,-0.4,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,0,3,1,2,50.0,,,,,2.0,,,2.0,1.0,,,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,2.0,1.0,
14015581,home,25737,FK Radnički Niš,1153961,Mateja Radonjić,mateja-radonjic,M,30,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015581,home,25737,FK Radnički Niš,1566364,Babacar Mboup,babacar-mboup,F,12,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015581,home,25737,FK Radnički Niš,989351,Ranko Jokić,ranko-jokic,D,3,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015581,home,25737,FK Radnički Niš,804837,Dejan Stanivuković,dejan-stanivukovic,G,94,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015581,home,25737,FK Radnički Niš,605446,Bubacar Djaló,bubacar-djalo,M,5,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
