match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,interceptionWon,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,dispossessed,keyPass,shotOffTarget,blockedScoringAttempt,bigChanceCreated
14147358,home,37956,FK Arsenal Tivat,800147,Bojan Zogović,bojan-zogovic,G,1,False,22.0,15.0,13.0,6.0,0.0,8.0,8.0,5.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,90.0,28.0,6.5,8.0,0.0,0.0,"{'original': 6.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,68.18181818181817,46.15384615384615,,,0.0,,,,,
14147358,home,37956,FK Arsenal Tivat,363780,Staniša Mandić,stanisa-mandic,D,77,False,25.0,17.0,2.0,1.0,0.0,4.0,7.0,11.0,15.0,3.0,0.0,1.0,4.0,8.0,8.0,1.0,4.0,2.0,0.0,0.0,8.0,0.0,2.0,7.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,,,,,,,90.0,43.0,6.2,13.0,0.0,0.0,"{'original': 6.2, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",16,5,11,4,7,68.0,50.0,0.0,50.0,,,,,,
14147358,home,37956,FK Arsenal Tivat,58157,Jovan Nikolić,jovan-nikolic,D,4,False,32.0,21.0,8.0,2.0,0.0,9.0,10.0,11.0,19.0,0.0,0.0,1.0,1.0,9.0,5.0,1.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,9.0,1.0,1.0,0.0,0.0,2.0,3.0,3.0,0.0,,,,,,,90.0,47.0,6.7,11.0,0.0,0.02,"{'original': 6.7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,2,12,4,8,65.625,25.0,,,,1.0,1.0,,,
14147358,home,37956,FK Arsenal Tivat,889352,Zoran Mikijelj,zoran-mikijelj,D,19,False,24.0,19.0,3.0,3.0,1.0,9.0,11.0,8.0,10.0,0.0,0.0,2.0,1.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,87.0,27.0,7.0,7.0,0.07,0.13,"{'original': 7, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,3,3,1,2,79.16666666666666,100.0,,,,,2.0,1.0,,
14147358,home,37956,FK Arsenal Tivat,889057,Mitar Ćuković,mitar-cukovic,D,2,False,41.0,30.0,4.0,1.0,0.0,13.0,15.0,17.0,24.0,0.0,0.0,1.0,1.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,8.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,,,,90.0,48.0,6.2,11.0,0.0,0.0,"{'original': 6.2, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,2,5,1,4,73.17073170731707,25.0,,,,1.0,,,,
14147358,home,203041,FK Arsenal Tivat,895528,Ljubiša Pecelj,ljubisa-pecelj,D,13,False,34.0,23.0,5.0,2.0,0.0,7.0,8.0,15.0,25.0,3.0,2.0,5.0,1.0,10.0,5.0,1.0,2.0,1.0,1.0,0.0,2.0,1.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,,,,,,,90.0,45.0,6.9,15.0,0.02,0.0,"{'original': 6.9, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",15,6,9,4,5,67.64705882352942,40.0,66.66666666666666,50.0,,1.0,,,1.0,
14147358,home,37956,FK Arsenal Tivat,1947605,Petar Ražnatović,petar-raznatovic,M,10,False,20.0,10.0,3.0,1.0,1.0,1.0,2.0,8.0,16.0,3.0,0.0,2.0,4.0,15.0,8.0,2.0,4.0,3.0,0.0,0.0,2.0,1.0,3.0,6.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,75.0,31.0,7.4,8.0,0.02,0.2,"{'original': 7.4, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",23,6,17,4,13,50.0,33.33333333333333,0.0,75.0,,,1.0,1.0,,
14147358,home,37956,FK Arsenal Tivat,184773,Irfan Šahman,irfan-sahman,M,8,False,33.0,28.0,3.0,2.0,0.0,6.0,7.0,17.0,21.0,1.0,1.0,2.0,0.0,7.0,3.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,3.0,6.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,,,,,,,90.0,51.0,6.9,12.0,0.03,0.0,"{'original': 6.9, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,2,8,3,5,84.84848484848484,66.66666666666666,100.0,100.0,,1.0,1.0,1.0,1.0,
14147358,home,37956,FK Arsenal Tivat,1005627,Aleksa Ćetković,aleksa-cetkovic,M,28,False,33.0,27.0,3.0,2.0,0.0,9.0,10.0,16.0,19.0,0.0,0.0,0.0,4.0,9.0,9.0,2.0,2.0,1.0,2.0,2.0,1.0,0.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,,,,,,,90.0,46.0,8.4,9.0,0.23,0.0,"{'original': 8.4, 'alternative': None}",3.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",18,4,14,5,9,81.81818181818183,66.66666666666666,,50.0,,,,,1.0,
14147358,home,37956,FK Arsenal Tivat,808566,Armin Bošnjak,armin-bosnjak,M,7,False,17.0,15.0,1.0,1.0,0.0,2.0,2.0,13.0,15.0,1.0,0.0,2.0,0.0,15.0,8.0,1.0,6.0,3.0,3.0,1.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,,,,,,,75.0,41.0,7.3,10.0,0.33,0.07,"{'original': 7.3, 'alternative': None}",3.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",23,2,21,8,13,88.23529411764706,100.0,0.0,50.0,,4.0,1.0,,,
