match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,interceptionWon,dispossessed,keyPass,bigChanceMissed,shotOffTarget,blockedScoringAttempt,penaltyWon,hitWoodwork
14147359,home,6224,FK Sutjeska Nikšić,1032030,Stojan Vukčević,stojan-vukcevic,G,31,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,
14147359,home,456482,FK Sutjeska Nikšić,1606671,Todor Miljanić,todor-miljanic,D,17,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,
14147359,home,6224,FK Sutjeska Nikšić,1481226,Danilo Ćetković,danilo-cetkovic,M,21,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,
14147359,home,6224,FK Sutjeska Nikšić,1467725,Marko Brnović,marko-brnovic,M,50,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,
14147359,away,24312,FK Jezero,1035777,Igor Asanović,igor-asanovic,G,50,False,33.0,32.0,3.0,2.0,0.0,32.0,32.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,9.0,1.0,0.0,90.0,40.0,8.7,1.0,0.0,0.0,"{'original': 8.7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,96.96969696969697,66.66666666666666,,,0.0,,,,,,,,
14147359,away,24312,FK Jezero,1185148,Matija Bojović,matija-bojovic,D,29,False,37.0,25.0,7.0,3.0,0.0,15.0,19.0,9.0,17.0,5.0,0.0,1.0,1.0,9.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,7.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,,,,,,,90.0,47.0,6.0,14.0,0.0,0.0,"{'original': 6, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,2,9,1,8,67.56756756756756,42.857142857142854,0.0,0.0,,1.0,2.0,,,,,,
14147359,away,24312,FK Jezero,1000154,Abdel Osmanović,abdel-osmanovic,D,2,False,71.0,62.0,6.0,2.0,0.0,50.0,51.0,8.0,15.0,1.0,0.0,2.0,1.0,7.0,7.0,1.0,0.0,0.0,0.0,0.0,6.0,1.0,17.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,,,,,,,90.0,83.0,7.4,10.0,0.0,0.0,"{'original': 7.4, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,3,11,6,5,87.32394366197182,33.33333333333333,0.0,,,4.0,,,,,,,
14147359,away,24312,FK Jezero,1182552,Nemanja Jovičić,nemanja-jovicic,D,27,False,60.0,54.0,4.0,2.0,0.0,39.0,43.0,15.0,16.0,0.0,0.0,4.0,0.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,10.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,,,,,,,90.0,79.0,7.0,8.0,0.01,0.0,"{'original': 7, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,4,7,3,4,90.0,50.0,,,,3.0,,,,1.0,,,
14147359,away,24312,FK Jezero,812745,Ilija Tučević,ilija-tucevic,D,17,False,32.0,24.0,3.0,0.0,0.0,15.0,16.0,9.0,14.0,1.0,0.0,1.0,0.0,6.0,3.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,90.0,42.0,6.4,7.0,0.01,0.0,"{'original': 6.4, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,1,8,3,5,75.0,0.0,0.0,100.0,,,,,,2.0,,,
14147359,away,24312,FK Jezero,1149284,Nenad Krivokapić,nenad-krivokapic,M,11,False,16.0,11.0,0.0,0.0,0.0,5.0,6.0,6.0,10.0,2.0,1.0,0.0,0.0,2.0,5.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,,,,,,80.0,30.0,6.9,5.0,0.0,0.07,"{'original': 6.9, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,0,7,5,2,68.75,,50.0,100.0,,,,1.0,,,,,
